"date","geography","geography code","Residence type: Total; measures: Value","Residence type: Lives in a household; measures: Value","Residence type: Lives in a communal establishment; measures: Value"
2021,"City of London 001","E02000001",8583,8373,210
2021,"Barking and Dagenham 001","E02000002",8281,8235,46
2021,"Barking and Dagenham 002","E02000003",11542,11520,22
2021,"Barking and Dagenham 003","E02000004",6640,6469,171
2021,"Barking and Dagenham 004","E02000005",11082,11081,1
2021,"Barking and Dagenham 006","E02000007",10162,10052,110
2021,"Barking and Dagenham 007","E02000008",13250,13240,10
2021,"Barking and Dagenham 008","E02000009",12863,12862,1
2021,"Barking and Dagenham 009","E02000010",9485,9484,1
2021,"Barking and Dagenham 010","E02000011",7030,6927,103
2021,"Barking and Dagenham 011","E02000012",11513,11506,7
2021,"Barking and Dagenham 012","E02000013",9398,9398,0
2021,"Barking and Dagenham 013","E02000014",9865,9818,47
2021,"Barking and Dagenham 014","E02000015",8228,8227,1
2021,"Barking and Dagenham 015","E02000016",10568,10560,8
2021,"Barking and Dagenham 016","E02000017",9133,9088,45
2021,"Barking and Dagenham 017","E02000018",9552,9549,3
2021,"Barking and Dagenham 018","E02000019",9663,9604,59
2021,"Barking and Dagenham 019","E02000020",14055,14046,9
2021,"Barking and Dagenham 020","E02000021",8759,8658,101
2021,"Barking and Dagenham 021","E02000022",7741,7713,28
2021,"Barking and Dagenham 022","E02000023",8019,7932,87
2021,"Barking and Dagenham 023","E02006799",12041,11980,61
2021,"Barnet 001","E02000024",10841,10737,104
2021,"Barnet 002","E02000025",8582,8578,4
2021,"Barnet 003","E02000026",6458,6429,29
2021,"Barnet 004","E02000027",9646,9545,101
2021,"Barnet 005","E02000028",6533,6517,16
2021,"Barnet 006","E02000029",9677,9677,0
2021,"Barnet 007","E02000030",9457,9361,96
2021,"Barnet 008","E02000031",8331,8167,164
2021,"Barnet 009","E02000032",7939,7929,10
2021,"Barnet 010","E02000033",8891,8846,45
2021,"Barnet 011","E02000034",9089,9046,43
2021,"Barnet 012","E02000035",8530,8214,316
2021,"Barnet 013","E02000036",11244,11186,58
2021,"Barnet 014","E02000037",10835,10834,1
2021,"Barnet 015","E02000038",10719,10466,253
2021,"Barnet 016","E02000039",7168,7166,2
2021,"Barnet 017","E02000040",9139,8859,280
2021,"Barnet 018","E02000041",9455,9413,42
2021,"Barnet 019","E02000042",11560,11354,206
2021,"Barnet 020","E02000043",7570,7495,75
2021,"Barnet 021","E02000044",8844,8844,0
2021,"Barnet 022","E02000045",10524,10484,40
2021,"Barnet 023","E02000046",6962,6962,0
2021,"Barnet 024","E02000047",12397,12335,62
2021,"Barnet 025","E02000048",10283,10282,1
2021,"Barnet 026","E02000049",10532,10531,1
2021,"Barnet 027","E02000050",10380,10354,26
2021,"Barnet 028","E02000051",9160,9114,46
2021,"Barnet 029","E02000052",9849,9849,0
2021,"Barnet 031","E02000054",7631,7594,37
2021,"Barnet 032","E02000055",11723,11616,107
2021,"Barnet 033","E02000056",9132,9053,79
2021,"Barnet 034","E02000057",8013,7966,47
2021,"Barnet 035","E02000058",10227,10222,5
2021,"Barnet 036","E02000059",11626,11621,5
2021,"Barnet 037","E02000060",11557,11418,139
2021,"Barnet 038","E02000061",8345,8227,118
2021,"Barnet 039","E02000062",6958,6937,21
2021,"Barnet 040","E02000063",7584,7510,74
2021,"Barnet 041","E02000064",6674,6592,82
2021,"Barnet 042","E02006953",9169,8559,610
2021,"Barnet 043","E02006954",10113,10067,46
2021,"Bexley 001","E02000065",8062,8013,49
2021,"Bexley 002","E02000066",9430,9386,44
2021,"Bexley 003","E02000067",10231,10224,7
2021,"Bexley 004","E02000068",8176,8165,11
2021,"Bexley 005","E02000069",7212,7184,28
2021,"Bexley 006","E02000070",8111,8111,0
2021,"Bexley 007","E02000071",7672,7665,7
2021,"Bexley 008","E02000072",12924,12920,4
2021,"Bexley 009","E02000073",10726,10726,0
2021,"Bexley 010","E02000074",8861,8833,28
2021,"Bexley 011","E02000075",7986,7986,0
2021,"Bexley 013","E02000077",8140,8067,73
2021,"Bexley 014","E02000078",7933,7880,53
2021,"Bexley 015","E02000079",8770,8582,188
2021,"Bexley 016","E02000080",10065,10065,0
2021,"Bexley 017","E02000081",8306,8257,49
2021,"Bexley 018","E02000082",9336,9336,0
2021,"Bexley 019","E02000083",11271,11248,23
2021,"Bexley 020","E02000084",11115,11115,0
2021,"Bexley 021","E02000085",7961,7960,1
2021,"Bexley 022","E02000086",7178,7174,4
2021,"Bexley 023","E02000087",8209,8199,10
2021,"Bexley 024","E02000088",7750,7750,0
2021,"Bexley 025","E02000089",7869,7742,127
2021,"Bexley 026","E02000090",9639,9259,380
2021,"Bexley 027","E02000091",10164,10093,71
2021,"Bexley 028","E02000092",6753,6703,50
2021,"Bexley 029","E02006785",6624,6624,0
2021,"Brent 001","E02000093",11877,11823,54
2021,"Brent 002","E02000094",10460,10393,67
2021,"Brent 003","E02000095",10461,10461,0
2021,"Brent 004","E02000096",7632,7585,47
2021,"Brent 005","E02000097",9532,9532,0
2021,"Brent 006","E02000098",8742,8619,123
2021,"Brent 007","E02000099",9560,9555,5
2021,"Brent 008","E02000100",8319,7937,382
2021,"Brent 009","E02000101",9937,9746,191
2021,"Brent 010","E02000102",8328,8319,9
2021,"Brent 011","E02000103",9973,9806,167
2021,"Brent 012","E02000104",7505,7392,113
2021,"Brent 013","E02000105",9844,9798,46
2021,"Brent 014","E02000106",10353,10341,12
2021,"Brent 015","E02000107",10939,10924,15
2021,"Brent 016","E02000108",7259,7230,29
2021,"Brent 018","E02000110",8175,8164,11
2021,"Brent 019","E02000111",11284,11158,126
2021,"Brent 020","E02000112",11749,11660,89
2021,"Brent 021","E02000113",9630,9629,1
2021,"Brent 022","E02000114",8996,8995,1
2021,"Brent 023","E02000115",8622,8502,120
2021,"Brent 024","E02000116",8549,8514,35
2021,"Brent 025","E02000117",12733,12684,49
2021,"Brent 026","E02000118",11293,11291,2
2021,"Brent 027","E02000119",10625,10435,190
2021,"Brent 028","E02000120",9014,9014,0
2021,"Brent 029","E02000121",12239,12237,2
