"date","geography","geography code","Country of birth: Total; measures: Value","Country of birth: Europe; measures: Value","Country of birth: Europe: United Kingdom; measures: Value","Country of birth: Europe: EU countries; measures: Value","Country of birth: Europe: EU countries: European Union EU14; measures: Value","Country of birth: Europe: EU countries: European Union EU8; measures: Value","Country of birth: Europe: EU countries: European Union EU2; measures: Value","Country of birth: Europe: EU countries: All other EU countries; measures: Value","Country of birth: Europe: Non-EU countries; measures: Value","Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value","Country of birth: Africa; measures: Value","Country of birth: Middle East and Asia; measures: Value","Country of birth: The Americas and the Caribbean; measures: Value","Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value","Country of birth: British Overseas ; measures: Value"
2021,"City of London 001","E02000001",8582,6253,4327,1577,1188,260,79,50,349,349,312,1167,641,204,5
2021,"Barking and Dagenham 001","E02000002",8280,6464,5361,766,203,233,311,19,337,337,754,875,169,11,7
2021,"Barking and Dagenham 002","E02000003",11542,8624,6692,1599,378,374,806,41,333,333,829,1868,216,3,2
2021,"Barking and Dagenham 003","E02000004",6641,5561,4752,621,151,195,244,31,188,188,419,556,101,2,2
2021,"Barking and Dagenham 004","E02000005",11082,8206,6665,1256,321,389,523,23,285,285,961,1757,145,11,2
2021,"Barking and Dagenham 006","E02000007",10162,7980,6612,1064,288,349,404,23,304,304,1244,802,125,1,10
2021,"Barking and Dagenham 007","E02000008",13248,10480,8354,1712,376,597,712,27,414,414,1256,1287,212,5,8
2021,"Barking and Dagenham 008","E02000009",12860,9692,7260,1976,556,601,807,12,456,456,1338,1575,238,12,5
2021,"Barking and Dagenham 009","E02000010",9487,7578,5877,1365,243,530,582,10,336,336,975,809,117,5,3
2021,"Barking and Dagenham 010","E02000011",7028,5518,4252,1033,188,283,534,28,233,233,661,757,87,2,3
2021,"Barking and Dagenham 011","E02000012",11512,8187,7059,920,245,241,409,25,208,208,532,2615,172,2,4
2021,"Barking and Dagenham 012","E02000013",9399,7462,5773,1352,252,479,603,18,337,337,972,858,101,3,3
2021,"Barking and Dagenham 013","E02000014",9865,7975,6176,1510,284,478,722,26,289,289,946,847,87,5,5
2021,"Barking and Dagenham 014","E02000015",8229,6246,5104,970,238,319,406,7,172,172,1247,622,104,4,6
2021,"Barking and Dagenham 015","E02000016",10568,6428,4406,1616,609,422,558,27,406,406,1450,2510,170,2,8
2021,"Barking and Dagenham 016","E02000017",9133,6154,4165,1627,338,363,906,20,362,362,559,2275,136,7,2
