"date","geography","geography code","Passports held: Total; measures: Value","Passports held: Europe; measures: Value","Passports held: Europe: United Kingdom; measures: Value","Passports held: Europe: Ireland; measures: Value","Passports held: Europe: Other Europe; measures: Value","Passports held: Europe: Other Europe: EU Member countries; measures: Value","Passports held: Europe: Other Europe: EU Member countries: France; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value","Passports held: Europe: Other Europe: Rest of Europe; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value","Passports held: Africa; measures: Value","Passports held: Africa: North Africa; measures: Value","Passports held: Africa: Central and Western Africa; measures: Value","Passports held: Africa: South and Eastern Africa; measures: Value","Passports held: Middle East and Asia; measures: Value","Passports held: Middle East and Asia: Middle East; measures: Value","Passports held: Middle East and Asia: Eastern Asia; measures: Value","Passports held: Middle East and Asia: Southern Asia; measures: Value","Passports held: Middle East and Asia: South-East Asia; measures: Value","Passports held: Middle East and Asia: Central Asia; measures: Value","Passports held: The Americas and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: North America and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: Central and South America; measures: Value","Passports held: Antarctica and Oceania, including Australasia; measures: Value","Passports held: British Overseas Territories; measures: Value","Passports held: No passport held; measures: Value"
2021,"City of London 001","E02000001",8582,7220,5465,129,1626,1445,201,128,257,71,168,23,112,47,438,181,28,153,68,28,14,26,637,40,341,145,103,8,321,236,85,139,1,196
2021,"Barking and Dagenham 001","E02000002",8281,6860,5832,65,963,892,20,12,50,60,29,125,112,369,115,71,3,68,202,14,153,35,263,1,6,234,21,1,40,36,4,7,0,909
2021,"Barking and Dagenham 002","E02000003",11543,9796,7616,136,2044,1963,49,51,140,102,51,248,137,926,259,81,7,74,180,8,126,46,643,9,6,599,29,0,36,20,16,3,0,885
2021,"Barking and Dagenham 003","E02000004",6636,5662,4836,47,779,736,28,12,38,37,11,166,53,259,132,43,13,30,99,6,70,23,143,0,10,115,18,0,23,17,6,0,0,709
2021,"Barking and Dagenham 004","E02000005",11082,9172,7447,54,1671,1592,41,44,142,152,48,253,106,526,280,79,9,70,271,7,215,49,568,3,17,525,20,3,56,37,19,2,0,1013
2021,"Barking and Dagenham 006","E02000007",10157,8125,6687,48,1390,1337,68,43,118,107,44,247,94,406,210,53,7,46,347,10,294,43,270,5,11,232,17,5,28,24,4,0,0,1387
2021,"Barking and Dagenham 007","E02000008",13254,10847,8621,63,2163,2067,39,30,205,163,86,478,136,640,290,96,9,87,362,3,304,55,423,3,11,396,13,0,49,37,12,0,0,1573
2021,"Barking and Dagenham 008","E02000009",12864,10700,8039,43,2618,2511,63,46,263,213,72,442,115,692,605,107,12,95,350,13,284,53,533,6,17,481,29,0,74,51,23,5,0,1202
2021,"Barking and Dagenham 009","E02000010",9483,7770,5971,48,1751,1675,22,18,100,87,63,432,123,562,268,76,4,72,286,12,237,37,233,4,2,200,25,2,24,16,8,1,0,1169
2021,"Barking and Dagenham 010","E02000011",7028,5921,4568,43,1310,1266,20,14,91,69,14,231,73,549,205,44,5,39,204,4,187,13,218,1,19,173,24,1,21,14,7,0,0,664
