"date","geography","geography code","Age: Total","Age: Aged 4 years and under","Age: Aged 5 to 9 years","Age: Aged 10 to 14 years","Age: Aged 15 to 19 years","Age: Aged 20 to 24 years","Age: Aged 25 to 29 years","Age: Aged 30 to 34 years","Age: Aged 35 to 39 years","Age: Aged 40 to 44 years","Age: Aged 45 to 49 years","Age: Aged 50 to 54 years","Age: Aged 55 to 59 years","Age: Aged 60 to 64 years","Age: Aged 65 to 69 years","Age: Aged 70 to 74 years","Age: Aged 75 to 79 years","Age: Aged 80 to 84 years","Age: Aged 85 years and over"
2021,"City of London 001","E02000001",8580,213,159,174,216,965,1213,1002,726,547,544,640,517,458,393,318,210,164,121
2021,"Barking and Dagenham 001","E02000002",8286,653,751,768,618,410,518,667,651,590,540,463,411,317,234,195,193,149,158
2021,"Barking and Dagenham 002","E02000003",11539,951,837,772,714,737,865,984,956,848,685,724,648,547,359,310,220,217,165
2021,"Barking and Dagenham 003","E02000004",6638,394,443,401,391,424,491,515,480,433,416,455,403,393,260,230,184,152,173
2021,"Barking and Dagenham 004","E02000005",11082,975,977,983,734,621,690,863,1012,938,741,684,603,378,265,225,153,134,106
2021,"Barking and Dagenham 006","E02000007",10161,749,870,907,699,630,712,814,787,756,665,618,575,402,277,267,160,140,133
2021,"Barking and Dagenham 007","E02000008",13251,896,1092,1215,888,720,787,965,1130,1031,985,924,836,572,402,311,202,158,137
2021,"Barking and Dagenham 008","E02000009",12867,1026,1139,1131,969,849,885,1056,1101,987,903,781,713,421,328,206,128,97,147
2021,"Barking and Dagenham 009","E02000010",9485,684,781,774,665,583,628,737,775,721,652,674,556,424,290,184,138,121,98
2021,"Barking and Dagenham 010","E02000011",7026,508,513,507,467,446,498,530,569,471,448,487,400,290,226,213,167,131,155
2021,"Barking and Dagenham 011","E02000012",11509,743,890,863,864,924,910,850,836,859,764,749,586,479,353,311,206,154,168
2021,"Barking and Dagenham 012","E02000013",9401,701,770,807,662,532,632,690,774,741,681,559,526,407,302,278,137,105,97
2021,"Barking and Dagenham 013","E02000014",9864,672,814,810,667,573,655,765,799,713,722,645,554,439,309,289,187,126,125
2021,"Barking and Dagenham 014","E02000015",8228,679,664,735,536,465,595,681,646,586,568,592,423,331,234,190,124,97,82
2021,"Barking and Dagenham 015","E02000016",10566,1019,1044,772,658,621,950,1193,1183,853,660,565,384,304,133,95,64,44,24
2021,"Barking and Dagenham 016","E02000017",9135,662,625,590,622,644,678,833,882,740,647,607,449,394,283,181,112,101,85
2021,"Barking and Dagenham 017","E02000018",9553,761,816,828,652,583,646,761,773,839,659,571,477,401,264,206,125,111,80
2021,"Barking and Dagenham 018","E02000019",9663,831,792,876,665,565,644,784,746,746,648,690,475,360,278,234,139,101,89
2021,"Barking and Dagenham 019","E02000020",14055,1292,1189,1097,987,752,1055,1324,1364,1144,1005,830,621,444,285,225,174,138,129
2021,"Barking and Dagenham 020","E02000021",8760,626,790,820,601,541,508,634,662,624,674,560,482,372,286,212,151,98,119
2021,"Barking and Dagenham 021","E02000022",7742,837,697,678,570,413,608,804,834,703,503,372,260,182,116,74,45,23,23
2021,"Barking and Dagenham 022","E02000023",8017,671,764,831,648,487,535,672,666,713,535,522,331,248,130,105,51,54,54
2021,"Barnet 001","E02000024",10842,563,587,632,547,533,606,639,709,793,811,778,793,666,579,569,407,274,356
2021,"Barnet 002","E02000025",8583,498,486,525,420,394,566,605,705,602,653,651,607,523,377,385,239,169,178
2021,"Barnet 003","E02000026",6457,406,378,387,326,299,366,452,400,461,438,430,444,435,327,318,249,156,185
2021,"Barnet 004","E02000027",9646,535,579,674,604,546,560,579,689,751,705,704,685,498,416,406,298,213,204
2021,"Barnet 005","E02000028",6531,379,404,377,334,306,416,447,524,512,431,503,464,358,274,280,195,153,174
2021,"Barnet 006","E02000029",9680,746,676,657,602,553,618,667,716,782,721,688,630,455,364,307,243,124,131
2021,"Barnet 007","E02000030",9462,434,565,623,575,445,459,445,529,667,660,692,708,649,515,536,371,267,322
2021,"Barnet 008","E02000031",8332,497,463,480,386,328,574,605,699,623,606,536,481,456,384,371,290,223,330
2021,"Barnet 009","E02000032",7939,304,485,623,487,398,409,302,449,587,613,663,612,476,383,410,293,230,215
2021,"Barnet 010","E02000033",8891,460,554,609,478,500,511,617,695,705,622,692,566,573,379,337,229,164,200
2021,"Barnet 011","E02000034",9087,520,589,587,485,446,594,645,649,764,649,617,600,447,414,383,300,179,219
2021,"Barnet 012","E02000035",8531,453,498,436,308,428,667,758,715,783,554,561,451,406,357,383,300,182,291
2021,"Barnet 013","E02000036",11244,710,900,830,639,623,699,779,822,806,721,745,721,589,472,408,328,201,251
2021,"Barnet 014","E02000037",10836,709,874,887,679,570,616,709,779,762,693,626,568,542,504,506,310,238,264
2021,"Barnet 015","E02000038",10719,535,648,749,651,503,644,753,789,842,852,821,682,606,520,397,267,198,262
2021,"Barnet 016","E02000039",7166,483,406,503,435,377,413,453,561,504,504,453,501,399,295,324,233,166,156
2021,"Barnet 017","E02000040",9136,586,570,612,650,446,622,731,780,710,636,568,494,402,354,338,278,160,199
2021,"Barnet 018","E02000041",9452,558,662,657,547,567,633,745,749,716,625,560,532,463,426,355,246,159,252
2021,"Barnet 019","E02000042",11558,663,668,685,517,601,846,956,1052,975,906,766,686,529,439,404,326,245,294
2021,"Barnet 020","E02000043",7571,449,560,562,388,299,411,445,529,655,606,542,457,420,337,346,227,149,189
2021,"Barnet 021","E02000044",8846,562,616,673,536,574,660,623,733,710,675,602,542,426,310,248,160,113,83
2021,"Barnet 022","E02000045",10525,620,711,783,619,537,679,688,876,872,859,782,738,515,368,359,209,161,149
2021,"Barnet 023","E02000046",6965,459,388,355,243,352,607,727,689,629,469,480,364,317,246,222,171,127,120
2021,"Barnet 024","E02000047",12395,869,926,876,777,825,856,1026,964,999,911,883,638,500,441,343,204,163,194
2021,"Barnet 025","E02000048",10283,696,710,667,542,538,632,734,754,811,730,629,590,499,460,429,345,249,268
2021,"Barnet 026","E02000049",10532,784,776,792,735,729,847,890,885,808,860,677,589,397,271,196,147,92,57
2021,"Barnet 027","E02000050",10383,558,625,720,617,645,738,754,794,826,737,766,655,514,407,384,305,186,152
2021,"Barnet 028","E02000051",9160,512,558,495,444,470,593,698,743,731,577,567,570,444,401,453,350,243,311
2021,"Barnet 029","E02000052",9852,566,573,626,461,393,848,868,792,849,788,691,566,464,379,340,315,181,152
2021,"Barnet 031","E02000054",7632,433,456,452,355,588,696,637,629,605,566,454,423,340,357,247,189,91,114
2021,"Barnet 032","E02000055",11722,696,681,728,653,1153,1133,1055,899,811,795,678,583,499,363,326,254,171,244
2021,"Barnet 033","E02000056",9131,499,641,666,523,362,470,510,565,657,685,632,593,479,389,486,334,326,314
2021,"Barnet 034","E02000057",8014,671,687,623,443,665,683,693,644,486,470,389,328,322,237,238,181,115,139
2021,"Barnet 035","E02000058",10224,713,727,698,503,521,731,671,886,749,641,558,518,494,417,456,391,247,303
2021,"Barnet 036","E02000059",11626,741,554,588,537,730,1073,1280,1075,977,766,744,599,683,437,289,215,177,161
2021,"Barnet 037","E02000060",11561,1150,1149,1054,758,686,898,818,762,686,620,522,400,478,419,335,249,223,354
2021,"Barnet 038","E02000061",8344,410,468,494,373,482,671,721,784,623,598,563,482,364,330,335,213,169,264
2021,"Barnet 039","E02000062",6956,417,472,504,420,480,546,616,541,594,527,500,380,299,223,185,94,85,73
2021,"Barnet 040","E02000063",7584,443,464,460,474,465,605,569,639,616,545,526,468,360,305,240,164,119,122
2021,"Barnet 041","E02000064",6672,447,380,423,374,434,600,642,550,480,466,442,384,295,201,192,159,104,99
2021,"Bexley 001","E02000065",8063,546,653,797,605,447,480,540,516,599,651,685,507,421,243,160,113,54,46
