"date","geography","geography code","Sex: All persons; measures: Value","Sex: Female; measures: Value","Sex: Male; measures: Value"
2021,"City of London 001","E02000001",8583,3861,4722
2021,"Barking and Dagenham 001","E02000002",8281,4362,3919
2021,"Barking and Dagenham 002","E02000003",11542,5834,5708
2021,"Barking and Dagenham 003","E02000004",6640,3394,3246
2021,"Barking and Dagenham 004","E02000005",11082,5680,5402
2021,"Barking and Dagenham 006","E02000007",10162,5352,4810
2021,"Barking and Dagenham 007","E02000008",13250,6855,6395
2021,"Barking and Dagenham 008","E02000009",12864,6560,6304
2021,"Barking and Dagenham 009","E02000010",9485,4972,4513
2021,"Barking and Dagenham 010","E02000011",7031,3609,3422
2021,"Barking and Dagenham 011","E02000012",11511,5770,5741
2021,"Barking and Dagenham 012","E02000013",9398,4871,4527
2021,"Barking and Dagenham 013","E02000014",9865,5122,4743
2021,"Barking and Dagenham 014","E02000015",8228,4272,3956
2021,"Barking and Dagenham 015","E02000016",10568,5347,5221
2021,"Barking and Dagenham 016","E02000017",9133,4419,4714
2021,"Barking and Dagenham 017","E02000018",9552,4903,4649
2021,"Barking and Dagenham 018","E02000019",9663,5011,4652
2021,"Barking and Dagenham 019","E02000020",14055,7109,6946
2021,"Barking and Dagenham 020","E02000021",8759,4496,4263
2021,"Barking and Dagenham 021","E02000022",7741,3964,3777
2021,"Barking and Dagenham 022","E02000023",8019,4179,3840
2021,"Barking and Dagenham 023","E02006799",12041,6207,5834
2021,"Barnet 001","E02000024",10841,5631,5210
2021,"Barnet 002","E02000025",8582,4501,4081
2021,"Barnet 003","E02000026",6457,3324,3133
2021,"Barnet 004","E02000027",9646,5039,4607
2021,"Barnet 005","E02000028",6533,3342,3191
2021,"Barnet 006","E02000029",9678,4927,4751
2021,"Barnet 007","E02000030",9457,4853,4604
2021,"Barnet 008","E02000031",8331,4375,3956
2021,"Barnet 009","E02000032",7939,4034,3905
2021,"Barnet 010","E02000033",8891,4597,4294
2021,"Barnet 011","E02000034",9087,4757,4330
