"date","geography","geography code","Living arrangements: Total; measures: Value","Living arrangements: Living in a couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Married or in a civil partnership: Same-sex couple; measures: Value","Living arrangements: Living in a couple: Separated, but still married or in a civil partnership; measures: Value","Living arrangements: Living in a couple: Cohabiting; measures: Value","Living arrangements: Living in a couple: Cohabiting: Opposite-sex couple; measures: Value","Living arrangements: Living in a couple: Cohabiting: Same-sex couple; measures: Value","Living arrangements: Not living in a couple; measures: Value","Living arrangements: Not living in a couple: Single (never married and never registered a same-sex civil partnership); measures: Value","Living arrangements: Not living in a couple: Married or in a registered civil partnership; measures: Value","Living arrangements: Not living in a couple: Separated (including those who are married and those who are in civil partnerships); measures: Value","Living arrangements: Not living in a couple: Divorced or formerly in a civil partnership which is now legally dissolved; measures: Value","Living arrangements: Not living in a couple: Widowed or surviving partner from a civil partnership; measures: Value"
2021,"City of London 001","E02000001",7821,3632,2157,1983,174,5,1470,1256,214,4189,3155,223,139,435,237
2021,"Barking and Dagenham 001","E02000002",5938,2806,2220,2220,0,7,579,564,15,3132,2060,167,133,464,308
2021,"Barking and Dagenham 002","E02000003",8825,4398,3600,3586,14,12,786,748,38,4427,2798,438,185,577,429
2021,"Barking and Dagenham 003","E02000004",5144,2776,2221,2217,4,15,540,518,22,2368,1574,104,102,298,290
2021,"Barking and Dagenham 004","E02000005",7986,4213,3377,3368,9,10,826,792,34,3773,2544,258,169,477,325
2021,"Barking and Dagenham 006","E02000007",7374,3302,2543,2535,8,11,748,722,26,4072,2836,202,226,515,293
2021,"Barking and Dagenham 007","E02000008",9843,4834,3665,3619,46,19,1150,1116,34,5009,3287,277,268,755,422
2021,"Barking and Dagenham 008","E02000009",9355,4456,3436,3422,14,23,997,974,23,4899,3398,334,237,586,344
2021,"Barking and Dagenham 009","E02000010",7074,3376,2581,2577,4,17,778,748,30,3698,2452,232,153,525,336
2021,"Barking and Dagenham 010","E02000011",5315,2717,2197,2187,10,10,510,492,18,2598,1725,212,102,320,239
2021,"Barking and Dagenham 011","E02000012",8838,4334,3839,3827,12,11,484,446,38,4504,3097,409,128,352,518
2021,"Barking and Dagenham 012","E02000013",6966,3304,2566,2561,5,11,727,708,19,3662,2388,225,169,539,341
2021,"Barking and Dagenham 013","E02000014",7387,3509,2638,2634,4,18,853,814,39,3878,2526,272,199,538,343
2021,"Barking and Dagenham 014","E02000015",6022,2664,1952,1944,8,18,694,662,32,3358,2237,174,192,531,224
2021,"Barking and Dagenham 015","E02000016",7574,3890,3055,3025,30,15,820,704,116,3684,2540,350,189,474,131
2021,"Barking and Dagenham 016","E02000017",7097,3390,2891,2882,9,14,485,469,16,3707,2421,389,118,502,277
2021,"Barking and Dagenham 017","E02000018",6995,3360,2590,2588,2,14,756,718,38,3635,2458,232,184,458,303
2021,"Barking and Dagenham 018","E02000019",6960,3470,2679,2667,12,17,774,756,18,3490,2425,181,184,446,254
2021,"Barking and Dagenham 019","E02000020",10260,5193,4145,4121,24,19,1029,987,42,5067,3439,431,239,599,359
2021,"Barking and Dagenham 020","E02000021",6269,3011,2301,2295,6,15,695,678,17,3258,2110,205,177,441,325
2021,"Barking and Dagenham 021","E02000022",5387,2513,1894,1885,9,9,610,558,52,2874,2081,167,180,347,99
2021,"Barking and Dagenham 022","E02000023",5546,2573,1966,1956,10,10,597,571,26,2973,2134,184,145,360,150
2021,"Barking and Dagenham 023","E02006799",8716,4496,3629,3619,10,13,854,826,28,4220,2891,291,188,533,317
2021,"Barnet 001","E02000024",8819,5211,4146,4118,28,5,1060,1032,28,3608,2291,155,144,545,473
2021,"Barnet 002","E02000025",6986,3692,2829,2809,20,5,858,828,30,3294,2150,83,155,542,364
2021,"Barnet 003","E02000026",5184,3052,2582,2580,2,10,460,432,28,2132,1352,104,65,308,303
2021,"Barnet 004","E02000027",7627,3955,3241,3227,14,11,703,668,35,3672,2449,137,183,510,393
2021,"Barnet 005","E02000028",5290,3023,2476,2464,12,5,542,528,14,2267,1510,77,93,320,267
2021,"Barnet 006","E02000029",7434,4251,3411,3389,22,9,831,814,17,3183,2171,115,152,465,280
2021,"Barnet 007","E02000030",7617,4569,4046,4030,16,19,504,472,32,3048,1926,168,115,419,420
2021,"Barnet 008","E02000031",6647,3989,3365,3351,14,11,613,575,38,2658,1705,115,89,397,352
2021,"Barnet 009","E02000032",6414,3868,3469,3441,28,13,386,364,22,2546,1702,112,77,275,380
2021,"Barnet 010","E02000033",7099,3737,3025,3009,16,9,703,663,40,3362,2305,113,146,467,331
2021,"Barnet 011","E02000034",7237,4009,3297,3281,16,11,701,677,24,3228,2122,177,135,463,331
2021,"Barnet 012","E02000035",6787,3702,2966,2954,12,10,726,686,40,3085,1917,234,127,485,322
2021,"Barnet 013","E02000036",8595,4714,4206,4200,6,12,496,476,20,3881,2470,215,234,498,464
2021,"Barnet 014","E02000037",8211,4960,4496,4494,2,18,446,424,22,3251,2210,163,96,358,424
2021,"Barnet 015","E02000038",8389,4570,3726,3702,24,12,832,774,58,3819,2608,174,181,521,335
2021,"Barnet 016","E02000039",5651,3362,2944,2934,10,14,404,384,20,2289,1483,142,93,307,264
2021,"Barnet 017","E02000040",7007,3899,3236,3214,22,5,658,628,30,3108,2037,147,132,453,339
2021,"Barnet 018","E02000041",7407,3936,3438,3432,6,8,490,466,24,3471,2239,273,157,439,363
2021,"Barnet 019","E02000042",9200,4799,3812,3783,29,11,976,926,50,4401,2944,245,137,654,421
2021,"Barnet 020","E02000043",5816,3688,3236,3210,26,8,444,410,34,2128,1409,134,84,252,249
2021,"Barnet 021","E02000044",6875,3334,2772,2762,10,14,548,514,34,3541,2363,281,173,428,296
2021,"Barnet 022","E02000045",8241,3997,3058,3042,16,22,917,862,55,4244,2926,164,188,671,295
2021,"Barnet 023","E02000046",5698,3198,2397,2359,38,9,792,726,66,2500,1710,139,88,346,217
2021,"Barnet 024","E02000047",9520,4366,3673,3653,20,15,678,650,28,5154,3385,529,214,621,405
2021,"Barnet 025","E02000048",8086,4681,4042,4016,26,20,619,582,37,3405,2168,179,151,505,402
2021,"Barnet 026","E02000049",8020,3519,2787,2780,7,10,722,690,32,4501,3121,317,234,566,263
2021,"Barnet 027","E02000050",8339,4214,3391,3367,24,43,780,716,64,4125,2902,178,153,528,364
2021,"Barnet 028","E02000051",7449,4162,3453,3437,16,13,696,660,36,3287,2082,171,87,482,465
