"date","geography","geography code","Household deprivation: Total: All households; measures: Value","Household deprivation: Household is not deprived in any dimension; measures: Value","Household deprivation: Household is deprived in one dimension; measures: Value","Household deprivation: Household is deprived in two dimensions; measures: Value","Household deprivation: Household is deprived in three dimensions; measures: Value","Household deprivation: Household is deprived in four dimensions; measures: Value"
2021,"City of London 001","E02000001",4914,2937,1547,347,75,8
2021,"Barking and Dagenham 001","E02000002",2870,954,1085,613,194,24
2021,"Barking and Dagenham 002","E02000003",3930,1649,1467,667,145,2
2021,"Barking and Dagenham 003","E02000004",2309,1014,829,365,98,3
2021,"Barking and Dagenham 004","E02000005",3630,1544,1252,620,201,13
2021,"Barking and Dagenham 006","E02000007",3675,1335,1320,739,265,16
2021,"Barking and Dagenham 007","E02000008",4624,1546,1729,1017,306,26
2021,"Barking and Dagenham 008","E02000009",4254,1578,1600,811,252,13
2021,"Barking and Dagenham 009","E02000010",3327,1219,1241,634,211,22
2021,"Barking and Dagenham 010","E02000011",2352,904,912,433,90,13
2021,"Barking and Dagenham 011","E02000012",3287,1394,1145,605,134,9
2021,"Barking and Dagenham 012","E02000013",3254,1103,1216,695,225,15
2021,"Barking and Dagenham 013","E02000014",3388,1177,1262,692,245,12
2021,"Barking and Dagenham 014","E02000015",3033,1041,1145,632,202,13
2021,"Barking and Dagenham 015","E02000016",3811,1433,1449,694,214,21
2021,"Barking and Dagenham 016","E02000017",2765,1018,1086,473,180,8
2021,"Barking and Dagenham 017","E02000018",3234,1086,1234,673,231,10
2021,"Barking and Dagenham 018","E02000019",3204,1202,1178,633,187,4
2021,"Barking and Dagenham 019","E02000020",4672,1946,1710,792,217,7
2021,"Barking and Dagenham 020","E02000021",2929,1098,1155,530,138,8
2021,"Barking and Dagenham 021","E02000022",2794,1146,1020,463,153,12
2021,"Barking and Dagenham 022","E02000023",2662,961,983,520,175,23
2021,"Barking and Dagenham 023","E02006799",3890,1428,1379,787,285,11
2021,"Barnet 001","E02000024",4477,2505,1458,430,80,4
2021,"Barnet 002","E02000025",3747,1800,1231,538,156,22
2021,"Barnet 003","E02000026",2510,1392,744,316,51,7
2021,"Barnet 004","E02000027",3685,1712,1176,601,183,13
2021,"Barnet 005","E02000028",2692,1477,841,309,57,8
2021,"Barnet 006","E02000029",3707,1852,1186,502,154,13
2021,"Barnet 007","E02000030",3519,2006,1037,379,90,7
2021,"Barnet 008","E02000031",3327,1960,972,322,69,4
2021,"Barnet 009","E02000032",2744,1499,928,272,44,1
2021,"Barnet 010","E02000033",3492,1744,1126,498,117,7
2021,"Barnet 011","E02000034",3588,1863,1184,417,115,9
2021,"Barnet 012","E02000035",3529,1859,1126,415,114,15
2021,"Barnet 013","E02000036",3944,1900,1364,525,148,7
2021,"Barnet 014","E02000037",3717,1970,1186,474,81,6
2021,"Barnet 015","E02000038",4005,2078,1279,521,117,10
2021,"Barnet 016","E02000039",2676,1500,856,235,79,6
2021,"Barnet 017","E02000040",3511,1944,1011,443,106,7
2021,"Barnet 018","E02000041",3326,1510,1160,522,113,21
2021,"Barnet 019","E02000042",4717,2146,1619,697,209,46
2021,"Barnet 020","E02000043",2667,1674,754,200,35,4
2021,"Barnet 021","E02000044",3070,1222,1123,540,170,15
2021,"Barnet 022","E02000045",4201,1952,1381,661,192,15
2021,"Barnet 023","E02000046",2879,1513,960,319,77,10
2021,"Barnet 024","E02000047",4210,1418,1685,828,266,13
2021,"Barnet 025","E02000048",3949,2186,1215,441,95,12
2021,"Barnet 026","E02000049",3802,1445,1341,713,271,32
2021,"Barnet 027","E02000050",4034,1861,1371,613,179,10
2021,"Barnet 028","E02000051",3793,1931,1229,473,132,28
2021,"Barnet 029","E02000052",4191,2200,1409,457,117,8
2021,"Barnet 031","E02000054",2971,1400,986,457,108,20
2021,"Barnet 032","E02000055",4508,1893,1713,692,189,21
2021,"Barnet 033","E02000056",3442,2212,936,252,36,6
2021,"Barnet 034","E02000057",2706,1298,885,384,111,28
2021,"Barnet 035","E02000058",4098,2216,1287,454,125,16
2021,"Barnet 036","E02000059",4437,1855,1608,747,207,20
2021,"Barnet 037","E02000060",3695,1694,1246,545,165,45
2021,"Barnet 038","E02000061",3574,1891,1154,376,110,43
2021,"Barnet 039","E02000062",2616,939,972,496,189,20
2021,"Barnet 040","E02000063",2833,1237,1010,423,134,29
2021,"Barnet 041","E02000064",2762,1323,908,393,121,17
2021,"Barnet 042","E02006953",3855,1950,1239,494,157,15
2021,"Barnet 043","E02006954",3720,1801,1237,503,150,29
2021,"Bexley 001","E02000065",2775,1143,1039,452,132,9
2021,"Bexley 002","E02000066",3548,1301,1338,661,228,20
2021,"Bexley 003","E02000067",3983,1793,1388,617,167,18
2021,"Bexley 004","E02000068",3196,1331,1095,606,149,15
2021,"Bexley 005","E02000069",2810,1298,1043,365,96,8
2021,"Bexley 006","E02000070",3140,1433,1114,489,97,7
2021,"Bexley 007","E02000071",2834,1288,1044,415,82,5
2021,"Bexley 008","E02000072",4685,1957,1550,858,299,21
2021,"Bexley 009","E02000073",3957,2122,1327,428,74,6
2021,"Bexley 010","E02000074",3503,1373,1258,671,186,15
2021,"Bexley 011","E02000075",3149,1597,1114,382,52,4
2021,"Bexley 013","E02000077",2936,1421,981,435,96,3
2021,"Bexley 014","E02000078",3019,1607,992,357,58,5
2021,"Bexley 015","E02000079",3588,1858,1211,433,79,7
2021,"Bexley 016","E02000080",3815,1890,1334,504,84,3
2021,"Bexley 017","E02000081",3279,1589,1121,461,105,3
2021,"Bexley 018","E02000082",3443,1920,1087,379,54,3
2021,"Bexley 019","E02000083",4444,2166,1462,654,148,14
2021,"Bexley 020","E02000084",4199,2297,1390,445,64,3
2021,"Bexley 021","E02000085",3073,1553,1064,386,69,1
2021,"Bexley 022","E02000086",2788,1542,905,289,50,2
2021,"Bexley 023","E02000087",3318,1842,1091,335,48,2
2021,"Bexley 024","E02000088",2980,1644,938,342,52,4
2021,"Bexley 025","E02000089",2904,1598,973,276,53,4
2021,"Bexley 026","E02000090",4194,2229,1385,475,99,6
2021,"Bexley 027","E02000091",4450,2165,1521,631,126,7
2021,"Bexley 028","E02000092",2714,1122,935,477,170,10
2021,"Bexley 029","E02006785",2573,1159,925,407,81,1
2021,"Brent 001","E02000093",3740,1696,1398,541,101,4
2021,"Brent 002","E02000094",3467,1561,1220,546,138,2
2021,"Brent 003","E02000095",3185,1338,1220,505,119,3
2021,"Brent 004","E02000096",2499,1262,899,298,38,2
2021,"Brent 005","E02000097",3038,1242,1134,527,132,3
2021,"Brent 006","E02000098",2875,1178,1104,445,139,9
2021,"Brent 007","E02000099",2919,1243,1068,467,138,3
2021,"Brent 008","E02000100",2567,1299,898,319,51,0
2021,"Brent 009","E02000101",3386,1278,1250,669,177,12
