"date","geography","geography code","Passports held: Total: All usual residents; measures: Value","Passports held: Europe; measures: Value","Passports held: Europe: United Kingdom; measures: Value","Passports held: Europe: Ireland; measures: Value","Passports held: Europe: Other Europe; measures: Value","Passports held: Europe: Other Europe: EU Member countries; measures: Value","Passports held: Europe: Other Europe: EU Member countries: France; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Germany; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Italy; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Portugal; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Spain; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Lithuania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Poland; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Romania; measures: Value","Passports held: Europe: Other Europe: EU Member countries: Other EU countries; measures: Value","Passports held: Europe: Other Europe: Rest of Europe; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Turkey; measures: Value","Passports held: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value","Passports held: Africa; measures: Value","Passports held: Africa: North Africa; measures: Value","Passports held: Africa: Central and Western Africa; measures: Value","Passports held: Africa: Central and Western Africa: Ghana; measures: Value","Passports held: Africa: Central and Western Africa: Nigeria; measures: Value","Passports held: Africa: Central and Western Africa: Other Central and Western Africa; measures: Value","Passports held: Africa: South and Eastern Africa; measures: Value","Passports held: Africa: South and Eastern Africa: Kenya; measures: Value","Passports held: Africa: South and Eastern Africa: Somalia; measures: Value","Passports held: Africa: South and Eastern Africa: South Africa; measures: Value","Passports held: Africa: South and Eastern Africa: Zimbabwe; measures: Value","Passports held: Africa: South and Eastern Africa: Other South and Eastern Africa; measures: Value","Passports held: Middle East and Asia; measures: Value","Passports held: Middle East and Asia: Middle East; measures: Value","Passports held: Middle East and Asia: Middle East: Iran; measures: Value","Passports held: Middle East and Asia: Middle East: Iraq; measures: Value","Passports held: Middle East and Asia: Middle East: Other Middle East; measures: Value","Passports held: Middle East and Asia: Eastern Asia; measures: Value","Passports held: Middle East and Asia: Eastern Asia: China; measures: Value","Passports held: Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China); measures: Value","Passports held: Middle East and Asia: Eastern Asia: Japan; measures: Value","Passports held: Middle East and Asia: Eastern Asia: Other Eastern Asia; measures: Value","Passports held: Middle East and Asia: Southern Asia; measures: Value","Passports held: Middle East and Asia: Southern Asia: Afghanistan; measures: Value","Passports held: Middle East and Asia: Southern Asia: Bangladesh; measures: Value","Passports held: Middle East and Asia: Southern Asia: India; measures: Value","Passports held: Middle East and Asia: Southern Asia: Pakistan; measures: Value","Passports held: Middle East and Asia: Southern Asia: Sri Lanka; measures: Value","Passports held: Middle East and Asia: Southern Asia: Other Southern Asia; measures: Value","Passports held: Middle East and Asia: South-East Asia; measures: Value","Passports held: Middle East and Asia: South-East Asia: Malaysia; measures: Value","Passports held: Middle East and Asia: South-East Asia: Philippines; measures: Value","Passports held: Middle East and Asia: South-East Asia: Singapore; measures: Value","Passports held: Middle East and Asia: South-East Asia: Other South-East Asia; measures: Value","Passports held: Middle East and Asia: Central Asia; measures: Value","Passports held: The Americas and the Caribbean; measures: Value","Passports held: The Americas and the Caribbean: North America; measures: Value","Passports held: The Americas and the Caribbean: North America: Canada; measures: Value","Passports held: The Americas and the Caribbean: North America: United States; measures: Value","Passports held: The Americas and the Caribbean: Central America; measures: Value","Passports held: The Americas and the Caribbean: South America; measures: Value","Passports held: The Americas and the Caribbean: The Caribbean; measures: Value","Passports held: The Americas and the Caribbean: The Caribbean: Jamaica; measures: Value","Passports held: The Americas and the Caribbean: The Caribbean: Other Caribbean; measures: Value","Passports held: Antarctica and Oceania; measures: Value","Passports held: Antarctica and Oceania: Australasia; measures: Value","Passports held: Antarctica and Oceania: Australasia: Australia; measures: Value","Passports held: Antarctica and Oceania: Australasia: New Zealand; measures: Value","Passports held: Antarctica and Oceania: Other Antarctica and Oceania; measures: Value","Passports held: British Overseas Territories; measures: Value","Passports held: No passport held; measures: Value"
2021,"City of London 001","E02000001",8582,7220,5465,129,1626,1445,201,128,257,71,168,23,112,47,438,181,28,153,69,28,14,3,7,4,27,3,0,15,3,6,639,40,11,1,28,342,232,21,60,29,144,0,23,113,5,0,3,105,36,9,46,14,8,320,230,59,171,11,74,5,0,5,137,137,114,23,0,1,196
2021,"Barking and Dagenham 001","E02000002",8277,6860,5832,65,963,892,20,12,50,60,29,125,112,369,115,71,3,68,198,14,150,33,97,20,34,7,0,3,7,17,263,1,0,0,1,6,3,1,0,2,234,4,37,96,85,7,5,21,2,13,0,6,1,40,3,0,3,0,4,33,20,13,7,7,5,2,0,0,909
2021,"Barking and Dagenham 002","E02000003",11543,9796,7616,136,2044,1963,49,51,140,102,51,248,137,926,259,81,7,74,180,8,125,32,79,14,47,7,0,1,5,34,643,8,2,3,3,6,4,2,0,0,601,4,126,245,211,11,4,28,3,21,0,4,0,36,9,1,8,0,16,11,6,5,3,3,2,1,0,0,885
2021,"Barking and Dagenham 003","E02000004",6639,5662,4836,47,779,736,28,12,38,37,11,166,53,259,132,43,13,30,100,6,70,17,51,2,24,2,0,1,16,5,147,0,0,0,0,9,7,2,0,0,118,3,15,53,32,8,7,20,4,10,0,6,0,21,8,1,7,0,6,7,3,4,0,0,0,0,0,0,709
2021,"Barking and Dagenham 004","E02000005",11083,9172,7447,54,1671,1592,41,44,142,152,48,253,106,526,280,79,9,70,272,7,216,57,129,30,49,0,1,3,12,33,568,4,2,0,2,17,11,2,3,1,524,1,65,261,175,16,6,20,10,4,4,2,3,56,8,3,5,0,19,29,15,14,2,2,1,1,0,0,1013
2021,"Barking and Dagenham 006","E02000007",10159,8125,6687,48,1390,1337,68,43,118,107,44,247,94,406,210,53,7,46,349,10,297,73,193,31,42,14,0,1,7,20,269,4,2,0,2,11,9,0,0,2,232,0,58,76,79,8,11,17,5,8,0,4,5,29,7,2,5,2,2,18,13,5,0,0,0,0,0,0,1387
2021,"Barking and Dagenham 007","E02000008",13256,10847,8621,63,2163,2067,39,30,205,163,86,478,136,640,290,96,9,87,363,3,305,78,193,34,55,9,1,7,15,23,423,3,0,2,1,11,5,0,3,3,396,5,95,115,167,10,4,13,6,6,0,1,0,50,3,2,1,0,12,35,22,13,0,0,0,0,0,0,1573
2021,"Barking and Dagenham 008","E02000009",12865,10700,8039,43,2618,2511,63,46,263,213,72,442,115,692,605,107,12,95,351,13,285,67,187,31,53,8,5,3,8,29,535,6,1,0,5,16,8,1,6,1,482,7,120,201,124,20,10,31,7,16,4,4,0,73,32,2,30,0,22,19,10,9,4,4,2,2,0,0,1202
2021,"Barking and Dagenham 009","E02000010",9483,7770,5971,48,1751,1675,22,18,100,87,63,432,123,562,268,76,4,72,286,12,237,64,160,13,37,6,0,0,15,16,233,4,3,0,1,2,2,0,0,0,200,3,67,50,46,4,30,25,2,21,0,2,2,24,3,0,3,0,8,13,8,5,1,1,0,1,0,0,1169
2021,"Barking and Dagenham 010","E02000011",7028,5921,4568,43,1310,1266,20,14,91,69,14,231,73,549,205,44,5,39,203,4,186,49,113,24,13,4,0,3,0,6,217,1,1,0,0,19,17,0,2,0,171,1,75,42,42,8,3,25,11,10,0,4,1,23,7,1,6,0,7,9,8,1,0,0,0,0,0,0,664
2021,"Barking and Dagenham 011","E02000012",11510,10173,8969,33,1171,1112,42,44,119,60,56,152,54,399,186,59,2,57,142,17,103,26,71,6,22,2,0,4,0,16,527,2,1,0,1,9,5,1,3,0,495,7,206,124,144,12,2,17,10,3,1,3,4,55,10,5,5,0,20,25,16,9,1,1,1,0,0,0,612
2021,"Barking and Dagenham 012","E02000013",9401,7641,5887,33,1721,1616,42,14,99,110,35,398,102,560,256,105,28,77,271,10,236,67,147,22,25,3,0,5,4,13,250,4,2,0,2,13,8,0,2,3,217,1,54,75,76,9,2,15,2,8,0,5,1,33,5,2,3,0,10,18,7,11,1,1,1,0,0,0,1205
