"date","geography","geography code","Year of arrival in the UK: Total: All usual residents; measures: Value","Year of arrival in the UK: Born in the UK; measures: Value","Year of arrival in the UK: Arrived before 1951; measures: Value","Year of arrival in the UK: Arrived 1951 to 1960; measures: Value","Year of arrival in the UK: Arrived 1961 to 1970; measures: Value","Year of arrival in the UK: Arrived 1971 to 1980; measures: Value","Year of arrival in the UK: Arrived 1981 to 1990; measures: Value","Year of arrival in the UK: Arrived 1991 to 2000; measures: Value","Year of arrival in the UK: Arrived 2001 to 2010; measures: Value","Year of arrival in the UK: Arrived 2011 to 2013; measures: Value","Year of arrival in the UK: Arrived 2014 to 2016; measures: Value","Year of arrival in the UK: Arrived 2017 to 2019; measures: Value","Year of arrival in the UK: Arrived 2020 to 2021; measures: Value"
2021,"City of London 001","E02000001",8585,4327,16,36,97,145,194,451,736,370,615,896,702
2021,"Barking and Dagenham 001","E02000002",8278,5361,9,56,97,102,180,474,1071,253,319,265,91
2021,"Barking and Dagenham 002","E02000003",11539,6692,23,90,200,236,321,471,1388,454,755,590,319
2021,"Barking and Dagenham 003","E02000004",6640,4752,11,32,69,66,104,246,656,205,241,191,67
2021,"Barking and Dagenham 004","E02000005",11084,6665,9,33,94,77,217,546,1689,499,589,498,168
2021,"Barking and Dagenham 006","E02000007",10162,6612,3,22,42,54,205,626,1330,360,383,393,132
2021,"Barking and Dagenham 007","E02000008",13250,8354,9,26,66,99,246,747,1826,514,643,551,169
2021,"Barking and Dagenham 008","E02000009",12861,7260,5,23,91,115,247,777,1977,679,752,667,268
2021,"Barking and Dagenham 009","E02000010",9488,5877,2,19,48,54,164,508,1412,329,493,451,131
2021,"Barking and Dagenham 010","E02000011",7027,4252,6,27,53,71,195,354,918,283,339,376,153
2021,"Barking and Dagenham 011","E02000012",11510,7059,7,50,213,457,676,702,942,296,456,401,251
2021,"Barking and Dagenham 012","E02000013",9399,5773,3,13,34,78,182,502,1382,359,518,424,131
2021,"Barking and Dagenham 013","E02000014",9871,6176,8,24,44,50,169,487,1356,356,548,474,179
2021,"Barking and Dagenham 014","E02000015",8229,5104,3,21,40,31,169,508,1218,322,357,325,131
2021,"Barking and Dagenham 015","E02000016",10566,4406,3,11,63,91,191,791,1688,608,940,1320,454
2021,"Barking and Dagenham 016","E02000017",9133,4165,2,29,220,280,320,502,1233,512,755,824,291
2021,"Barking and Dagenham 017","E02000018",9553,5847,4,15,39,61,181,538,1344,426,484,445,169
2021,"Barking and Dagenham 018","E02000019",9660,6038,4,23,41,62,180,539,1357,422,491,384,119
2021,"Barking and Dagenham 019","E02000020",14056,7326,4,33,102,161,395,1043,2303,662,855,812,360
2021,"Barking and Dagenham 020","E02000021",8756,4971,7,47,84,88,206,536,1368,382,466,433,168
2021,"Barking and Dagenham 021","E02000022",7741,3918,0,4,22,46,155,774,1416,340,470,436,160
2021,"Barking and Dagenham 022","E02000023",8019,4605,1,8,18,43,203,650,1392,318,351,285,145
2021,"Barking and Dagenham 023","E02006799",12038,7269,7,29,107,129,247,633,1663,542,614,597,201
2021,"Barnet 001","E02000024",10840,7779,30,112,243,267,228,465,683,234,331,332,136
2021,"Barnet 002","E02000025",8583,6102,19,59,146,200,152,394,649,215,297,263,87
2021,"Barnet 003","E02000026",6457,4644,25,79,201,226,174,289,369,122,140,141,47
2021,"Barnet 004","E02000027",9645,6389,11,65,161,242,321,616,994,221,289,248,88
2021,"Barnet 005","E02000028",6533,4348,15,75,136,183,156,358,545,169,187,268,93
2021,"Barnet 006","E02000029",9677,6419,14,80,159,215,160,519,796,276,398,462,179
2021,"Barnet 007","E02000030",9458,6648,28,103,247,331,292,436,741,182,162,216,72
2021,"Barnet 008","E02000031",8331,5320,37,129,211,314,259,376,675,234,313,333,130
2021,"Barnet 009","E02000032",7937,5123,30,186,398,444,255,428,513,136,171,178,75
2021,"Barnet 010","E02000033",8890,5799,19,129,241,275,262,496,804,247,238,298,82
2021,"Barnet 011","E02000034",9083,5573,27,137,242,301,246,486,860,278,387,403,143
