"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
2021,"City of London 001","E02000001",8583,4327,1690,745,838,983
2021,"Barking and Dagenham 001","E02000002",8280,5361,2021,472,247,179
2021,"Barking and Dagenham 002","E02000003",11542,6692,2783,962,609,496
2021,"Barking and Dagenham 003","E02000004",6640,4752,1203,390,180,115
2021,"Barking and Dagenham 004","E02000005",11081,6665,2713,884,464,355
2021,"Barking and Dagenham 006","E02000007",10162,6612,2324,589,419,218
2021,"Barking and Dagenham 007","E02000008",13249,8354,3060,970,528,337
2021,"Barking and Dagenham 008","E02000009",12861,7260,3304,1203,637,457
2021,"Barking and Dagenham 009","E02000010",9489,5877,2232,654,470,256
2021,"Barking and Dagenham 010","E02000011",7030,4252,1652,505,376,245
2021,"Barking and Dagenham 011","E02000012",11511,7059,3072,639,373,368
2021,"Barking and Dagenham 012","E02000013",9398,5773,2228,714,443,240
2021,"Barking and Dagenham 013","E02000014",9864,6176,2168,737,481,302
2021,"Barking and Dagenham 014","E02000015",8228,5104,2020,576,305,223
2021,"Barking and Dagenham 015","E02000016",10568,4406,2884,1232,1210,836
2021,"Barking and Dagenham 016","E02000017",9133,4165,2644,1001,820,503
2021,"Barking and Dagenham 017","E02000018",9553,5847,2220,770,437,279
2021,"Barking and Dagenham 018","E02000019",9662,6038,2232,768,399,225
2021,"Barking and Dagenham 019","E02000020",14055,7326,4122,1220,777,610
2021,"Barking and Dagenham 020","E02000021",8761,4971,2373,707,429,281
2021,"Barking and Dagenham 021","E02000022",7740,3918,2448,679,417,278
2021,"Barking and Dagenham 022","E02000023",8019,4605,2348,557,296,213
2021,"Barking and Dagenham 023","E02006799",12041,7269,2864,966,578,364
2021,"Barnet 001","E02000024",10841,7779,2047,467,310,238
2021,"Barnet 002","E02000025",8582,6102,1643,411,259,167
2021,"Barnet 003","E02000026",6457,4644,1372,226,125,90
2021,"Barnet 004","E02000027",9647,6389,2425,441,224,168
2021,"Barnet 005","E02000028",6533,4348,1488,289,227,181
2021,"Barnet 006","E02000029",9678,6419,1951,549,453,306
2021,"Barnet 007","E02000030",9457,6648,2197,275,190,147
2021,"Barnet 008","E02000031",8331,5320,2010,449,337,215
2021,"Barnet 009","E02000032",7939,5123,2258,248,167,143
2021,"Barnet 010","E02000033",8891,5799,2239,417,271,165
2021,"Barnet 011","E02000034",9084,5573,2321,519,427,244
2021,"Barnet 012","E02000035",8529,4549,2163,727,597,493
2021,"Barnet 013","E02000036",11242,6670,3168,732,413,259
2021,"Barnet 014","E02000037",10835,6828,2765,656,383,203
2021,"Barnet 015","E02000038",10715,6486,2824,627,502,276
2021,"Barnet 016","E02000039",7168,4665,1693,346,243,221
2021,"Barnet 017","E02000040",9139,5704,2331,462,281,361
2021,"Barnet 018","E02000041",9457,4947,2848,803,503,356
2021,"Barnet 019","E02000042",11559,5711,3466,925,903,554
2021,"Barnet 020","E02000043",7570,4341,2015,391,460,363
2021,"Barnet 021","E02000044",8843,4916,2663,544,437,283
2021,"Barnet 022","E02000045",10524,6152,2953,695,468,256
2021,"Barnet 023","E02000046",6961,3503,1988,559,554,357
2021,"Barnet 024","E02000047",12397,5754,4273,1094,762,514
2021,"Barnet 025","E02000048",10283,6082,2785,648,494,274
2021,"Barnet 026","E02000049",10532,5347,3704,763,363,355
2021,"Barnet 027","E02000050",10380,6142,2762,678,452,346
2021,"Barnet 028","E02000051",9160,5056,2405,647,557,495
2021,"Barnet 029","E02000052",9849,5986,2359,652,553,299
2021,"Barnet 031","E02000054",7631,3501,2326,717,641,446
