"date","geography","geography code","Household size: Total: All household spaces; measures: Value","Household size: 0 people in household; measures: Value","Household size: 1 person in household; measures: Value","Household size: 2 people in household; measures: Value","Household size: 3 people in household; measures: Value","Household size: 4 people in household; measures: Value","Household size: 5 people in household; measures: Value","Household size: 6 people in household; measures: Value","Household size: 7 people in household; measures: Value","Household size: 8 or more people in household; measures: Value"
2021,"City of London 001","E02000001",4914,0,2506,1767,371,190,52,11,7,10
2021,"Barking and Dagenham 001","E02000002",2870,0,725,629,527,537,276,122,34,20
2021,"Barking and Dagenham 002","E02000003",3930,0,974,946,682,676,347,139,85,81
2021,"Barking and Dagenham 003","E02000004",2310,0,539,616,462,373,190,78,28,24
2021,"Barking and Dagenham 004","E02000005",3627,0,706,822,681,803,381,142,60,32
2021,"Barking and Dagenham 006","E02000007",3677,0,1071,813,676,578,342,121,45,31
2021,"Barking and Dagenham 007","E02000008",4624,0,1078,1146,865,849,420,163,50,53
2021,"Barking and Dagenham 008","E02000009",4254,0,1011,920,792,775,403,172,76,105
2021,"Barking and Dagenham 009","E02000010",3328,0,783,777,680,603,298,126,46,15
2021,"Barking and Dagenham 010","E02000011",2353,0,530,560,437,437,224,100,44,21
2021,"Barking and Dagenham 011","E02000012",3289,0,694,573,490,585,427,253,107,160
2021,"Barking and Dagenham 012","E02000013",3254,0,790,764,598,588,292,144,47,31
2021,"Barking and Dagenham 013","E02000014",3388,0,758,806,692,619,300,139,54,20
2021,"Barking and Dagenham 014","E02000015",3034,0,938,633,554,460,275,106,42,26
2021,"Barking and Dagenham 015","E02000016",3811,0,1040,898,744,573,326,118,59,53
2021,"Barking and Dagenham 016","E02000017",2768,0,622,507,485,481,297,198,86,92
2021,"Barking and Dagenham 017","E02000018",3234,0,718,737,649,589,325,145,40,31
2021,"Barking and Dagenham 018","E02000019",3211,0,589,741,743,636,322,121,41,18
2021,"Barking and Dagenham 019","E02000020",4673,0,1048,1034,894,846,493,206,91,61
2021,"Barking and Dagenham 020","E02000021",2930,0,663,661,560,557,281,137,39,32
2021,"Barking and Dagenham 021","E02000022",2797,0,756,700,503,428,226,95,72,17
2021,"Barking and Dagenham 022","E02000023",2663,0,625,571,477,507,287,132,48,16
2021,"Barking and Dagenham 023","E02006799",3890,0,847,775,758,773,419,178,100,40
2021,"Barnet 001","E02000024",4477,0,1300,1457,740,703,204,51,13,9
2021,"Barnet 002","E02000025",3746,0,1314,1101,603,512,138,37,37,4
2021,"Barnet 003","E02000026",2511,0,652,742,467,439,159,41,5,6
2021,"Barnet 004","E02000027",3685,0,1002,967,755,628,224,71,26,12
2021,"Barnet 005","E02000028",2693,0,770,849,487,423,112,33,15,4
2021,"Barnet 006","E02000029",3706,0,991,1045,749,643,175,56,10,37
2021,"Barnet 007","E02000030",3519,0,765,1142,635,626,246,78,16,11
2021,"Barnet 008","E02000031",3331,0,935,1038,587,542,169,36,14,10
2021,"Barnet 009","E02000032",2744,0,489,727,575,645,218,61,17,12
2021,"Barnet 010","E02000033",3494,0,977,967,661,625,184,48,17,15
2021,"Barnet 011","E02000034",3588,0,973,1068,681,579,192,64,21,10
2021,"Barnet 012","E02000035",3527,0,1113,1128,599,485,141,40,18,3
2021,"Barnet 013","E02000036",3944,0,932,1031,744,694,303,130,50,60
2021,"Barnet 014","E02000037",3716,0,778,1074,692,587,301,131,80,73
2021,"Barnet 015","E02000038",4006,0,1019,1149,771,696,245,87,27,12
2021,"Barnet 016","E02000039",2674,0,672,757,473,472,196,49,43,12
2021,"Barnet 017","E02000040",3508,0,995,1032,640,525,200,72,29,15
2021,"Barnet 018","E02000041",3325,0,782,916,624,509,257,132,58,47
2021,"Barnet 019","E02000042",4714,0,1544,1344,832,644,195,88,42,25
2021,"Barnet 020","E02000043",2665,0,516,747,535,594,206,36,16,15
2021,"Barnet 021","E02000044",3069,0,681,773,627,508,284,124,55,17
2021,"Barnet 022","E02000045",4203,0,1289,1103,797,669,220,72,34,19
2021,"Barnet 023","E02000046",2879,0,822,886,585,402,123,42,14,5
2021,"Barnet 024","E02000047",4208,0,959,1046,816,726,337,170,79,75
2021,"Barnet 025","E02000048",3950,0,1044,1149,689,662,273,92,25,16
2021,"Barnet 026","E02000049",3800,0,1024,937,747,557,287,149,44,55
2021,"Barnet 027","E02000050",4034,0,1147,1111,763,629,221,106,27,30
2021,"Barnet 028","E02000051",3793,0,1197,1171,619,468,244,56,23,15
2021,"Barnet 029","E02000052",4192,0,1321,1259,748,639,160,45,14,6
2021,"Barnet 031","E02000054",2971,0,926,819,522,367,169,87,31,50
2021,"Barnet 032","E02000055",4506,0,1335,1257,806,566,314,144,49,35
2021,"Barnet 033","E02000056",3442,0,844,1059,590,576,272,74,15,12
2021,"Barnet 034","E02000057",2706,0,686,685,435,364,248,177,66,45
2021,"Barnet 035","E02000058",4099,0,1331,1215,589,537,207,109,60,51
2021,"Barnet 036","E02000059",4435,0,1334,1196,776,576,296,123,54,80
2021,"Barnet 037","E02000060",3693,0,1104,878,468,400,252,193,213,185
2021,"Barnet 038","E02000061",3573,0,1303,1051,522,414,182,58,24,19
2021,"Barnet 039","E02000062",2614,0,812,617,489,322,207,100,48,19
2021,"Barnet 040","E02000063",2833,0,855,688,503,422,215,88,35,27
2021,"Barnet 041","E02000064",2762,0,833,838,556,335,145,40,11,4
2021,"Barnet 042","E02006953",3853,0,1275,1315,681,388,144,33,9,8
2021,"Barnet 043","E02006954",3720,0,1015,1014,665,536,247,136,58,49
2021,"Bexley 001","E02000065",2776,0,658,649,538,471,281,118,45,16
2021,"Bexley 002","E02000066",3547,0,1129,786,627,534,264,133,49,25
2021,"Bexley 003","E02000067",3983,0,1129,1077,776,597,272,81,33,18
2021,"Bexley 004","E02000068",3194,0,959,804,614,485,232,65,24,11
2021,"Bexley 005","E02000069",2812,0,781,835,490,417,194,58,26,11
2021,"Bexley 006","E02000070",3140,0,789,976,554,532,193,67,22,7
2021,"Bexley 007","E02000071",2834,0,655,806,565,498,202,74,23,11
2021,"Bexley 008","E02000072",4690,0,1148,1203,934,795,400,134,43,33
2021,"Bexley 009","E02000073",3957,0,809,1235,760,770,263,89,19,12
2021,"Bexley 010","E02000074",3508,0,1042,968,638,509,235,78,24,14
2021,"Bexley 011","E02000075",3150,0,727,1074,595,518,177,44,13,2
2021,"Bexley 013","E02000077",2936,0,619,836,574,612,198,70,22,5
2021,"Bexley 014","E02000078",3019,0,653,1015,565,551,160,49,15,11
2021,"Bexley 015","E02000079",3588,0,1049,1130,654,546,146,43,15,5
2021,"Bexley 016","E02000080",3816,0,932,1084,749,697,249,70,18,17
2021,"Bexley 017","E02000081",3278,0,901,969,592,559,187,50,10,10
2021,"Bexley 018","E02000082",3443,0,725,1013,686,700,227,67,16,9
2021,"Bexley 019","E02000083",4447,0,1195,1340,812,713,269,78,28,12
2021,"Bexley 020","E02000084",4202,0,936,1315,775,813,255,67,25,16
2021,"Bexley 021","E02000085",3070,0,745,948,550,568,197,44,15,3
2021,"Bexley 022","E02000086",2788,0,627,908,538,520,150,35,6,4
2021,"Bexley 023","E02000087",3321,0,868,1095,561,586,161,39,10,1
2021,"Bexley 024","E02000088",2982,0,625,1001,578,572,146,43,14,3
2021,"Bexley 025","E02000089",2905,0,582,937,549,622,158,43,11,3
2021,"Bexley 026","E02000090",4194,0,1485,1377,610,509,159,39,9,6
2021,"Bexley 027","E02000091",4449,0,1539,1332,757,568,200,34,14,5
2021,"Bexley 028","E02000092",2714,0,777,799,528,398,142,54,10,6
2021,"Bexley 029","E02006785",2574,0,671,788,446,446,138,50,22,13
2021,"Brent 001","E02000093",3742,0,692,938,688,660,371,198,108,87
2021,"Brent 002","E02000094",3468,0,732,896,677,552,297,170,84,60
2021,"Brent 003","E02000095",3184,0,574,705,607,628,283,185,86,116
2021,"Brent 004","E02000096",2498,0,467,668,460,499,215,96,37,56
2021,"Brent 005","E02000097",3036,0,635,709,553,539,270,159,79,92
2021,"Brent 006","E02000098",2875,0,621,735,524,479,268,133,63,52
2021,"Brent 007","E02000099",2917,0,558,639,576,571,245,119,74,135
2021,"Brent 008","E02000100",2569,0,512,617,498,453,249,138,56,46
2021,"Brent 009","E02000101",3386,0,870,778,639,569,271,137,70,52
2021,"Brent 010","E02000102",2684,0,692,565,462,377,251,175,83,79
2021,"Brent 011","E02000103",3461,0,884,890,637,518,285,125,61,61
2021,"Brent 012","E02000104",2417,0,615,527,388,426,231,104,51,75
2021,"Brent 013","E02000105",3107,0,685,687,563,552,293,163,74,90
2021,"Brent 014","E02000106",3586,0,1018,857,586,498,287,168,76,96
2021,"Brent 015","E02000107",4362,0,1498,1168,704,484,260,120,51,77
2021,"Brent 016","E02000108",2274,0,436,522,435,423,210,136,53,59
2021,"Brent 018","E02000110",3094,0,928,822,520,435,218,77,59,35
2021,"Brent 019","E02000111",3192,0,592,640,582,581,353,182,85,177
2021,"Brent 020","E02000112",3496,0,649,884,626,537,307,203,128,162
2021,"Brent 021","E02000113",3293,0,840,811,602,421,288,184,79,68
2021,"Brent 022","E02000114",3707,0,1245,1173,550,411,178,73,32,45
2021,"Brent 023","E02000115",3879,0,1488,1181,580,388,163,52,11,16
2021,"Brent 024","E02000116",3240,0,951,841,616,443,216,87,43,43
2021,"Brent 025","E02000117",4759,0,1611,1029,819,657,316,149,85,93
2021,"Brent 026","E02000118",3157,0,605,644,565,483,333,226,96,205
2021,"Brent 027","E02000119",3953,0,1255,960,704,523,263,129,54,65
2021,"Brent 028","E02000120",4244,0,1699,1352,546,424,137,48,19,19
2021,"Brent 029","E02000121",3627,0,735,802,667,603,338,179,99,204
2021,"Brent 030","E02000122",3161,0,947,818,581,471,214,74,31,25
2021,"Brent 031","E02000123",5539,0,1874,1444,988,704,304,135,53,37
2021,"Brent 032","E02000124",4160,0,1287,1275,732,595,182,48,21,20
2021,"Brent 033","E02000125",3942,0,1182,1071,751,583,227,62,27,39
2021,"Brent 034","E02000126",3405,0,1270,908,501,366,188,98,39,35
2021,"Brent 035","E02006955",2707,0,826,1022,419,243,89,54,23,31
2021,"Brent 036","E02006956",2505,0,515,646,437,403,216,125,65,98
2021,"Bromley 001","E02000127",3785,0,1152,1034,754,534,223,63,15,10
2021,"Bromley 002","E02000128",3063,0,776,983,626,491,141,29,12,5
2021,"Bromley 004","E02000130",3665,0,1148,1221,606,507,137,36,6,4
2021,"Bromley 005","E02000131",5068,0,1876,1818,769,440,120,25,13,7
2021,"Bromley 006","E02000132",4942,0,2039,1683,687,398,93,29,12,1
2021,"Bromley 007","E02000133",4329,0,1083,1501,728,775,196,33,8,5
2021,"Bromley 008","E02000134",5300,0,1840,1746,841,645,171,42,7,8
2021,"Bromley 009","E02000135",4443,0,1680,1332,746,428,161,62,29,5
2021,"Bromley 010","E02000136",2295,0,666,719,394,341,131,26,14,4
2021,"Bromley 011","E02000137",3674,0,1218,1220,582,479,128,30,12,5
2021,"Bromley 012","E02000138",4139,0,1599,1439,590,374,98,28,5,6
2021,"Bromley 013","E02000139",3308,0,1040,1048,583,485,117,25,7,3
2021,"Bromley 014","E02000140",3337,0,988,800,673,530,230,68,30,18
2021,"Bromley 015","E02000141",3091,0,962,952,587,444,104,25,13,4
2021,"Bromley 016","E02000142",3451,0,897,1030,652,659,167,37,4,5
