"date","geography","geography code","Age of arrival in the UK: Total: All usual residents; measures: Value","Age of arrival in the UK: Born in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value","Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value"
2021,"City of London 001","E02000001",8582,4327,4255,183,64,34,144,54,214,375,1021,978,893,247,21,23,2,1,1
2021,"Barking and Dagenham 001","E02000002",8278,5361,2917,281,118,92,201,46,116,143,573,597,603,105,19,19,3,1,0
2021,"Barking and Dagenham 002","E02000003",11542,6692,4850,372,203,159,363,64,195,367,1016,880,911,275,25,18,2,0,0
2021,"Barking and Dagenham 003","E02000004",6640,4752,1888,167,78,57,119,32,72,150,377,331,382,93,13,13,3,0,1
2021,"Barking and Dagenham 004","E02000005",11082,6665,4417,382,209,123,267,68,161,243,914,826,963,220,17,22,2,0,0
2021,"Barking and Dagenham 006","E02000007",10162,6612,3550,295,164,113,242,56,140,198,664,646,823,175,15,15,3,1,0
2021,"Barking and Dagenham 007","E02000008",13255,8354,4901,449,218,149,341,69,178,272,888,806,1199,260,32,31,7,2,0
2021,"Barking and Dagenham 008","E02000009",12859,7260,5599,586,272,156,384,80,174,309,975,976,1338,278,35,29,5,2,0
2021,"Barking and Dagenham 009","E02000010",9488,5877,3611,291,171,98,245,44,129,208,631,653,915,175,25,20,6,0,0
2021,"Barking and Dagenham 010","E02000011",7027,4252,2775,208,122,74,197,28,97,182,544,488,667,138,15,11,3,1,0
2021,"Barking and Dagenham 011","E02000012",11512,7059,4453,501,229,173,352,70,170,338,902,655,821,191,20,25,4,0,2
2021,"Barking and Dagenham 012","E02000013",9396,5773,3623,328,165,102,225,49,133,171,665,662,946,145,14,15,2,1,0
2021,"Barking and Dagenham 013","E02000014",9863,6176,3687,316,127,100,241,44,135,230,664,648,924,199,20,35,3,0,1
2021,"Barking and Dagenham 014","E02000015",8227,5104,3123,269,139,95,214,52,109,152,573,533,796,159,11,17,3,1,0
2021,"Barking and Dagenham 015","E02000016",10568,4406,6162,642,279,157,362,81,193,305,979,1136,1657,296,35,27,13,0,0
2021,"Barking and Dagenham 016","E02000017",9133,4165,4968,393,229,123,393,85,194,323,871,798,1183,309,32,25,10,0,0
2021,"Barking and Dagenham 017","E02000018",9553,5847,3706,345,169,82,233,64,147,195,754,651,870,157,22,14,2,1,0
2021,"Barking and Dagenham 018","E02000019",9661,6038,3623,325,142,101,268,65,117,198,665,617,891,187,18,20,8,1,0
2021,"Barking and Dagenham 019","E02000020",14056,7326,6730,553,301,177,429,117,289,377,1297,1191,1582,322,44,42,9,0,0
2021,"Barking and Dagenham 020","E02000021",8758,4971,3787,392,193,117,263,44,137,212,653,649,911,181,14,14,7,0,0
2021,"Barking and Dagenham 021","E02000022",7737,3918,3819,348,145,85,278,81,157,214,772,722,830,159,15,12,1,0,0
2021,"Barking and Dagenham 022","E02000023",8019,4605,3414,275,145,81,252,56,150,190,651,623,789,151,20,21,9,1,0
2021,"Barking and Dagenham 023","E02006799",12042,7269,4773,455,197,175,345,64,152,265,919,812,1118,210,30,22,9,0,0
2021,"Barnet 001","E02000024",10842,7779,3063,308,111,83,174,48,103,202,572,586,701,127,18,24,5,0,1
2021,"Barnet 002","E02000025",8582,6102,2480,226,102,49,151,51,119,181,440,483,526,115,14,19,3,1,0
2021,"Barnet 003","E02000026",6460,4644,1816,174,79,45,151,33,101,141,377,262,329,79,15,24,4,2,0
2021,"Barnet 004","E02000027",9647,6389,3258,327,130,94,238,50,147,199,558,614,730,132,16,19,3,1,0
2021,"Barnet 005","E02000028",6529,4348,2181,209,96,42,129,36,110,157,430,386,468,88,12,14,4,0,0
2021,"Barnet 006","E02000029",9677,6419,3258,300,139,64,197,45,150,216,682,588,710,125,15,23,4,0,0
2021,"Barnet 007","E02000030",9459,6648,2811,288,127,72,183,44,110,179,593,438,628,117,10,16,2,3,1
2021,"Barnet 008","E02000031",8331,5320,3011,259,133,80,157,31,141,188,538,553,728,147,21,23,11,1,0
2021,"Barnet 009","E02000032",7938,5123,2815,276,122,71,209,53,174,260,573,464,454,109,16,22,12,0,0
2021,"Barnet 010","E02000033",8886,5799,3087,276,129,76,192,45,146,186,651,573,663,113,14,16,7,0,0
2021,"Barnet 011","E02000034",9086,5573,3513,318,139,106,210,63,153,263,696,612,765,148,20,16,3,1,0
2021,"Barnet 012","E02000035",8531,4549,3982,362,140,85,215,58,154,228,671,728,1035,229,32,36,9,0,0
2021,"Barnet 013","E02000036",11245,6670,4575,474,195,122,280,88,183,297,873,785,994,200,39,32,13,0,0
