"date","geography","geography code","Migrant indicator: Total: All usual residents; measures: Value","Migrant indicator: Address one year ago is the same as the address of enumeration; measures: Value","Migrant indicator: Address one year ago is student term-time or boarding school address in the UK; measures: Value","Migrant indicator: Migrant from within the UK: Address one year ago was in the UK; measures: Value","Migrant indicator: Migrant from outside the UK: Address one year ago was outside the UK; measures: Value"
2021,"City of London 001","E02000001",8539,6237,190,1564,548
2021,"Barking and Dagenham 001","E02000002",8166,7622,13,479,52
2021,"Barking and Dagenham 002","E02000003",11341,10285,16,914,126
2021,"Barking and Dagenham 003","E02000004",6576,6000,7,530,39
2021,"Barking and Dagenham 004","E02000005",10920,9984,12,835,89
2021,"Barking and Dagenham 006","E02000007",10019,9194,12,739,74
2021,"Barking and Dagenham 007","E02000008",13120,12172,13,866,69
2021,"Barking and Dagenham 008","E02000009",12703,11590,18,945,150
2021,"Barking and Dagenham 009","E02000010",9365,8675,14,626,50
2021,"Barking and Dagenham 010","E02000011",6936,6366,7,469,94
2021,"Barking and Dagenham 011","E02000012",11393,10620,13,610,150
2021,"Barking and Dagenham 012","E02000013",9270,8528,17,663,62
2021,"Barking and Dagenham 013","E02000014",9754,9040,15,597,102
2021,"Barking and Dagenham 014","E02000015",8108,7517,10,521,60
2021,"Barking and Dagenham 015","E02000016",10348,8665,22,1441,220
2021,"Barking and Dagenham 016","E02000017",9009,8076,11,769,153
2021,"Barking and Dagenham 017","E02000018",9420,8671,15,655,79
2021,"Barking and Dagenham 018","E02000019",9486,8620,10,775,81
2021,"Barking and Dagenham 019","E02000020",13826,12727,16,930,153
2021,"Barking and Dagenham 020","E02000021",8639,7893,16,628,102
2021,"Barking and Dagenham 021","E02000022",7542,6816,14,621,91
2021,"Barking and Dagenham 022","E02000023",7921,7193,11,658,59
2021,"Barking and Dagenham 023","E02006799",11853,10996,14,713,130
2021,"Barnet 001","E02000024",10734,9710,52,855,117
2021,"Barnet 002","E02000025",8486,7597,33,790,66
2021,"Barnet 003","E02000026",6378,5798,13,528,39
2021,"Barnet 004","E02000027",9550,8808,29,648,65
2021,"Barnet 005","E02000028",6465,5760,23,612,70
2021,"Barnet 006","E02000029",9509,8557,28,800,124
2021,"Barnet 007","E02000030",9387,8620,25,671,71
2021,"Barnet 008","E02000031",8240,7362,26,757,95
2021,"Barnet 009","E02000032",7890,7377,26,423,64
2021,"Barnet 010","E02000033",8821,8123,16,628,54
2021,"Barnet 011","E02000034",8983,8141,39,694,109
2021,"Barnet 012","E02000035",8449,7240,40,961,208
2021,"Barnet 013","E02000036",11120,10287,32,690,111
2021,"Barnet 014","E02000037",10711,9842,35,735,99
2021,"Barnet 015","E02000038",10619,9539,37,915,128
2021,"Barnet 016","E02000039",7057,6297,28,642,90
2021,"Barnet 017","E02000040",9019,7779,36,1032,172
2021,"Barnet 018","E02000041",9362,8514,29,706,113
2021,"Barnet 019","E02000042",11391,9854,42,1296,199
2021,"Barnet 020","E02000043",7495,6703,24,597,171
2021,"Barnet 021","E02000044",8753,8035,33,601,84
2021,"Barnet 022","E02000045",10419,9422,32,858,107
2021,"Barnet 023","E02000046",6875,5833,20,895,127
2021,"Barnet 024","E02000047",12228,10979,29,1068,152
2021,"Barnet 025","E02000048",10154,9210,41,800,103
2021,"Barnet 026","E02000049",10344,9509,28,694,113
2021,"Barnet 027","E02000050",10269,9150,37,931,151
2021,"Barnet 028","E02000051",9081,7985,23,919,154
2021,"Barnet 029","E02000052",9719,8424,36,1120,139
2021,"Barnet 031","E02000054",7542,6445,38,895,164
2021,"Barnet 032","E02000055",11587,9491,94,1592,410
2021,"Barnet 033","E02000056",9040,8032,30,834,144
2021,"Barnet 034","E02000057",7884,6838,29,858,159
2021,"Barnet 035","E02000058",10111,8944,27,1019,121
2021,"Barnet 036","E02000059",11477,10019,40,1270,148
2021,"Barnet 037","E02000060",11356,10140,30,1021,165
2021,"Barnet 038","E02000061",8266,6757,58,1213,238
2021,"Barnet 039","E02000062",6892,6173,21,613,85
2021,"Barnet 040","E02000063",7518,6692,23,674,129
2021,"Barnet 041","E02000064",6554,5601,34,801,118
2021,"Barnet 042","E02006953",9039,6649,84,1769,537
2021,"Barnet 043","E02006954",9959,8735,36,987,201
2021,"Bexley 001","E02000065",7970,7272,22,575,101
2021,"Bexley 002","E02000066",9331,8649,29,581,72
2021,"Bexley 003","E02000067",10081,9032,23,905,121
2021,"Bexley 004","E02000068",8044,7253,17,685,89
2021,"Bexley 005","E02000069",7115,6385,7,669,54
