"date","geography","geography code","Multiple ethnic groups in household: Total: All households","Multiple ethnic groups in household: One-person household","Multiple ethnic groups in household: All household members have the same ethnic group","Multiple ethnic groups in household: Ethnic groups differ between generations but not within partnerships","Multiple ethnic groups in household: Ethnic groups differ within partnerships","Multiple ethnic groups in household: Any other combination of multiple ethnic identities"
2021,"City of London 001","E02000001",4914,2506,1463,75,650,220
2021,"Barking and Dagenham 001","E02000002",2870,725,1644,170,173,158
2021,"Barking and Dagenham 002","E02000003",3930,974,2227,196,272,261
2021,"Barking and Dagenham 003","E02000004",2310,539,1414,85,157,115
2021,"Barking and Dagenham 004","E02000005",3628,706,2305,159,254,204
2021,"Barking and Dagenham 006","E02000007",3673,1071,2065,179,182,176
2021,"Barking and Dagenham 007","E02000008",4625,1078,2806,267,227,247
2021,"Barking and Dagenham 008","E02000009",4254,1011,2414,249,318,262
2021,"Barking and Dagenham 009","E02000010",3327,783,1993,186,187,178
2021,"Barking and Dagenham 010","E02000011",2352,530,1423,115,143,141
2021,"Barking and Dagenham 011","E02000012",3290,694,2066,89,191,250
2021,"Barking and Dagenham 012","E02000013",3254,790,1895,184,212,173
2021,"Barking and Dagenham 013","E02000014",3388,758,2101,160,170,199
2021,"Barking and Dagenham 014","E02000015",3033,938,1590,192,149,164
2021,"Barking and Dagenham 015","E02000016",3813,1040,2047,226,258,242
2021,"Barking and Dagenham 016","E02000017",2767,622,1595,117,182,251
2021,"Barking and Dagenham 017","E02000018",3234,718,1956,188,166,206
2021,"Barking and Dagenham 018","E02000019",3206,589,2057,169,204,187
2021,"Barking and Dagenham 019","E02000020",4672,1048,2662,272,362,328
2021,"Barking and Dagenham 020","E02000021",2930,663,1709,196,178,184
2021,"Barking and Dagenham 021","E02000022",2798,756,1482,206,200,154
2021,"Barking and Dagenham 022","E02000023",2661,625,1468,211,176,181
2021,"Barnet 001","E02000024",4477,1300,2184,142,677,174
2021,"Barnet 002","E02000025",3745,1314,1657,151,486,137
2021,"Barnet 003","E02000026",2512,652,1315,99,336,110
2021,"Barnet 004","E02000027",3685,1002,1840,214,444,185
2021,"Barnet 005","E02000028",2692,770,1304,112,388,118
2021,"Barnet 006","E02000029",3707,991,1818,187,533,178
2021,"Barnet 007","E02000030",3519,765,2006,114,460,174
2021,"Barnet 008","E02000031",3326,935,1612,132,498,149
2021,"Barnet 009","E02000032",2744,489,1560,128,402,165
2021,"Barnet 010","E02000033",3494,977,1688,203,438,188
2021,"Barnet 011","E02000034",3589,973,1755,170,500,191
2021,"Barnet 012","E02000035",3525,1113,1627,165,453,167
2021,"Barnet 013","E02000036",3944,932,2224,183,395,210
2021,"Barnet 014","E02000037",3717,778,2262,152,350,175
2021,"Barnet 015","E02000038",4005,1019,1957,196,594,239
2021,"Barnet 016","E02000039",2673,672,1399,106,350,146
2021,"Barnet 017","E02000040",3508,995,1717,150,457,189
2021,"Barnet 018","E02000041",3325,782,1791,166,306,280
2021,"Barnet 019","E02000042",4715,1544,2026,202,626,317
2021,"Barnet 020","E02000043",2666,516,1477,86,432,155
2021,"Barnet 021","E02000044",3071,681,1696,200,302,192
2021,"Barnet 022","E02000045",4204,1289,1854,269,550,242
2021,"Barnet 023","E02000046",2879,822,1309,114,437,197
2021,"Barnet 024","E02000047",4210,959,2265,320,340,326
2021,"Barnet 025","E02000048",3950,1044,1988,170,513,235
2021,"Barnet 026","E02000049",3802,1024,1933,295,307,243
2021,"Barnet 027","E02000050",4034,1147,1841,198,602,246
2021,"Barnet 028","E02000051",3794,1197,1768,133,460,236
2021,"Barnet 029","E02000052",4191,1321,1762,174,666,268
2021,"Barnet 031","E02000054",2971,926,1311,137,281,316
2021,"Barnet 032","E02000055",4505,1335,2086,208,457,419
2021,"Barnet 033","E02000056",3442,844,1775,121,458,244
2021,"Barnet 034","E02000057",2706,686,1433,66,285,236
2021,"Barnet 035","E02000058",4097,1331,1764,164,571,267
2021,"Barnet 036","E02000059",4436,1334,2170,196,411,325
2021,"Barnet 037","E02000060",3693,1104,1791,94,415,289
2021,"Barnet 038","E02000061",3573,1303,1402,121,458,289
2021,"Barnet 039","E02000062",2616,812,1209,145,239,211
2021,"Barnet 040","E02000063",2833,855,1283,172,295,228
2021,"Barnet 041","E02000064",2764,833,1220,196,296,219
2021,"Bexley 001","E02000065",2775,658,1563,192,162,200
2021,"Bexley 002","E02000066",3547,1129,1773,199,202,244
2021,"Bexley 003","E02000067",3983,1129,2108,187,326,233
2021,"Bexley 004","E02000068",3199,959,1650,195,245,150
2021,"Bexley 005","E02000069",2812,781,1582,107,218,124
2021,"Bexley 006","E02000070",3140,789,1943,62,249,97
2021,"Bexley 007","E02000071",2837,655,1831,70,186,95
2021,"Bexley 008","E02000072",4687,1148,2757,243,335,204
2021,"Bexley 009","E02000073",3956,809,2686,69,298,94
2021,"Bexley 010","E02000074",3505,1042,2030,117,190,126
2021,"Bexley 011","E02000075",3149,727,2087,57,201,77
2021,"Bexley 013","E02000077",2936,619,1944,74,214,85
2021,"Bexley 014","E02000078",3021,653,1985,53,243,87
2021,"Bexley 015","E02000079",3587,1049,2028,116,293,101
2021,"Bexley 016","E02000080",3812,932,2353,103,269,155
2021,"Bexley 017","E02000081",3279,901,1997,80,222,79
2021,"Bexley 018","E02000082",3443,725,2274,66,272,106
2021,"Bexley 019","E02000083",4445,1195,2679,122,323,126
2021,"Bexley 020","E02000084",4199,936,2724,76,357,106
2021,"Bexley 021","E02000085",3073,745,1994,50,199,85
2021,"Bexley 022","E02000086",2788,627,1863,35,213,50
2021,"Bexley 023","E02000087",3320,868,2038,47,293,74
2021,"Bexley 024","E02000088",2980,625,2040,37,206,72
2021,"Bexley 025","E02000089",2904,582,1973,61,222,66
2021,"Bexley 026","E02000090",4194,1485,2192,83,309,125
2021,"Bexley 027","E02000091",4449,1539,2342,91,368,109
2021,"Bexley 028","E02000092",2714,777,1570,90,176,101
2021,"Brent 001","E02000093",3740,692,2350,129,259,310
2021,"Brent 002","E02000094",3468,732,1914,178,356,288
2021,"Brent 003","E02000095",3184,574,2009,108,183,310
2021,"Brent 004","E02000096",2499,467,1641,60,176,155
2021,"Brent 005","E02000097",3038,635,1704,125,266,308
2021,"Brent 006","E02000098",2874,621,1644,140,245,224
2021,"Brent 007","E02000099",2916,558,1694,112,242,310
2021,"Brent 008","E02000100",2567,512,1564,74,187,230
2021,"Brent 009","E02000101",3388,870,1832,185,239,262
2021,"Brent 010","E02000102",2684,692,1418,156,179,239
2021,"Brent 011","E02000103",3460,884,1676,212,420,268
2021,"Brent 012","E02000104",2417,615,1328,99,172,203
2021,"Brent 013","E02000105",3108,685,1790,143,235,255
2021,"Brent 014","E02000106",3586,1018,1749,187,274,358
2021,"Brent 015","E02000107",4361,1498,1659,220,487,497
2021,"Brent 016","E02000108",2273,436,1365,99,187,186
2021,"Brent 018","E02000110",3094,928,1202,183,445,336
2021,"Brent 019","E02000111",3190,592,2071,119,167,241
2021,"Brent 020","E02000112",3496,649,2154,151,222,320
2021,"Brent 021","E02000113",3291,840,1764,261,188,238
2021,"Brent 022","E02000114",3707,1245,1477,172,411,402
2021,"Brent 023","E02000115",3876,1488,1369,180,536,303
2021,"Brent 024","E02000116",3238,951,1497,233,288,269
2021,"Brent 025","E02000117",4759,1611,2131,332,346,339
2021,"Brent 026","E02000118",3157,605,2044,123,161,224
2021,"Brent 027","E02000119",3952,1255,1850,285,295,267
2021,"Brent 028","E02000120",4243,1699,1501,163,534,346
2021,"Brent 029","E02000121",3626,735,2347,120,209,215
2021,"Brent 030","E02000122",3160,947,1275,175,447,316
2021,"Brent 031","E02000123",5539,1874,2339,369,463,494
2021,"Brent 032","E02000124",4160,1287,1619,194,646,414
2021,"Brent 033","E02000125",3942,1182,1609,201,578,372
2021,"Brent 034","E02000126",3405,1270,1362,192,320,261
2021,"Bromley 001","E02000127",3785,1152,1948,176,325,184
2021,"Bromley 002","E02000128",3063,776,1775,89,353,70
2021,"Bromley 004","E02000130",3665,1148,1581,157,625,154
2021,"Bromley 005","E02000131",5067,1876,1907,239,797,248
2021,"Bromley 006","E02000132",4942,2039,1912,173,670,148
2021,"Bromley 007","E02000133",4329,1083,2465,81,612,88
2021,"Bromley 008","E02000134",5300,1840,2391,196,677,196
2021,"Bromley 009","E02000135",4443,1680,1770,282,461,250
2021,"Bromley 010","E02000136",2296,666,1324,51,196,59
2021,"Bromley 011","E02000137",3675,1218,1728,116,521,92
2021,"Bromley 012","E02000138",4139,1599,1765,86,598,91
2021,"Bromley 013","E02000139",3310,1040,1526,127,509,108
2021,"Bromley 014","E02000140",3339,988,1871,121,251,108
2021,"Bromley 015","E02000141",3092,962,1426,138,440,126
2021,"Bromley 016","E02000142",3452,897,1845,90,504,116
2021,"Bromley 018","E02000144",4312,1298,2057,144,631,182
2021,"Bromley 019","E02000145",3514,1041,1925,143,277,128
2021,"Bromley 020","E02000146",4040,1243,2069,118,499,111
2021,"Bromley 021","E02000147",3167,781,1831,55,422,78
2021,"Bromley 022","E02000148",2699,673,1627,52,288,59
2021,"Bromley 023","E02000149",3284,898,1927,84,276,99
2021,"Bromley 024","E02000150",3115,654,1819,108,415,119
2021,"Bromley 025","E02000151",2970,644,1891,30,348,57
2021,"Bromley 026","E02000152",3096,825,1728,133,311,99
2021,"Bromley 027","E02000153",2895,516,1936,44,333,66
2021,"Bromley 028","E02000154",3573,997,2035,75,374,92
2021,"Bromley 029","E02000155",3038,899,1765,59,243,72
2021,"Bromley 030","E02000156",4862,1195,2872,117,545,133
2021,"Bromley 031","E02000157",3278,732,2138,58,302,48
2021,"Bromley 032","E02000158",3034,715,1874,93,261,91
2021,"Bromley 033","E02000159",2822,661,1799,57,240,65
2021,"Bromley 034","E02000160",3039,657,1912,62,337,71
2021,"Bromley 035","E02000161",3347,740,2187,59,296,65
2021,"Bromley 036","E02000162",2966,932,1703,72,204,55
2021,"Bromley 037","E02000163",3069,734,1986,41,253,55
2021,"Bromley 039","E02000165",2742,566,1900,40,192,44
2021,"Camden 001","E02000166",3397,1197,1306,186,487,221
2021,"Camden 002","E02000167",3374,1273,1220,102,624,155
2021,"Camden 003","E02000168",3495,1256,1300,122,546,271
2021,"Camden 004","E02000169",3026,878,1277,128,564,179
2021,"Camden 005","E02000170",3465,1158,1299,140,578,290
2021,"Camden 006","E02000171",3331,1209,1230,139,524,229
2021,"Camden 007","E02000172",4035,1452,1710,189,407,277
2021,"Camden 008","E02000173",3501,1426,1223,107,536,209
2021,"Camden 009","E02000174",3550,1273,1390,162,424,301
2021,"Camden 010","E02000175",4307,1706,1490,150,619,342
2021,"Camden 011","E02000176",3001,1345,925,101,503,127
2021,"Camden 012","E02000177",3651,1328,1455,166,395,307
2021,"Camden 013","E02000178",4166,1611,1555,166,494,340
2021,"Camden 014","E02000179",2548,972,981,97,337,161
2021,"Camden 015","E02000180",3516,1288,1313,117,432,366
