"date","geography","geography code","Household language (English and Welsh): Total: All households","Household language (English and Welsh): All adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): At least one but not all adults in household have English in England, or English or Welsh in Wales as a main language","Household language (English and Welsh): No adults in household, but at least one person aged 3 to 15 years, has English in England or English or Welsh in Wales as a main language","Household language (English and Welsh): No people in household have English in England, or English or Welsh in Wales as a main language"
2021,"City of London 001","E02000001",4914,3670,387,42,815
2021,"Barking and Dagenham 001","E02000002",2870,2184,295,141,250
2021,"Barking and Dagenham 002","E02000003",3931,2725,530,204,472
2021,"Barking and Dagenham 003","E02000004",2309,1897,177,73,162
2021,"Barking and Dagenham 004","E02000005",3628,2567,433,207,421
2021,"Barking and Dagenham 006","E02000007",3676,2875,268,172,361
2021,"Barking and Dagenham 007","E02000008",4623,3445,405,277,496
2021,"Barking and Dagenham 008","E02000009",4254,2829,542,258,625
2021,"Barking and Dagenham 009","E02000010",3327,2459,293,208,367
2021,"Barking and Dagenham 010","E02000011",2354,1681,247,119,307
2021,"Barking and Dagenham 011","E02000012",3290,2067,742,145,336
2021,"Barking and Dagenham 012","E02000013",3253,2376,333,174,370
2021,"Barking and Dagenham 013","E02000014",3388,2507,296,205,380
2021,"Barking and Dagenham 014","E02000015",3033,2335,240,165,293
2021,"Barking and Dagenham 015","E02000016",3811,2171,506,265,869
2021,"Barking and Dagenham 016","E02000017",2765,1448,571,173,573
2021,"Barking and Dagenham 017","E02000018",3233,2333,360,182,358
2021,"Barking and Dagenham 018","E02000019",3206,2339,329,209,329
2021,"Barking and Dagenham 019","E02000020",4672,2965,680,301,726
2021,"Barking and Dagenham 020","E02000021",2932,2046,343,193,350
2021,"Barking and Dagenham 021","E02000022",2796,1746,355,188,507
2021,"Barking and Dagenham 022","E02000023",2664,1855,331,172,306
2021,"Barnet 001","E02000024",4479,3769,312,60,338
2021,"Barnet 002","E02000025",3747,3108,240,96,303
2021,"Barnet 003","E02000026",2512,2079,208,57,168
2021,"Barnet 004","E02000027",3682,2899,346,119,318
2021,"Barnet 005","E02000028",2692,2110,227,90,265
2021,"Barnet 006","E02000029",3707,2868,337,129,373
2021,"Barnet 007","E02000030",3519,2933,305,90,191
2021,"Barnet 008","E02000031",3324,2566,304,87,367
2021,"Barnet 009","E02000032",2745,2051,388,64,242
2021,"Barnet 010","E02000033",3497,2698,359,111,329
2021,"Barnet 011","E02000034",3588,2643,359,155,431
2021,"Barnet 012","E02000035",3528,2494,325,99,610
2021,"Barnet 013","E02000036",3944,2867,400,206,471
2021,"Barnet 014","E02000037",3717,2900,370,94,353
2021,"Barnet 015","E02000038",4005,2853,477,152,523
2021,"Barnet 016","E02000039",2673,2086,252,68,267
2021,"Barnet 017","E02000040",3511,2714,410,112,275
2021,"Barnet 018","E02000041",3325,2149,416,171,589
2021,"Barnet 019","E02000042",4716,2909,588,170,1049
2021,"Barnet 020","E02000043",2665,1915,316,88,346
2021,"Barnet 021","E02000044",3070,2042,440,171,417
2021,"Barnet 022","E02000045",4201,2978,498,190,535
2021,"Barnet 023","E02000046",2879,1868,361,107,543
2021,"Barnet 024","E02000047",4210,2413,664,283,850
2021,"Barnet 025","E02000048",3950,2971,422,129,428
2021,"Barnet 026","E02000049",3802,2355,543,248,656
2021,"Barnet 027","E02000050",4034,2831,488,143,572
2021,"Barnet 028","E02000051",3793,2713,370,126,584
2021,"Barnet 029","E02000052",4189,3131,462,128,468
2021,"Barnet 031","E02000054",2971,1838,430,116,587
2021,"Barnet 032","E02000055",4506,2763,592,162,989
2021,"Barnet 033","E02000056",3444,2754,324,85,281
2021,"Barnet 034","E02000057",2705,1838,327,73,467
2021,"Barnet 035","E02000058",4098,3026,380,153,539
2021,"Barnet 036","E02000059",4436,2556,694,186,1000
2021,"Barnet 037","E02000060",3695,2619,405,69,602
2021,"Barnet 038","E02000061",3571,2377,377,78,739
2021,"Barnet 039","E02000062",2615,1485,431,139,560
2021,"Barnet 040","E02000063",2833,1629,438,141,625
2021,"Barnet 041","E02000064",2762,1851,330,155,426
2021,"Bexley 001","E02000065",2775,2256,210,82,227
2021,"Bexley 002","E02000066",3547,2850,290,93,314
2021,"Bexley 003","E02000067",3986,3197,281,111,397
2021,"Bexley 004","E02000068",3196,2653,190,107,246
2021,"Bexley 005","E02000069",2810,2388,169,61,192
2021,"Bexley 006","E02000070",3140,2764,170,58,148
2021,"Bexley 007","E02000071",2834,2543,126,47,118
2021,"Bexley 008","E02000072",4688,4009,253,136,290
2021,"Bexley 009","E02000073",3957,3547,188,71,151
2021,"Bexley 010","E02000074",3502,3133,161,62,146
2021,"Bexley 011","E02000075",3149,2885,114,58,92
2021,"Bexley 013","E02000077",2936,2468,196,75,197
2021,"Bexley 014","E02000078",3019,2772,115,39,93
2021,"Bexley 015","E02000079",3586,3116,178,88,204
