"date","geography","geography code","Multiple main languages in household: Total: All households","Multiple main languages in household: One-person household","Multiple main languages in household: All household members have the same main language","Multiple main languages in household: Main language differs between generations, but not within partnerships","Multiple main languages in household: Main language differs within partnerships","Multiple main languages in household: Any other combination of multiple main languages"
2021,"City of London 001","E02000001",4913,2506,1903,79,267,158
2021,"Barking and Dagenham 001","E02000002",2868,725,1685,204,128,126
2021,"Barking and Dagenham 002","E02000003",3930,974,2176,292,174,314
2021,"Barking and Dagenham 003","E02000004",2309,539,1504,90,74,102
2021,"Barking and Dagenham 004","E02000005",3630,706,2243,276,192,213
2021,"Barking and Dagenham 006","E02000007",3675,1071,2124,220,108,152
2021,"Barking and Dagenham 007","E02000008",4624,1078,2820,340,150,236
2021,"Barking and Dagenham 008","E02000009",4251,1011,2376,380,230,254
2021,"Barking and Dagenham 009","E02000010",3324,783,2006,252,113,170
2021,"Barking and Dagenham 010","E02000011",2353,530,1424,160,100,139
2021,"Barking and Dagenham 011","E02000012",3289,694,1682,278,216,419
2021,"Barking and Dagenham 012","E02000013",3254,790,1916,250,136,162
2021,"Barking and Dagenham 013","E02000014",3389,758,2083,245,104,199
2021,"Barking and Dagenham 014","E02000015",3033,938,1664,188,99,144
2021,"Barking and Dagenham 015","E02000016",3811,1040,1907,367,241,256
2021,"Barking and Dagenham 016","E02000017",2767,622,1318,240,198,389
2021,"Barking and Dagenham 017","E02000018",3234,718,1932,244,140,200
2021,"Barking and Dagenham 018","E02000019",3207,589,2039,290,123,166
2021,"Barking and Dagenham 019","E02000020",4673,1048,2563,426,272,364
2021,"Barking and Dagenham 020","E02000021",2930,663,1697,248,122,200
2021,"Barking and Dagenham 021","E02000022",2796,756,1452,292,170,126
2021,"Barking and Dagenham 022","E02000023",2664,625,1510,251,138,140
2021,"Barnet 001","E02000024",4476,1300,2767,121,193,95
2021,"Barnet 002","E02000025",3748,1314,2069,121,145,99
2021,"Barnet 003","E02000026",2512,652,1583,105,98,74
2021,"Barnet 004","E02000027",3685,1002,2187,210,158,128
2021,"Barnet 005","E02000028",2693,770,1575,132,140,76
2021,"Barnet 006","E02000029",3707,991,2214,167,198,137
2021,"Barnet 007","E02000030",3517,765,2342,145,136,129
2021,"Barnet 008","E02000031",3327,935,1972,130,174,116
2021,"Barnet 009","E02000032",2744,489,1785,142,176,152
2021,"Barnet 010","E02000033",3494,977,2020,188,167,142
2021,"Barnet 011","E02000034",3588,973,2059,217,184,155
2021,"Barnet 012","E02000035",3528,1113,1906,175,211,123
2021,"Barnet 013","E02000036",3944,932,2365,280,164,203
2021,"Barnet 014","E02000037",3717,778,2451,190,164,134
2021,"Barnet 015","E02000038",4005,1019,2301,236,255,194
2021,"Barnet 016","E02000039",2674,672,1655,121,122,104
2021,"Barnet 017","E02000040",3511,995,1965,202,183,166
2021,"Barnet 018","E02000041",3324,782,1908,272,136,226
2021,"Barnet 019","E02000042",4716,1544,2311,257,309,295
2021,"Barnet 020","E02000043",2664,516,1708,151,160,129
2021,"Barnet 021","E02000044",3070,681,1741,280,154,214
2021,"Barnet 022","E02000045",4202,1289,2152,280,275,206
