"date","geography","geography code","National identity: Total: All usual residents","National identity: British only identity","National identity: English only identity","National identity: English and British only identity","National identity: Welsh only identity","National identity: Welsh and British only identity","National identity: Any other combination of only UK identities","National identity: Scottish only identity","National identity: Scottish and British only identity","National identity: Northern Irish only identity","National identity: Northern Irish and British only identity","National identity: Cornish only identity","National identity: Cornish and British only identity","National identity: Any other combination of only UK identities","National identity: Irish only identity","National identity: Irish and at least one UK identity","National identity: Other identity only","National identity: Other identity and at least one UK identity","National identity: Non-UK identity only","National identity: UK identity and non-UK identity"
2021,"City of London 001","E02000001",8580,3706,547,615,34,15,138,51,34,28,1,3,3,18,103,40,2740,642,2843,682
2021,"Barking and Dagenham 001","E02000002",8281,5044,966,528,10,0,24,11,5,4,0,0,0,4,65,3,1418,223,1483,226
2021,"Barking and Dagenham 002","E02000003",11541,6706,1056,576,9,2,35,11,1,9,0,1,0,13,103,6,2726,322,2829,328
2021,"Barking and Dagenham 003","E02000004",6640,3668,1177,641,5,1,26,12,2,5,1,0,0,6,37,5,963,117,1000,122
2021,"Barking and Dagenham 004","E02000005",11082,6283,1176,736,6,1,13,2,4,5,0,0,0,2,45,7,2434,381,2479,388
2021,"Barking and Dagenham 006","E02000007",10162,5709,1299,922,2,7,33,13,3,8,0,0,0,9,38,2,1958,192,1996,194
2021,"Barking and Dagenham 007","E02000008",13251,7148,1830,1088,6,1,30,14,6,3,1,0,0,6,58,9,2812,269,2870,278
2021,"Barking and Dagenham 008","E02000009",12864,7152,1142,819,4,1,31,9,2,8,1,0,0,11,31,2,3287,395,3318,397
2021,"Barking and Dagenham 009","E02000010",9482,4994,1253,775,4,1,14,5,2,2,2,0,0,3,39,5,2136,261,2175,266
2021,"Barking and Dagenham 010","E02000011",7032,3668,968,481,3,0,15,7,1,3,1,0,0,3,39,4,1639,215,1678,219
2021,"Barking and Dagenham 011","E02000012",11511,8049,768,492,4,0,27,11,2,7,2,1,0,4,25,4,1866,276,1891,280
2021,"Barking and Dagenham 012","E02000013",9398,5186,1185,651,6,6,27,13,1,6,1,0,0,6,26,2,2086,223,2112,225
2021,"Barking and Dagenham 013","E02000014",9866,5015,1415,813,4,1,45,15,7,9,3,0,0,11,38,7,2285,243,2323,250
2021,"Barking and Dagenham 014","E02000015",8226,4715,910,579,3,2,18,7,2,8,1,0,0,0,38,2,1763,196,1801,198
2021,"Barking and Dagenham 015","E02000016",10567,5528,390,362,3,1,27,7,6,8,1,0,0,5,48,3,3896,309,3944,312
2021,"Barking and Dagenham 016","E02000017",9132,5151,394,294,5,1,19,11,0,1,2,0,0,5,26,6,2962,274,2988,280
2021,"Barking and Dagenham 017","E02000018",9553,5361,1005,650,7,3,22,11,4,1,1,0,0,5,22,7,2262,214,2284,221
2021,"Barking and Dagenham 018","E02000019",9661,5371,1153,701,0,0,15,6,3,3,0,0,0,3,41,4,2131,245,2172,249
2021,"Barking and Dagenham 019","E02000020",14054,8176,893,650,3,0,32,13,4,10,1,0,0,4,40,8,3795,457,3835,465
2021,"Barking and Dagenham 020","E02000021",8760,4777,971,459,5,8,19,6,1,8,2,0,0,2,61,9,2191,260,2252,269
2021,"Barking and Dagenham 021","E02000022",7741,4668,339,283,7,6,28,10,4,3,3,0,0,8,24,5,2102,279,2126,284
2021,"Barking and Dagenham 022","E02000023",8019,5017,548,421,2,0,14,8,1,1,1,0,0,3,15,1,1804,197,1819,198
2021,"Barnet 001","E02000024",10842,6436,1194,964,43,17,105,42,16,22,6,1,0,18,196,50,1418,419,1614,469
2021,"Barnet 002","E02000025",8582,4884,1126,752,20,18,73,26,11,16,2,1,0,17,138,25,1255,291,1393,316
2021,"Barnet 003","E02000026",6458,4127,602,593,21,6,63,17,5,9,9,1,0,22,54,13,718,261,772,274
2021,"Barnet 004","E02000027",9648,5749,1181,783,19,11,76,35,14,15,2,0,0,10,162,20,1283,364,1445,384
2021,"Barnet 005","E02000028",6532,3954,587,519,21,13,49,18,7,12,2,0,0,10,116,13,1019,241,1135,254
2021,"Barnet 006","E02000029",9678,5711,1014,761,17,12,55,15,11,9,5,0,0,15,117,30,1588,373,1705,403
2021,"Barnet 007","E02000030",9457,6097,973,756,20,11,53,21,11,10,4,0,1,6,124,28,1013,382,1137,410
2021,"Barnet 008","E02000031",8331,5164,591,676,20,8,75,23,17,17,7,0,0,11,164,16,1279,338,1443,354
2021,"Barnet 009","E02000032",7939,5431,493,481,13,11,49,20,10,8,2,1,0,8,103,20,1000,338,1103,358
2021,"Barnet 010","E02000033",8889,5374,931,660,10,2,81,26,12,29,3,0,0,11,115,27,1315,374,1430,401
2021,"Barnet 011","E02000034",9087,5409,762,618,17,10,92,40,17,15,7,0,0,13,151,37,1608,383,1759,420
2021,"Barnet 012","E02000035",8531,4724,502,519,21,5,78,24,16,24,4,0,0,10,97,21,2141,423,2238,444
2021,"Barnet 013","E02000036",11245,7223,723,745,19,7,43,21,9,6,1,0,0,6,95,7,1951,432,2046,439
2021,"Barnet 014","E02000037",10835,7465,641,820,5,3,37,11,7,5,3,0,0,11,55,10,1378,421,1433,431
2021,"Barnet 015","E02000038",10720,6504,787,632,18,10,90,34,15,22,7,3,0,9,153,30,1992,504,2145,534
2021,"Barnet 016","E02000039",7168,4650,423,570,13,7,36,17,12,5,1,0,0,1,110,4,1114,241,1224,245
2021,"Barnet 017","E02000040",9139,5794,685,650,11,8,78,30,25,7,3,0,0,13,87,15,1399,412,1486,427
2021,"Barnet 018","E02000041",9455,5677,518,573,7,2,37,13,6,15,1,0,0,2,90,11,2182,358,2272,369
2021,"Barnet 019","E02000042",11556,6412,673,631,27,11,94,42,20,16,3,0,0,13,172,23,2887,626,3059,649
2021,"Barnet 020","E02000043",7569,4520,379,513,14,1,44,17,11,7,1,0,0,8,69,10,1636,383,1705,393
2021,"Barnet 021","E02000044",8843,5176,702,491,8,0,50,28,8,8,3,0,0,3,113,13,1930,360,2043,373
2021,"Barnet 022","E02000045",10522,6196,812,629,20,11,96,47,20,13,5,1,0,10,151,41,2049,517,2200,558
2021,"Barnet 023","E02000046",6961,3763,312,387,9,7,77,25,22,11,7,1,0,11,85,19,1862,440,1947,459
2021,"Barnet 024","E02000047",12393,6999,791,418,8,3,44,10,6,19,4,0,0,5,167,15,3514,434,3681,449
2021,"Barnet 025","E02000048",10286,6346,610,815,5,10,70,21,22,12,2,0,0,13,102,17,1854,457,1956,474
2021,"Barnet 026","E02000049",10532,6451,586,519,8,4,35,12,5,8,3,0,1,6,90,19,2336,484,2426,503
2021,"Barnet 027","E02000050",10376,6093,701,644,41,2,112,35,31,16,5,2,0,23,163,28,2074,518,2237,546
2021,"Barnet 028","E02000051",9160,5595,537,502,11,4,56,32,9,7,1,0,0,7,80,5,1983,387,2063,392
2021,"Barnet 029","E02000052",9851,5383,721,785,36,17,119,50,24,23,2,1,0,19,189,23,2029,549,2218,572
2021,"Barnet 031","E02000054",7629,4194,370,434,10,0,37,14,2,13,3,0,0,5,51,9,2170,354,2221,363
2021,"Barnet 032","E02000055",11724,6079,563,762,12,9,35,12,9,6,1,0,0,7,87,7,3631,539,3718,546
2021,"Barnet 033","E02000056",9129,5782,499,736,25,21,61,21,19,6,4,1,0,10,91,11,1443,460,1534,471
2021,"Barnet 034","E02000057",8013,4733,428,661,6,3,29,17,1,7,2,0,0,2,49,22,1802,280,1851,302
2021,"Barnet 035","E02000058",10227,5947,542,839,30,15,68,24,12,14,5,0,1,12,89,11,2064,622,2153,633
2021,"Barnet 036","E02000059",11623,6152,603,381,5,4,46,17,4,11,6,1,0,7,191,16,3627,598,3818,614
2021,"Barnet 037","E02000060",11560,7492,543,1118,10,4,35,10,9,9,2,0,0,5,36,11,1983,328,2019,339
2021,"Barnet 038","E02000061",8342,4447,384,546,8,7,66,19,16,12,5,0,0,14,47,4,2304,529,2351,533
2021,"Barnet 039","E02000062",6958,4015,367,263,11,9,36,14,7,11,0,1,0,3,117,11,1814,315,1931,326
2021,"Barnet 040","E02000063",7583,4198,387,294,7,1,29,11,2,10,2,0,0,4,109,17,2174,367,2283,384
2021,"Barnet 041","E02000064",6672,3790,363,350,12,8,54,22,7,9,6,0,0,10,89,20,1640,346,1729,366
2021,"Bexley 001","E02000065",8063,4805,629,464,4,1,22,7,2,9,0,0,0,4,72,3,1801,262,1873,265
2021,"Bexley 002","E02000066",9428,5336,1076,758,6,1,44,16,5,14,2,0,0,7,57,6,1884,260,1941,266
2021,"Bexley 003","E02000067",10235,5566,1362,898,10,2,33,10,3,7,1,3,1,8,54,9,2017,284,2071,293
2021,"Bexley 004","E02000068",8178,4737,994,740,10,2,39,16,4,8,1,0,1,9,48,7,1419,182,1467,189
2021,"Bexley 005","E02000069",7214,4060,1142,764,15,2,35,13,8,5,4,0,0,5,77,7,929,183,1006,190
2021,"Bexley 006","E02000070",8109,4471,1748,891,14,5,38,16,10,5,0,1,1,5,66,9,675,192,741,201
2021,"Bexley 007","E02000071",7672,4290,1597,933,15,7,42,13,5,14,0,0,0,10,45,8,608,127,653,135
2021,"Bexley 008","E02000072",12926,7759,1644,1203,7,5,62,33,10,4,3,0,0,12,77,11,1804,354,1881,365
2021,"Bexley 009","E02000073",10726,5894,2390,1336,22,6,50,29,9,4,1,0,0,7,73,13,694,248,767,261
2021,"Bexley 010","E02000074",8861,5030,1679,1069,10,5,44,20,7,7,4,0,0,6,46,11,786,181,832,192
2021,"Bexley 011","E02000075",7985,4389,1947,938,11,3,50,26,12,2,5,1,0,4,68,8,373,198,441,206
