"date","geography","geography code","Proficiency in English language: Total: All usual residents aged 3 years and over","Proficiency in English language: Main language is English (English or Welsh in Wales)","Proficiency in English language: Main language is not English (English or Welsh in Wales)","Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English very well","Proficiency in English language: Main language is not English (English or Welsh in Wales): Can speak English well","Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English well","Proficiency in English language: Main language is not English (English or Welsh in Wales): Cannot speak English"
2021,"City of London 001","E02000001",8450,6624,1826,1305,386,116,19
2021,"Barking and Dagenham 001","E02000002",7924,6457,1467,585,596,255,31
2021,"Barking and Dagenham 002","E02000003",10986,8109,2877,1114,1131,570,62
2021,"Barking and Dagenham 003","E02000004",6422,5422,1000,419,408,149,24
2021,"Barking and Dagenham 004","E02000005",10524,8067,2457,1058,959,382,58
2021,"Barking and Dagenham 006","E02000007",9727,7984,1743,690,695,307,51
2021,"Barking and Dagenham 007","E02000008",12757,10057,2700,1013,1164,451,72
2021,"Barking and Dagenham 008","E02000009",12278,9037,3241,1311,1295,555,80
2021,"Barking and Dagenham 009","E02000010",9100,7130,1970,779,817,337,37
2021,"Barking and Dagenham 010","E02000011",6739,5092,1647,593,663,343,48
2021,"Barking and Dagenham 011","E02000012",11071,8429,2642,1011,992,549,90
2021,"Barking and Dagenham 012","E02000013",8998,6983,2015,750,799,410,56
2021,"Barking and Dagenham 013","E02000014",9498,7380,2118,761,868,435,54
2021,"Barking and Dagenham 014","E02000015",7857,6365,1492,558,621,278,35
2021,"Barking and Dagenham 015","E02000016",9934,6446,3488,1365,1406,618,99
2021,"Barking and Dagenham 016","E02000017",8742,5501,3241,1088,1288,756,109
2021,"Barking and Dagenham 017","E02000018",9115,7089,2026,721,845,400,60
2021,"Barking and Dagenham 018","E02000019",9172,7244,1928,755,809,316,48
2021,"Barking and Dagenham 019","E02000020",13281,9455,3826,1372,1596,765,93
2021,"Barking and Dagenham 020","E02000021",8407,6443,1964,725,827,349,63
2021,"Barking and Dagenham 021","E02000022",7207,5187,2020,916,751,308,45
2021,"Barking and Dagenham 022","E02000023",7659,6034,1625,664,669,255,37
2021,"Barnet 001","E02000024",10525,9244,1281,693,391,167,30
2021,"Barnet 002","E02000025",8293,7159,1134,542,416,152,24
2021,"Barnet 003","E02000026",6222,5449,773,371,279,106,17
2021,"Barnet 004","E02000027",9355,7828,1527,762,541,184,40
2021,"Barnet 005","E02000028",6315,5285,1030,457,382,167,24
2021,"Barnet 006","E02000029",9224,7544,1680,685,646,296,53
2021,"Barnet 007","E02000030",9218,8109,1109,598,365,123,23
2021,"Barnet 008","E02000031",8034,6644,1390,679,472,204,35
2021,"Barnet 009","E02000032",7784,6521,1263,608,437,186,32
2021,"Barnet 010","E02000033",8649,7100,1549,719,561,232,37
2021,"Barnet 011","E02000034",8793,7034,1759,812,633,280,34
2021,"Barnet 012","E02000035",8260,6160,2100,992,733,328,47
2021,"Barnet 013","E02000036",10856,8617,2239,975,871,344,49
2021,"Barnet 014","E02000037",10409,8713,1696,810,620,224,42
2021,"Barnet 015","E02000038",10395,8187,2208,1003,763,392,50
2021,"Barnet 016","E02000039",6879,5734,1145,490,452,180,23
2021,"Barnet 017","E02000040",8788,7291,1497,798,468,197,34
2021,"Barnet 018","E02000041",9131,6503,2628,1063,1064,433,68
2021,"Barnet 019","E02000042",11178,7712,3466,1535,1236,587,108
2021,"Barnet 020","E02000043",7334,5774,1560,769,501,260,30
2021,"Barnet 021","E02000044",8517,6319,2198,889,888,371,50
2021,"Barnet 022","E02000045",10194,7912,2282,1040,833,344,65
2021,"Barnet 023","E02000046",6701,4882,1819,830,670,280,39
2021,"Barnet 024","E02000047",11835,7757,4078,1538,1733,709,98
2021,"Barnet 025","E02000048",9877,8031,1846,936,632,248,30
2021,"Barnet 026","E02000049",10043,7195,2848,1167,1109,483,89
2021,"Barnet 027","E02000050",10060,7792,2268,1025,824,359,60
2021,"Barnet 028","E02000051",8869,6831,2038,964,696,331,47
2021,"Barnet 029","E02000052",9513,7661,1852,1057,544,226,25
2021,"Barnet 031","E02000054",7363,5139,2224,940,902,341,41
2021,"Barnet 032","E02000055",11303,7764,3539,1567,1377,529,66
2021,"Barnet 033","E02000056",8831,7609,1222,704,340,152,26
2021,"Barnet 034","E02000057",7597,5845,1752,728,677,302,45
2021,"Barnet 035","E02000058",9810,7977,1833,935,627,245,26
2021,"Barnet 036","E02000059",11137,7017,4120,1653,1682,707,78
2021,"Barnet 037","E02000060",10864,8974,1890,886,662,302,40
2021,"Barnet 038","E02000061",8094,6084,2010,1005,626,334,45
2021,"Barnet 039","E02000062",6709,4538,2171,830,881,401,59
2021,"Barnet 040","E02000063",7337,5000,2337,933,922,418,64
