"date","geography","geography code","Religion: Total: All usual residents","Religion: No religion","Religion: Christian","Religion: Buddhist","Religion: Hindu","Religion: Jewish","Religion: Muslim","Religion: Sikh","Religion: Other religion","Religion: Not answered"
2021,"City of London 001","E02000001",8582,3763,2976,95,203,177,540,6,55,767
2021,"Barking and Dagenham 001","E02000002",8281,1816,3899,27,269,30,1610,172,32,426
2021,"Barking and Dagenham 002","E02000003",11543,1576,4961,35,571,18,3072,665,56,589
2021,"Barking and Dagenham 003","E02000004",6640,1671,3456,33,163,13,829,104,18,353
2021,"Barking and Dagenham 004","E02000005",11084,2210,4587,46,744,22,2387,405,78,605
2021,"Barking and Dagenham 006","E02000007",10161,2552,5109,34,193,4,1654,41,46,528
2021,"Barking and Dagenham 007","E02000008",13250,3359,6249,40,208,18,2477,139,38,722
2021,"Barking and Dagenham 008","E02000009",12862,2364,5978,45,375,10,3027,228,113,722
2021,"Barking and Dagenham 009","E02000010",9485,2340,4894,17,142,8,1444,52,57,531
2021,"Barking and Dagenham 010","E02000011",7031,1243,3713,19,127,15,1348,82,25,459
2021,"Barking and Dagenham 011","E02000012",11510,1022,3052,41,417,10,5914,436,32,586
2021,"Barking and Dagenham 012","E02000013",9398,2279,4642,51,107,9,1725,54,25,506
2021,"Barking and Dagenham 013","E02000014",9868,2527,5082,42,138,21,1412,18,40,588
2021,"Barking and Dagenham 014","E02000015",8229,1866,4291,29,121,6,1322,48,69,477
2021,"Barking and Dagenham 015","E02000016",10568,1212,3997,33,920,5,3587,189,53,572
2021,"Barking and Dagenham 016","E02000017",9135,723,3141,38,427,5,3830,412,19,540
2021,"Barking and Dagenham 017","E02000018",9552,2071,4710,29,125,15,1915,101,40,546
2021,"Barking and Dagenham 018","E02000019",9662,2307,4870,39,141,5,1710,42,33,515
2021,"Barking and Dagenham 019","E02000020",14054,2081,6018,117,456,12,4254,386,33,697
2021,"Barking and Dagenham 020","E02000021",8760,1372,4863,33,133,9,1704,155,33,458
2021,"Barking and Dagenham 021","E02000022",7742,989,3218,33,207,17,2745,76,33,424
2021,"Barking and Dagenham 022","E02000023",8018,1334,3744,6,110,6,2275,66,32,445
2021,"Barnet 001","E02000024",10841,3529,4874,84,375,452,605,34,105,783
2021,"Barnet 002","E02000025",8581,2792,3888,71,294,376,468,17,75,600
2021,"Barnet 003","E02000026",6454,1499,3154,29,290,427,462,19,103,471
2021,"Barnet 004","E02000027",9645,2544,4640,119,452,209,850,12,143,676
2021,"Barnet 005","E02000028",6532,1544,2929,47,355,510,539,31,117,460
2021,"Barnet 006","E02000029",9676,2605,4630,79,298,353,900,28,106,677
2021,"Barnet 007","E02000030",9457,1843,3645,74,622,1572,791,82,149,679
2021,"Barnet 008","E02000031",8330,1915,3409,77,572,925,620,36,126,650
2021,"Barnet 009","E02000032",7939,1573,3454,57,601,390,1011,56,197,600
2021,"Barnet 010","E02000033",8890,2153,4189,85,468,251,873,34,181,656
2021,"Barnet 011","E02000034",9087,2039,4102,75,542,583,892,19,134,701
2021,"Barnet 012","E02000035",8531,1923,3115,125,540,1008,783,43,220,774
2021,"Barnet 013","E02000036",11242,1422,3870,138,797,2388,1475,30,188,934
2021,"Barnet 014","E02000037",10835,989,2375,57,1115,3960,1156,43,317,823
2021,"Barnet 015","E02000038",10718,2508,4538,96,740,586,1193,102,143,812
2021,"Barnet 016","E02000039",7168,1039,2172,46,348,2132,845,37,48,501
2021,"Barnet 017","E02000040",9139,2021,3022,66,420,1485,1217,33,83,792
2021,"Barnet 018","E02000041",9455,1025,3232,125,751,2028,1372,14,236,672
2021,"Barnet 019","E02000042",11559,2747,4142,141,923,656,1663,59,303,925
2021,"Barnet 020","E02000043",7573,1801,2240,165,616,1260,463,149,244,635
2021,"Barnet 021","E02000044",8844,1421,3932,100,470,727,1459,30,96,609
2021,"Barnet 022","E02000045",10522,3192,4162,85,461,308,1362,44,115,793
2021,"Barnet 023","E02000046",6959,1891,2424,96,510,796,507,37,121,577
2021,"Barnet 024","E02000047",12397,1786,5876,324,851,110,2366,20,106,958
2021,"Barnet 025","E02000048",10282,1578,3070,69,585,2797,1202,61,106,814
2021,"Barnet 026","E02000049",10531,1758,4406,155,426,148,2825,34,61,718
2021,"Barnet 027","E02000050",10379,2713,3951,64,772,730,1194,64,132,759
2021,"Barnet 028","E02000051",9160,1637,2327,91,466,3010,734,36,88,771
2021,"Barnet 029","E02000052",9849,3567,3394,100,370,764,827,15,108,704
2021,"Barnet 031","E02000054",7631,1245,2678,81,394,1447,1083,20,57,626
2021,"Barnet 032","E02000055",11726,1721,3949,123,565,2996,1215,20,107,1030
2021,"Barnet 033","E02000056",9130,1605,1790,66,268,3918,561,36,96,790
2021,"Barnet 034","E02000057",8013,916,1760,41,348,3516,542,7,50,833
2021,"Barnet 035","E02000058",10227,1788,2451,66,330,3794,729,12,75,982
2021,"Barnet 036","E02000059",11631,1768,5046,130,1210,278,2272,31,142,754
2021,"Barnet 037","E02000060",11560,1034,1696,56,336,6133,679,36,69,1521
2021,"Barnet 038","E02000061",8347,1790,2274,153,330,2150,674,28,77,871
2021,"Barnet 039","E02000062",6958,1185,2796,104,266,144,1886,4,66,507
2021,"Barnet 040","E02000063",7585,1322,3055,103,249,257,1834,21,60,684
2021,"Barnet 041","E02000064",6675,1422,2379,77,208,770,1252,4,71,492
2021,"Bexley 001","E02000065",8060,1518,5128,88,107,9,687,65,26,432
2021,"Bexley 002","E02000066",9430,2549,5214,153,144,11,623,133,52,551
2021,"Bexley 003","E02000067",10231,3106,5169,70,285,9,546,433,31,582
2021,"Bexley 004","E02000068",8176,2509,4088,53,166,1,511,425,49,374
2021,"Bexley 005","E02000069",7211,2186,3620,51,218,9,315,397,39,376
2021,"Bexley 006","E02000070",8108,2480,4136,81,264,11,260,408,30,438
2021,"Bexley 007","E02000071",7672,2749,3680,29,131,2,246,382,38,415
2021,"Bexley 008","E02000072",12924,4002,6917,65,333,10,765,115,60,657
2021,"Bexley 009","E02000073",10725,3371,5147,147,599,5,354,476,21,605
2021,"Bexley 010","E02000074",8861,3194,4463,50,156,3,363,146,33,453
2021,"Bexley 011","E02000075",7984,2450,4256,49,277,6,161,250,33,502
2021,"Bexley 013","E02000077",8139,2688,3610,128,636,9,374,207,30,457
2021,"Bexley 014","E02000078",7933,2827,4038,48,156,3,219,155,30,457
2021,"Bexley 015","E02000079",8770,3070,4139,84,344,3,353,168,42,567
2021,"Bexley 016","E02000080",10066,3259,4742,165,627,9,484,212,37,531
2021,"Bexley 017","E02000081",8306,2940,4132,69,226,6,273,156,44,460
2021,"Bexley 018","E02000082",9336,3218,4589,70,350,10,388,126,26,559
2021,"Bexley 019","E02000083",11270,4139,5620,60,266,1,462,66,65,591
2021,"Bexley 020","E02000084",11116,3900,5270,109,478,17,339,325,31,647
2021,"Bexley 021","E02000085",7961,3047,3823,71,197,7,263,32,34,487
2021,"Bexley 022","E02000086",7177,2652,3705,45,134,15,165,35,19,407
2021,"Bexley 023","E02000087",8209,2780,4383,42,226,6,164,141,36,431
2021,"Bexley 024","E02000088",7750,2967,3772,19,191,4,203,82,19,493
2021,"Bexley 025","E02000089",7871,2969,3985,33,143,11,206,24,26,474
2021,"Bexley 026","E02000090",9640,3768,4644,45,155,20,240,39,47,682
2021,"Bexley 027","E02000091",10165,3781,5161,69,230,16,239,71,48,550
2021,"Bexley 028","E02000092",6752,2629,3312,25,80,3,240,26,27,410
2021,"Brent 001","E02000093",11875,842,4503,104,3611,41,1663,61,245,805
2021,"Brent 002","E02000094",10461,1056,4215,155,1494,91,2509,59,138,744
2021,"Brent 003","E02000095",10459,656,3659,69,3104,115,1837,39,365,615
2021,"Brent 004","E02000096",7631,514,2243,49,2668,236,790,130,608,393
2021,"Brent 005","E02000097",9532,673,4311,136,1563,59,2122,18,101,549
2021,"Brent 006","E02000098",8743,861,3005,49,1543,127,2284,46,169,659
2021,"Brent 007","E02000099",9560,684,3800,75,1868,91,2069,55,209,709
2021,"Brent 008","E02000100",8319,812,2703,112,2092,40,1556,215,260,529
2021,"Brent 009","E02000101",9937,943,3952,101,1152,103,2811,59,89,727
2021,"Brent 010","E02000102",8331,585,3139,37,816,13,3101,1,41,598
2021,"Brent 011","E02000103",9970,1085,4387,85,291,38,3212,8,71,793
2021,"Brent 012","E02000104",7507,631,2696,61,1661,145,1583,68,124,538
2021,"Brent 013","E02000105",9842,734,3337,217,2775,9,2003,73,126,568
2021,"Brent 014","E02000106",10353,1064,4451,82,763,57,3143,10,49,734
2021,"Brent 015","E02000107",10939,2203,4484,106,259,297,2611,23,99,857
2021,"Brent 016","E02000108",7261,594,2526,80,2117,11,1418,39,76,400
2021,"Brent 018","E02000110",8175,1778,3278,64,383,197,1729,32,61,653
2021,"Brent 019","E02000111",11284,564,3606,175,4400,14,1704,84,144,593
2021,"Brent 020","E02000112",11749,820,5727,96,2532,17,1775,41,91,650
2021,"Brent 021","E02000113",9630,901,3852,43,578,5,3498,9,66,678
2021,"Brent 022","E02000114",8995,2019,3943,70,353,129,1704,35,81,661
2021,"Brent 023","E02000115",8622,2372,2863,76,269,429,1775,12,105,721
2021,"Brent 024","E02000116",8548,1113,4036,86,373,28,2296,2,60,554
2021,"Brent 025","E02000117",12734,1516,5864,92,353,28,3888,25,64,904
2021,"Brent 026","E02000118",11294,644,3111,180,5333,16,1231,49,177,553
2021,"Brent 027","E02000119",10623,1284,4222,74,370,22,3835,23,80,713
2021,"Brent 028","E02000120",9016,2838,3488,77,143,183,1471,14,59,743
2021,"Brent 029","E02000121",12240,886,2694,122,5733,6,1945,88,127,639
2021,"Brent 030","E02000122",8175,2216,3136,58,413,465,1165,24,54,644
2021,"Brent 031","E02000123",13578,2473,6579,99,381,72,2866,20,90,998
2021,"Brent 032","E02000124",9957,3470,4091,85,179,314,846,16,89,867
2021,"Brent 033","E02000125",9940,2834,4431,48,521,188,965,19,86,848
2021,"Brent 034","E02000126",8196,1614,3242,44,183,86,2338,15,41,633
2021,"Bromley 001","E02000127",9332,3425,4585,75,229,15,381,34,54,534
2021,"Bromley 002","E02000128",7789,2963,3699,30,164,17,348,29,34,505
2021,"Bromley 004","E02000130",8424,3618,3371,76,93,35,461,32,59,679
2021,"Bromley 005","E02000131",10482,4521,4247,93,119,48,550,18,122,764
2021,"Bromley 006","E02000132",9835,3862,4422,92,213,66,391,35,69,685
2021,"Bromley 007","E02000133",10754,3550,5518,41,347,69,341,80,51,757
2021,"Bromley 008","E02000134",11750,4668,5325,102,313,22,369,30,84,837
2021,"Bromley 009","E02000135",9870,3491,4471,88,126,19,846,15,74,740
2021,"Bromley 010","E02000136",5747,1941,2975,40,165,8,185,43,27,363
2021,"Bromley 011","E02000137",8401,3147,4069,55,245,57,258,28,43,499
2021,"Bromley 012","E02000138",8505,3045,4325,38,222,54,215,21,37,548
2021,"Bromley 013","E02000139",7715,3533,3121,58,119,13,283,13,60,515
2021,"Bromley 014","E02000140",8680,3567,3957,41,175,11,360,23,64,482
2021,"Bromley 015","E02000141",7232,2929,3218,28,62,18,356,20,40,561
2021,"Bromley 016","E02000142",8816,3320,4185,54,367,19,231,29,41,570
2021,"Bromley 018","E02000144",10063,3766,4429,98,501,18,460,30,53,708
2021,"Bromley 019","E02000145",8825,3300,4370,61,166,10,310,14,45,549
2021,"Bromley 020","E02000146",9702,3962,4339,83,253,17,316,41,45,646
2021,"Bromley 021","E02000147",8190,2690,4231,47,325,34,276,39,27,521
2021,"Bromley 022","E02000148",6725,2271,3576,56,185,29,138,39,44,387
2021,"Bromley 023","E02000149",8166,3361,3838,41,178,12,240,32,16,448
2021,"Bromley 024","E02000150",8513,3077,4324,33,171,41,285,12,59,511
2021,"Bromley 025","E02000151",7546,2580,3913,50,320,25,134,34,56,434
2021,"Bromley 026","E02000152",7963,2872,3934,35,200,17,292,20,48,545
2021,"Bromley 027","E02000153",8108,3070,4046,45,212,16,175,4,27,513
2021,"Bromley 028","E02000154",8526,3025,4116,88,438,29,264,22,39,505
2021,"Bromley 029","E02000155",7153,2483,3643,60,262,11,176,13,20,485
2021,"Bromley 030","E02000156",12292,4234,6537,31,326,43,306,19,47,749
2021,"Bromley 031","E02000157",8366,2848,4262,43,522,31,147,14,17,482
2021,"Bromley 032","E02000158",7786,2617,3910,67,372,11,245,18,29,517
2021,"Bromley 033","E02000159",7118,2516,3720,32,232,15,187,27,14,375
2021,"Bromley 034","E02000160",8108,3094,4162,35,103,18,129,16,24,527
2021,"Bromley 035","E02000161",8705,2940,4088,68,776,18,173,54,48,540
2021,"Bromley 036","E02000162",7120,2432,3812,23,253,8,156,22,35,379
2021,"Bromley 037","E02000163",7713,2804,3747,51,427,18,125,63,32,446
2021,"Bromley 039","E02000165",7173,3184,3395,21,25,14,44,14,23,453
2021,"Camden 001","E02000166",7745,3308,2603,56,26,406,643,11,61,631
2021,"Camden 002","E02000167",7198,2729,2348,87,138,795,247,18,84,752
2021,"Camden 003","E02000168",7810,3712,2424,53,55,259,626,13,64,604
2021,"Camden 004","E02000169",7176,2174,2304,51,259,1116,472,21,79,700
