"date","geography","geography code","Religion (detailed): Total: All Usual Residents","Religion (detailed): Christian","Religion (detailed): Buddhist","Religion (detailed): Hindu","Religion (detailed): Jewish","Religion (detailed): Muslim","Religion (detailed): Sikh","Religion (detailed): No religion","Religion (detailed): No religion: Agnostic","Religion (detailed): No religion: Atheist","Religion (detailed): No religion: Free Thinker","Religion (detailed): No religion: Humanist","Religion (detailed): No religion: No religion","Religion (detailed): No religion: Realist","Religion (detailed): Other religion","Religion (detailed): Other religion: Alevi","Religion (detailed): Other religion: Animism","Religion (detailed): Other religion: Baha'i","Religion (detailed): Other religion: Believe in God","Religion (detailed): Other religion: Brahma Kumari","Religion (detailed): Other religion: Chinese Religion","Religion (detailed): Other religion: Church of All Religion","Religion (detailed): Other religion: Confucianist","Religion (detailed): Other religion: Deist","Religion (detailed): Other religion: Druid","Religion (detailed): Other religion: Druze","Religion (detailed): Other religion: Eckankar","Religion (detailed): Other religion: Heathen","Religion (detailed): Other religion: Jain","Religion (detailed): Other religion: Mixed Religion","Religion (detailed): Other religion: Mysticism","Religion (detailed): Other religion: Native American Church","Religion (detailed): Other religion: New Age","Religion (detailed): Other religion: Occult","Religion (detailed): Other religion: Other religions","Religion (detailed): Other religion: Own Belief System","Religion (detailed): Other religion: Pagan","Religion (detailed): Other religion: Pantheism","Religion (detailed): Other religion: Rastafarian","Religion (detailed): Other religion: Ravidassia","Religion (detailed): Other religion: Reconstructionist","Religion (detailed): Other religion: Satanism","Religion (detailed): Other religion: Scientology","Religion (detailed): Other religion: Shamanism","Religion (detailed): Other religion: Shintoism","Religion (detailed): Other religion: Spiritual","Religion (detailed): Other religion: Spiritualist","Religion (detailed): Other religion: Taoist","Religion (detailed): Other religion: Theism","Religion (detailed): Other religion: Thelemite","Religion (detailed): Other religion: Traditional African Religion","Religion (detailed): Other religion: Unification Church","Religion (detailed): Other religion: Universalist","Religion (detailed): Other religion: Valmiki","Religion (detailed): Other religion: Vodun","Religion (detailed): Other religion: Wicca","Religion (detailed): Other religion: Witchcraft","Religion (detailed): Other religion: Yazidi","Religion (detailed): Other religion: Zoroastrian","Religion (detailed): Religion not stated"
2021,"City of London 001","E02000001",8579,2976,95,203,177,540,6,3762,17,5,0,1,3739,0,53,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,21,0,5,0,1,0,0,2,0,1,0,9,4,0,0,0,2,0,0,0,0,1,0,0,1,767
2021,"Barking and Dagenham 001","E02000002",8281,3899,27,269,30,1610,172,1816,0,0,0,0,1816,0,32,11,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,1,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,426
2021,"Barking and Dagenham 002","E02000003",11544,4961,35,571,18,3072,665,1576,1,1,0,0,1574,0,57,2,0,0,2,0,0,0,0,0,1,0,0,0,7,6,0,0,0,0,23,0,3,0,1,5,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,589
2021,"Barking and Dagenham 003","E02000004",6640,3456,33,163,13,829,104,1671,4,1,0,0,1666,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,353
2021,"Barking and Dagenham 004","E02000005",11083,4587,46,744,22,2387,405,2209,5,0,0,0,2204,0,78,5,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,16,0,9,0,1,21,0,0,0,7,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,605
2021,"Barking and Dagenham 006","E02000007",10157,5109,34,193,4,1654,41,2551,0,0,0,0,2551,0,43,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,16,0,8,0,2,0,0,1,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,528
2021,"Barking and Dagenham 007","E02000008",13250,6249,40,208,18,2477,139,3359,0,0,0,1,3358,0,38,0,0,3,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,11,0,5,0,0,1,0,1,0,1,0,3,1,1,0,0,1,0,0,0,0,4,1,0,0,722
2021,"Barking and Dagenham 008","E02000009",12862,5978,45,375,10,3027,228,2365,2,2,0,1,2360,0,112,9,0,0,2,0,0,0,0,0,0,2,0,0,2,60,0,0,0,0,10,0,10,0,1,5,0,0,0,4,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,722
2021,"Barking and Dagenham 009","E02000010",9482,4894,17,142,8,1444,52,2340,7,1,0,0,2332,0,54,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,15,0,12,0,1,3,0,0,0,8,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,531
2021,"Barking and Dagenham 010","E02000011",7031,3713,19,127,15,1348,82,1243,2,0,0,1,1240,0,25,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,9,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,459
