"date","geography","geography code","General health: Total: All usual residents","General health: Very good health","General health: Good health","General health: Fair health","General health: Bad health","General health: Very bad health"
2021,"City of London 001","E02000001",8583,4937,2726,687,186,47
2021,"Barking and Dagenham 001","E02000002",8281,4138,2645,1001,358,139
2021,"Barking and Dagenham 002","E02000003",11542,5938,3889,1242,368,105
2021,"Barking and Dagenham 003","E02000004",6641,3257,2237,831,262,54
2021,"Barking and Dagenham 004","E02000005",11082,5837,3572,1185,353,135
2021,"Barking and Dagenham 006","E02000007",10162,5072,3303,1180,449,158
2021,"Barking and Dagenham 007","E02000008",13250,6470,4370,1598,614,198
2021,"Barking and Dagenham 008","E02000009",12864,6776,4126,1363,467,132
2021,"Barking and Dagenham 009","E02000010",9489,4734,3161,1088,400,106
2021,"Barking and Dagenham 010","E02000011",7033,3536,2350,781,304,62
2021,"Barking and Dagenham 011","E02000012",11511,5863,3880,1325,342,101
2021,"Barking and Dagenham 012","E02000013",9398,4715,3066,1079,421,117
2021,"Barking and Dagenham 013","E02000014",9865,4717,3353,1285,399,111
2021,"Barking and Dagenham 014","E02000015",8228,4143,2670,994,327,94
2021,"Barking and Dagenham 015","E02000016",10570,5748,3470,965,281,106
2021,"Barking and Dagenham 016","E02000017",9133,4575,3179,976,314,89
2021,"Barking and Dagenham 017","E02000018",9549,4813,3196,1023,377,140
2021,"Barking and Dagenham 018","E02000019",9664,4822,3246,1120,368,108
2021,"Barking and Dagenham 019","E02000020",14053,7305,4750,1439,430,129
2021,"Barking and Dagenham 020","E02000021",8759,4613,2803,959,299,85
2021,"Barking and Dagenham 021","E02000022",7739,4484,2343,642,218,52
2021,"Barking and Dagenham 022","E02000023",8018,4369,2466,771,305,107
2021,"Barnet 001","E02000024",10841,5846,3525,1070,309,91
2021,"Barnet 002","E02000025",8582,4459,2773,958,310,82
2021,"Barnet 003","E02000026",6457,3465,2050,664,208,70
2021,"Barnet 004","E02000027",9647,4854,3146,1121,393,133
2021,"Barnet 005","E02000028",6533,3520,2134,651,179,49
2021,"Barnet 006","E02000029",9675,5341,3014,965,277,78
2021,"Barnet 007","E02000030",9456,5112,2974,959,306,105
2021,"Barnet 008","E02000031",8331,4478,2693,841,246,73
2021,"Barnet 009","E02000032",7940,4240,2531,890,212,67
2021,"Barnet 010","E02000033",8890,4549,2877,1099,273,92
2021,"Barnet 011","E02000034",9087,5064,2819,822,272,110
2021,"Barnet 012","E02000035",8531,4577,2695,930,256,73
2021,"Barnet 013","E02000036",11244,5971,3571,1230,344,128
2021,"Barnet 014","E02000037",10836,6155,3274,1016,308,83
2021,"Barnet 015","E02000038",10719,5697,3391,1180,338,113
2021,"Barnet 016","E02000039",7168,4147,2205,587,168,61
2021,"Barnet 017","E02000040",9137,5257,2644,857,296,83
2021,"Barnet 018","E02000041",9455,5040,3039,1038,259,79
2021,"Barnet 019","E02000042",11559,5910,3707,1395,432,115
2021,"Barnet 020","E02000043",7573,4323,2326,715,161,48
2021,"Barnet 021","E02000044",8844,4681,2799,939,310,115
2021,"Barnet 022","E02000045",10523,5559,3355,1120,368,121
2021,"Barnet 023","E02000046",6963,3955,2148,628,172,60
2021,"Barnet 024","E02000047",12396,6378,4078,1348,447,145
2021,"Barnet 025","E02000048",10283,5841,3123,968,275,76
2021,"Barnet 026","E02000049",10532,5775,3206,1050,384,117
2021,"Barnet 027","E02000050",10378,5520,3224,1145,363,126
2021,"Barnet 028","E02000051",9160,5009,2878,934,246,93
2021,"Barnet 029","E02000052",9849,5461,3051,980,252,105
2021,"Barnet 031","E02000054",7631,4134,2474,728,226,69
2021,"Barnet 032","E02000055",11725,6594,3590,1156,293,92
2021,"Barnet 033","E02000056",9130,5532,2633,688,186,91
2021,"Barnet 034","E02000057",8013,4978,2110,646,185,94
2021,"Barnet 035","E02000058",10225,6204,2768,919,253,81
2021,"Barnet 036","E02000059",11627,5742,4093,1279,383,130
2021,"Barnet 037","E02000060",11558,7589,2483,1022,332,132
2021,"Barnet 038","E02000061",8347,4850,2362,819,227,89
2021,"Barnet 039","E02000062",6958,3554,2286,759,271,88
2021,"Barnet 040","E02000063",7584,3977,2391,838,276,102
2021,"Barnet 041","E02000064",6674,3598,2102,659,229,86
2021,"Bexley 001","E02000065",8063,4723,2254,779,232,75
2021,"Bexley 002","E02000066",9429,4831,2956,1183,349,110
2021,"Bexley 003","E02000067",10228,5225,3444,1121,331,107
2021,"Bexley 004","E02000068",8176,4315,2584,896,296,85
2021,"Bexley 005","E02000069",7212,3622,2347,914,250,79
2021,"Bexley 006","E02000070",8112,3950,2733,1046,293,90
2021,"Bexley 007","E02000071",7670,3792,2672,909,227,70
2021,"Bexley 008","E02000072",12924,6834,4061,1405,468,156
2021,"Bexley 009","E02000073",10726,5399,3785,1177,269,96
2021,"Bexley 010","E02000074",8861,4210,2971,1175,395,110
2021,"Bexley 011","E02000075",7986,3939,2758,976,231,82
2021,"Bexley 013","E02000077",8140,4058,2701,1009,261,111
2021,"Bexley 014","E02000078",7933,3964,2781,894,222,72
2021,"Bexley 015","E02000079",8770,4398,2921,1079,280,92
2021,"Bexley 016","E02000080",10065,5168,3498,1038,300,61
2021,"Bexley 017","E02000081",8306,4029,2823,1034,342,78
2021,"Bexley 018","E02000082",9336,4804,3262,986,207,77
2021,"Bexley 019","E02000083",11268,5604,3877,1262,388,137
2021,"Bexley 020","E02000084",11115,5701,3879,1135,309,91
2021,"Bexley 021","E02000085",7961,4113,2714,847,229,58
2021,"Bexley 022","E02000086",7178,3784,2403,746,199,46
2021,"Bexley 023","E02000087",8209,4431,2614,856,229,79
2021,"Bexley 024","E02000088",7748,4020,2592,828,236,72
2021,"Bexley 025","E02000089",7871,4092,2533,925,243,78
2021,"Bexley 026","E02000090",9637,4927,3171,1047,357,135
2021,"Bexley 027","E02000091",10164,4957,3512,1214,385,96
2021,"Bexley 028","E02000092",6753,3155,2208,916,353,121
2021,"Brent 001","E02000093",11877,6070,4146,1220,339,102
2021,"Brent 002","E02000094",10460,5437,3440,1150,318,115
2021,"Brent 003","E02000095",10463,5371,3589,1136,276,91
2021,"Brent 004","E02000096",7632,3802,2633,900,228,69
2021,"Brent 005","E02000097",9532,4800,3237,1081,312,102
2021,"Brent 006","E02000098",8742,4312,2896,1080,323,131
