"date","geography","geography code","Disability: Total: All usual residents","Disability: Disabled under the Equality Act","Disability: Disabled under the Equality Act: Day-to-day activities limited a lot","Disability: Disabled under the Equality Act: Day-to-day activities limited a little","Disability: Not disabled under the Equality Act","Disability: Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited","Disability: Not disabled under the Equality Act: No long term physical or mental health conditions"
2021,"City of London 001","E02000001",8583,919,280,639,7664,651,7013
2021,"Barking and Dagenham 001","E02000002",8281,1286,667,619,6995,314,6681
2021,"Barking and Dagenham 002","E02000003",11542,1413,625,788,10129,453,9676
2021,"Barking and Dagenham 003","E02000004",6640,995,466,529,5645,309,5336
2021,"Barking and Dagenham 004","E02000005",11081,1387,644,743,9694,411,9283
2021,"Barking and Dagenham 006","E02000007",10162,1603,772,831,8559,389,8170
2021,"Barking and Dagenham 007","E02000008",13250,2084,1007,1077,11166,524,10642
2021,"Barking and Dagenham 008","E02000009",12861,1578,774,804,11283,425,10858
2021,"Barking and Dagenham 009","E02000010",9485,1292,631,661,8193,384,7809
2021,"Barking and Dagenham 010","E02000011",7031,971,454,517,6060,246,5814
2021,"Barking and Dagenham 011","E02000012",11510,1342,590,752,10168,389,9779
2021,"Barking and Dagenham 012","E02000013",9398,1368,668,700,8030,367,7663
2021,"Barking and Dagenham 013","E02000014",9865,1500,709,791,8365,366,7999
2021,"Barking and Dagenham 014","E02000015",8228,1155,523,632,7073,253,6820
2021,"Barking and Dagenham 015","E02000016",10568,1021,421,600,9547,342,9205
2021,"Barking and Dagenham 016","E02000017",9133,1090,510,580,8043,253,7790
2021,"Barking and Dagenham 017","E02000018",9551,1356,633,723,8195,329,7866
2021,"Barking and Dagenham 018","E02000019",9663,1385,643,742,8278,375,7903
2021,"Barking and Dagenham 019","E02000020",14055,1514,726,788,12541,489,12052
2021,"Barking and Dagenham 020","E02000021",8759,1091,558,533,7668,316,7352
2021,"Barking and Dagenham 021","E02000022",7741,757,320,437,6984,210,6774
2021,"Barking and Dagenham 022","E02000023",8019,1049,537,512,6970,254,6716
2021,"Barnet 001","E02000024",10841,1524,596,928,9317,747,8570
2021,"Barnet 002","E02000025",8582,1343,575,768,7239,556,6683
2021,"Barnet 003","E02000026",6457,875,370,505,5582,407,5175
2021,"Barnet 004","E02000027",9647,1542,729,813,8105,552,7553
2021,"Barnet 005","E02000028",6533,810,335,475,5723,416,5307
2021,"Barnet 006","E02000029",9678,1284,508,776,8394,509,7885
2021,"Barnet 007","E02000030",9457,1225,564,661,8232,539,7693
2021,"Barnet 008","E02000031",8331,1112,504,608,7219,460,6759
2021,"Barnet 009","E02000032",7939,1042,410,632,6897,444,6453
2021,"Barnet 010","E02000033",8891,1245,532,713,7646,517,7129
2021,"Barnet 011","E02000034",9088,1156,531,625,7932,483,7449
2021,"Barnet 012","E02000035",8530,1159,503,656,7371,487,6884
2021,"Barnet 013","E02000036",11244,1405,648,757,9839,580,9259
2021,"Barnet 014","E02000037",10833,1293,559,734,9540,560,8980
2021,"Barnet 015","E02000038",10719,1500,700,800,9219,579,8640
2021,"Barnet 016","E02000039",7168,763,321,442,6405,395,6010
2021,"Barnet 017","E02000040",9139,1223,538,685,7916,461,7455
2021,"Barnet 018","E02000041",9455,1172,533,639,8283,416,7867
2021,"Barnet 019","E02000042",11559,1673,731,942,9886,611,9275
2021,"Barnet 020","E02000043",7570,858,349,509,6712,405,6307
2021,"Barnet 021","E02000044",8844,1163,561,602,7681,354,7327
2021,"Barnet 022","E02000045",10522,1469,717,752,9053,527,8526
2021,"Barnet 023","E02000046",6959,760,301,459,6199,428,5771
2021,"Barnet 024","E02000047",12397,1577,786,791,10820,424,10396
2021,"Barnet 025","E02000048",10284,1194,502,692,9090,569,8521
2021,"Barnet 026","E02000049",10532,1345,660,685,9187,377,8810
2021,"Barnet 027","E02000050",10378,1512,668,844,8866,652,8214
2021,"Barnet 028","E02000051",9160,1163,490,673,7997,527,7470
2021,"Barnet 029","E02000052",9848,1307,482,825,8541,672,7869
2021,"Barnet 031","E02000054",7631,973,424,549,6658,355,6303
2021,"Barnet 032","E02000055",11725,1360,538,822,10365,465,9900
2021,"Barnet 033","E02000056",9128,978,384,594,8150,536,7614
2021,"Barnet 034","E02000057",8013,878,365,513,7135,313,6822
2021,"Barnet 035","E02000058",10227,1183,490,693,9044,582,8462
2021,"Barnet 036","E02000059",11626,1349,638,711,10277,463,9814
2021,"Barnet 037","E02000060",11557,1353,703,650,10204,471,9733
2021,"Barnet 038","E02000061",8345,1089,505,584,7256,425,6831
2021,"Barnet 039","E02000062",6958,940,435,505,6018,262,5756
2021,"Barnet 040","E02000063",7584,1002,506,496,6582,305,6277
2021,"Barnet 041","E02000064",6673,870,407,463,5803,331,5472
2021,"Bexley 001","E02000065",8062,977,461,516,7085,360,6725
2021,"Bexley 002","E02000066",9430,1445,670,775,7985,423,7562
2021,"Bexley 003","E02000067",10230,1435,594,841,8795,490,8305
2021,"Bexley 004","E02000068",8176,1227,524,703,6949,433,6516
2021,"Bexley 005","E02000069",7212,1095,476,619,6117,403,5714
2021,"Bexley 006","E02000070",8109,1255,523,732,6854,522,6332
2021,"Bexley 007","E02000071",7671,1166,448,718,6505,442,6063
2021,"Bexley 008","E02000072",12924,2008,895,1113,10916,606,10310
2021,"Bexley 009","E02000073",10726,1338,561,777,9388,638,8750
2021,"Bexley 010","E02000074",8861,1591,735,856,7270,471,6799
2021,"Bexley 011","E02000075",7986,1146,469,677,6840,539,6301
2021,"Bexley 013","E02000077",8142,1220,519,701,6922,456,6466
2021,"Bexley 014","E02000078",7930,1112,426,686,6818,568,6250
2021,"Bexley 015","E02000079",8768,1398,648,750,7370,536,6834
2021,"Bexley 016","E02000080",10069,1310,517,793,8759,574,8185
2021,"Bexley 017","E02000081",8303,1366,612,754,6937,517,6420
2021,"Bexley 018","E02000082",9338,1092,442,650,8246,554,7692
2021,"Bexley 019","E02000083",11270,1769,778,991,9501,645,8856
2021,"Bexley 020","E02000084",11115,1406,540,866,9709,665,9044
2021,"Bexley 021","E02000085",7961,1018,416,602,6943,484,6459
2021,"Bexley 022","E02000086",7178,902,335,567,6276,436,5840
2021,"Bexley 023","E02000087",8209,1124,432,692,7085,557,6528
2021,"Bexley 024","E02000088",7750,1029,399,630,6721,553,6168
2021,"Bexley 025","E02000089",7869,1134,492,642,6735,521,6214
2021,"Bexley 026","E02000090",9641,1540,681,859,8101,672,7429
2021,"Bexley 027","E02000091",10164,1669,720,949,8495,695,7800
2021,"Bexley 028","E02000092",6754,1306,638,668,5448,397,5051
2021,"Brent 001","E02000093",11877,1232,549,683,10645,396,10249
2021,"Brent 002","E02000094",10461,1174,556,618,9287,388,8899
2021,"Brent 003","E02000095",10462,1089,480,609,9373,386,8987
2021,"Brent 004","E02000096",7632,932,431,501,6700,327,6373
2021,"Brent 005","E02000097",9534,1142,529,613,8392,349,8043
2021,"Brent 006","E02000098",8742,1174,628,546,7568,323,7245
2021,"Brent 007","E02000099",9560,918,396,522,8642,300,8342
2021,"Brent 008","E02000100",8319,996,396,600,7323,342,6981
2021,"Brent 009","E02000101",9938,1411,737,674,8527,320,8207
2021,"Brent 010","E02000102",8328,1016,510,506,7312,238,7074
2021,"Brent 011","E02000103",9973,1274,588,686,8699,354,8345
2021,"Brent 012","E02000104",7505,1096,550,546,6409,265,6144
2021,"Brent 013","E02000105",9843,1106,476,630,8737,324,8413
2021,"Brent 014","E02000106",10355,1247,584,663,9108,332,8776
2021,"Brent 015","E02000107",10939,1329,586,743,9610,466,9144
2021,"Brent 016","E02000108",7259,767,340,427,6492,272,6220
2021,"Brent 018","E02000110",8175,1103,507,596,7072,446,6626
2021,"Brent 019","E02000111",11284,1186,593,593,10098,302,9796
2021,"Brent 020","E02000112",11749,1167,569,598,10582,368,10214
2021,"Brent 021","E02000113",9630,1568,784,784,8062,325,7737
2021,"Brent 022","E02000114",8996,1106,465,641,7890,387,7503
2021,"Brent 023","E02000115",8622,1247,564,683,7375,462,6913
2021,"Brent 024","E02000116",8549,1201,548,653,7348,337,7011
2021,"Brent 025","E02000117",12733,1919,986,933,10814,467,10347
2021,"Brent 026","E02000118",11293,959,464,495,10334,316,10018
2021,"Brent 027","E02000119",10625,1535,799,736,9090,361,8729
2021,"Brent 028","E02000120",9017,1130,489,641,7887,510,7377
2021,"Brent 029","E02000121",12240,1056,466,590,11184,361,10823
2021,"Brent 030","E02000122",8178,1034,439,595,7144,371,6773
2021,"Brent 031","E02000123",13578,1834,840,994,11744,533,11211
2021,"Brent 032","E02000124",9954,1112,435,677,8842,565,8277
2021,"Brent 033","E02000125",9940,1268,559,709,8672,506,8166
2021,"Brent 034","E02000126",8195,1265,580,685,6930,366,6564
2021,"Bromley 001","E02000127",9330,1610,787,823,7720,526,7194
2021,"Bromley 002","E02000128",7788,1076,430,646,6712,486,6226
2021,"Bromley 004","E02000130",8427,1133,432,701,7294,664,6630
2021,"Bromley 005","E02000131",10485,1371,513,858,9114,730,8384
2021,"Bromley 006","E02000132",9834,1237,452,785,8597,724,7873
2021,"Bromley 007","E02000133",10753,1216,489,727,9537,745,8792
2021,"Bromley 008","E02000134",11751,1593,643,950,10158,785,9373
2021,"Bromley 009","E02000135",9871,1809,858,951,8062,499,7563
2021,"Bromley 010","E02000136",5744,982,466,516,4762,345,4417
2021,"Bromley 011","E02000137",8400,1048,425,623,7352,576,6776
2021,"Bromley 012","E02000138",8503,1107,393,714,7396,596,6800
2021,"Bromley 013","E02000139",7714,984,385,599,6730,575,6155
2021,"Bromley 014","E02000140",8680,1693,779,914,6987,474,6513
2021,"Bromley 015","E02000141",7233,947,384,563,6286,529,5757
2021,"Bromley 016","E02000142",8817,1072,434,638,7745,601,7144
2021,"Bromley 018","E02000144",10063,1141,377,764,8922,652,8270
2021,"Bromley 019","E02000145",8824,1574,748,826,7250,443,6807
2021,"Bromley 020","E02000146",9702,1363,582,781,8339,689,7650
2021,"Bromley 021","E02000147",8190,873,288,585,7317,584,6733
2021,"Bromley 022","E02000148",6723,823,288,535,5900,453,5447
2021,"Bromley 023","E02000149",8166,1242,523,719,6924,504,6420
2021,"Bromley 024","E02000150",8516,1086,399,687,7430,632,6798
2021,"Bromley 025","E02000151",7543,902,303,599,6641,518,6123
2021,"Bromley 026","E02000152",7963,1268,602,666,6695,449,6246
2021,"Bromley 027","E02000153",8103,890,323,567,7213,512,6701
2021,"Bromley 028","E02000154",8528,1121,400,721,7407,607,6800
2021,"Bromley 029","E02000155",7155,1214,512,702,5941,537,5404
2021,"Bromley 030","E02000156",12293,1721,645,1076,10572,897,9675
2021,"Bromley 031","E02000157",8367,1075,318,757,7292,632,6660
2021,"Bromley 032","E02000158",7788,1236,534,702,6552,514,6038
2021,"Bromley 033","E02000159",7117,869,355,514,6248,493,5755
2021,"Bromley 034","E02000160",8108,1088,384,704,7020,605,6415
2021,"Bromley 035","E02000161",8702,1088,390,698,7614,604,7010
