"date","geography","geography code","Number of disabled people in household: Total: All households","Number of disabled people in household: No people disabled under the Equality Act in household","Number of disabled people in household: 1 person disabled under the Equality Act in household","Number of disabled people in household: 2 or more people disabled under the Equality Act in household"
2021,"City of London 001","E02000001",4912,4120,718,74
2021,"Barking and Dagenham 001","E02000002",2870,1897,753,220
2021,"Barking and Dagenham 002","E02000003",3930,2837,849,244
2021,"Barking and Dagenham 003","E02000004",2309,1603,547,159
2021,"Barking and Dagenham 004","E02000005",3627,2554,819,254
2021,"Barking and Dagenham 006","E02000007",3675,2450,974,251
2021,"Barking and Dagenham 007","E02000008",4624,3054,1166,404
2021,"Barking and Dagenham 008","E02000009",4253,3001,993,259
2021,"Barking and Dagenham 009","E02000010",3327,2330,748,249
2021,"Barking and Dagenham 010","E02000011",2353,1675,522,156
2021,"Barking and Dagenham 011","E02000012",3288,2296,738,254
2021,"Barking and Dagenham 012","E02000013",3254,2187,827,240
2021,"Barking and Dagenham 013","E02000014",3388,2280,821,287
2021,"Barking and Dagenham 014","E02000015",3033,2096,756,181
2021,"Barking and Dagenham 015","E02000016",3811,2960,713,138
2021,"Barking and Dagenham 016","E02000017",2765,1983,599,183
2021,"Barking and Dagenham 017","E02000018",3234,2170,835,229
2021,"Barking and Dagenham 018","E02000019",3206,2213,728,265
2021,"Barking and Dagenham 019","E02000020",4673,3476,941,256
2021,"Barking and Dagenham 020","E02000021",2929,2135,629,165
2021,"Barking and Dagenham 021","E02000022",2795,2195,498,102
2021,"Barking and Dagenham 022","E02000023",2663,1870,613,180
2021,"Barnet 001","E02000024",4480,3297,967,216
2021,"Barnet 002","E02000025",3746,2620,939,187
2021,"Barnet 003","E02000026",2512,1839,511,162
2021,"Barnet 004","E02000027",3685,2513,948,224
2021,"Barnet 005","E02000028",2692,2023,561,108
2021,"Barnet 006","E02000029",3707,2678,810,219
2021,"Barnet 007","E02000030",3519,2576,757,186
2021,"Barnet 008","E02000031",3327,2510,687,130
2021,"Barnet 009","E02000032",2744,1930,625,189
2021,"Barnet 010","E02000033",3493,2494,834,165
2021,"Barnet 011","E02000034",3588,2661,767,160
2021,"Barnet 012","E02000035",3528,2692,698,138
2021,"Barnet 013","E02000036",3944,2829,911,204
2021,"Barnet 014","E02000037",3717,2694,788,235
2021,"Barnet 015","E02000038",4005,2985,816,204
2021,"Barnet 016","E02000039",2674,2044,514,116
2021,"Barnet 017","E02000040",3510,2558,757,195
2021,"Barnet 018","E02000041",3325,2401,753,171
2021,"Barnet 019","E02000042",4716,3429,1094,193
2021,"Barnet 020","E02000043",2666,2053,474,139
2021,"Barnet 021","E02000044",3070,2134,746,190
2021,"Barnet 022","E02000045",4203,3041,920,242
2021,"Barnet 023","E02000046",2879,2236,544,99
2021,"Barnet 024","E02000047",4210,2980,977,253
2021,"Barnet 025","E02000048",3950,2954,823,173
2021,"Barnet 026","E02000049",3801,2712,882,207
2021,"Barnet 027","E02000050",4034,2826,960,248
2021,"Barnet 028","E02000051",3794,2823,807,164
2021,"Barnet 029","E02000052",4191,3090,921,180
2021,"Barnet 031","E02000054",2971,2187,654,130
2021,"Barnet 032","E02000055",4507,3386,929,192
2021,"Barnet 033","E02000056",3442,2642,687,113
2021,"Barnet 034","E02000057",2707,2018,574,115
2021,"Barnet 035","E02000058",4097,3084,868,145
2021,"Barnet 036","E02000059",4436,3345,882,209
2021,"Barnet 037","E02000060",3695,2683,849,163
2021,"Barnet 038","E02000061",3573,2700,767,106
2021,"Barnet 039","E02000062",2614,1844,628,142
2021,"Barnet 040","E02000063",2831,2069,610,152
2021,"Barnet 041","E02000064",2762,2062,564,136
