"date","geography","geography code","Number of households: Number of households; measures: Value"
2021,"City of London 001","E02000001",4914
2021,"Barking and Dagenham 001","E02000002",2870
2021,"Barking and Dagenham 002","E02000003",3930
2021,"Barking and Dagenham 003","E02000004",2307
2021,"Barking and Dagenham 004","E02000005",3628
2021,"Barking and Dagenham 006","E02000007",3675
2021,"Barking and Dagenham 007","E02000008",4624
2021,"Barking and Dagenham 008","E02000009",4254
2021,"Barking and Dagenham 009","E02000010",3327
2021,"Barking and Dagenham 010","E02000011",2353
2021,"Barking and Dagenham 011","E02000012",3289
2021,"Barking and Dagenham 012","E02000013",3254
2021,"Barking and Dagenham 013","E02000014",3388
2021,"Barking and Dagenham 014","E02000015",3033
2021,"Barking and Dagenham 015","E02000016",3811
2021,"Barking and Dagenham 016","E02000017",2765
2021,"Barking and Dagenham 017","E02000018",3234
2021,"Barking and Dagenham 018","E02000019",3206
2021,"Barking and Dagenham 019","E02000020",4673
2021,"Barking and Dagenham 020","E02000021",2930
2021,"Barking and Dagenham 021","E02000022",2796
2021,"Barking and Dagenham 022","E02000023",2663
2021,"Barking and Dagenham 023","E02006799",3890
2021,"Barnet 001","E02000024",4477
2021,"Barnet 002","E02000025",3746
2021,"Barnet 003","E02000026",2512
2021,"Barnet 004","E02000027",3686
2021,"Barnet 005","E02000028",2692
2021,"Barnet 006","E02000029",3704
2021,"Barnet 007","E02000030",3519
2021,"Barnet 008","E02000031",3327
2021,"Barnet 009","E02000032",2745
2021,"Barnet 010","E02000033",3494
2021,"Barnet 011","E02000034",3588
2021,"Barnet 012","E02000035",3528
2021,"Barnet 013","E02000036",3944
2021,"Barnet 014","E02000037",3717
2021,"Barnet 015","E02000038",4005
2021,"Barnet 016","E02000039",2674
2021,"Barnet 017","E02000040",3509
2021,"Barnet 018","E02000041",3325
2021,"Barnet 019","E02000042",4716
2021,"Barnet 020","E02000043",2664
2021,"Barnet 021","E02000044",3070
2021,"Barnet 022","E02000045",4202
2021,"Barnet 023","E02000046",2879
2021,"Barnet 024","E02000047",4210
2021,"Barnet 025","E02000048",3950
2021,"Barnet 026","E02000049",3802
2021,"Barnet 027","E02000050",4034
2021,"Barnet 028","E02000051",3793
2021,"Barnet 029","E02000052",4191
2021,"Barnet 031","E02000054",2971
2021,"Barnet 032","E02000055",4506
2021,"Barnet 033","E02000056",3442
2021,"Barnet 034","E02000057",2706
2021,"Barnet 035","E02000058",4097
2021,"Barnet 036","E02000059",4433
2021,"Barnet 037","E02000060",3695
2021,"Barnet 038","E02000061",3573
2021,"Barnet 039","E02000062",2615
2021,"Barnet 040","E02000063",2833
2021,"Barnet 041","E02000064",2762
2021,"Barnet 042","E02006953",3855
2021,"Barnet 043","E02006954",3720
2021,"Bexley 001","E02000065",2776
2021,"Bexley 002","E02000066",3547
2021,"Bexley 003","E02000067",3983
2021,"Bexley 004","E02000068",3196
2021,"Bexley 005","E02000069",2812
2021,"Bexley 006","E02000070",3140
2021,"Bexley 007","E02000071",2834
2021,"Bexley 008","E02000072",4688
2021,"Bexley 009","E02000073",3956
2021,"Bexley 010","E02000074",3503
2021,"Bexley 011","E02000075",3149
2021,"Bexley 013","E02000077",2936
2021,"Bexley 014","E02000078",3019
2021,"Bexley 015","E02000079",3586
2021,"Bexley 016","E02000080",3815
2021,"Bexley 017","E02000081",3279
2021,"Bexley 018","E02000082",3443
2021,"Bexley 019","E02000083",4444
2021,"Bexley 020","E02000084",4199
2021,"Bexley 021","E02000085",3073
2021,"Bexley 022","E02000086",2788
2021,"Bexley 023","E02000087",3320
2021,"Bexley 024","E02000088",2980
2021,"Bexley 025","E02000089",2904
2021,"Bexley 026","E02000090",4194
2021,"Bexley 027","E02000091",4448
2021,"Bexley 028","E02000092",2714
2021,"Bexley 029","E02006785",2574
2021,"Brent 001","E02000093",3738
2021,"Brent 002","E02000094",3467
2021,"Brent 003","E02000095",3184
2021,"Brent 004","E02000096",2497
2021,"Brent 005","E02000097",3038
2021,"Brent 006","E02000098",2875
2021,"Brent 007","E02000099",2917
2021,"Brent 008","E02000100",2567
2021,"Brent 009","E02000101",3386
2021,"Brent 010","E02000102",2685
2021,"Brent 011","E02000103",3462
2021,"Brent 012","E02000104",2416
2021,"Brent 013","E02000105",3108
2021,"Brent 014","E02000106",3586
2021,"Brent 015","E02000107",4362
2021,"Brent 016","E02000108",2273
2021,"Brent 018","E02000110",3094
2021,"Brent 019","E02000111",3190
2021,"Brent 020","E02000112",3496
2021,"Brent 021","E02000113",3289
2021,"Brent 022","E02000114",3707
2021,"Brent 023","E02000115",3877
