"date","geography","geography code","Accommodation type: Total: All households","Accommodation type: Detached","Accommodation type: Semi-detached","Accommodation type: Terraced","Accommodation type: In a purpose-built block of flats or tenement","Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse","Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop","Accommodation type: A caravan or other mobile or temporary structure"
2021,"City of London 001","E02000001",4914,7,15,78,4273,66,272,203,0
2021,"Barking and Dagenham 001","E02000002",2870,129,783,811,1099,32,4,11,1
2021,"Barking and Dagenham 002","E02000003",3929,176,1075,1403,998,170,20,84,3
2021,"Barking and Dagenham 003","E02000004",2309,100,898,985,269,35,6,11,5
2021,"Barking and Dagenham 004","E02000005",3628,215,812,2088,368,93,6,45,1
2021,"Barking and Dagenham 006","E02000007",3677,138,906,1128,1436,35,6,27,1
2021,"Barking and Dagenham 007","E02000008",4624,281,1069,2552,554,131,4,33,0
2021,"Barking and Dagenham 008","E02000009",4254,217,942,1701,1204,69,48,71,2
2021,"Barking and Dagenham 009","E02000010",3326,179,795,1901,358,80,4,8,1
2021,"Barking and Dagenham 010","E02000011",2353,173,606,955,523,49,7,39,1
2021,"Barking and Dagenham 011","E02000012",3289,143,832,1568,690,29,0,25,2
2021,"Barking and Dagenham 012","E02000013",3252,211,889,1706,333,86,3,21,3
2021,"Barking and Dagenham 013","E02000014",3388,228,680,2126,236,76,3,36,3
2021,"Barking and Dagenham 014","E02000015",3033,122,632,671,1511,44,5,48,0
2021,"Barking and Dagenham 015","E02000016",3810,56,167,419,3002,57,22,78,9
2021,"Barking and Dagenham 016","E02000017",2765,205,503,1325,528,170,16,16,2
2021,"Barking and Dagenham 017","E02000018",3233,165,674,1686,621,53,7,25,2
2021,"Barking and Dagenham 018","E02000019",3206,193,815,1849,318,24,0,5,2
2021,"Barking and Dagenham 019","E02000020",4673,263,897,1648,1732,97,5,28,3
2021,"Barking and Dagenham 020","E02000021",2929,200,734,1406,438,100,4,43,4
2021,"Barking and Dagenham 021","E02000022",2796,27,94,182,2448,17,9,8,11
2021,"Barking and Dagenham 022","E02000023",2663,114,399,765,1336,29,1,17,2
2021,"Barnet 001","E02000024",4476,665,1436,848,1056,273,77,120,1
2021,"Barnet 002","E02000025",3744,397,1127,313,1563,303,12,28,1
2021,"Barnet 003","E02000026",2512,405,1165,321,476,122,17,6,0
2021,"Barnet 004","E02000027",3686,272,1321,939,1014,115,11,11,3
2021,"Barnet 005","E02000028",2692,213,1003,218,1022,143,38,54,1
2021,"Barnet 006","E02000029",3707,246,1021,774,1239,304,24,98,1
2021,"Barnet 007","E02000030",3520,1412,1151,420,346,53,8,13,117
2021,"Barnet 008","E02000031",3327,644,865,471,1151,100,31,64,1
2021,"Barnet 009","E02000032",2744,252,1771,557,111,28,0,23,2
2021,"Barnet 010","E02000033",3494,94,1162,1158,906,137,13,24,0
2021,"Barnet 011","E02000034",3586,324,1102,371,1400,322,20,45,2
2021,"Barnet 012","E02000035",3529,354,632,501,1691,297,24,29,1
2021,"Barnet 013","E02000036",3945,361,1896,389,1093,162,9,34,1
2021,"Barnet 014","E02000037",3717,919,1338,247,1140,58,5,9,1
2021,"Barnet 015","E02000038",4002,207,1130,766,1149,501,200,45,4
2021,"Barnet 016","E02000039",2674,812,623,257,628,238,24,91,1
2021,"Barnet 017","E02000040",3509,463,1006,457,1386,134,47,14,2
2021,"Barnet 018","E02000041",3324,331,1410,398,820,225,25,113,2
2021,"Barnet 019","E02000042",4718,113,879,736,2000,778,56,150,6
2021,"Barnet 020","E02000043",2666,255,1593,202,311,290,4,10,1
2021,"Barnet 021","E02000044",3070,301,723,1172,624,207,20,23,0
2021,"Barnet 022","E02000045",4202,185,860,942,1814,360,13,28,0
2021,"Barnet 023","E02000046",2879,89,690,411,799,785,24,80,1
2021,"Barnet 024","E02000047",4210,147,981,1304,1610,107,14,47,0
2021,"Barnet 025","E02000048",3949,356,1622,336,1308,285,14,27,1
2021,"Barnet 026","E02000049",3802,105,369,807,2451,58,7,5,0
2021,"Barnet 027","E02000050",4035,98,695,1189,1552,446,21,33,1
2021,"Barnet 028","E02000051",3794,561,634,168,1842,502,28,58,1
2021,"Barnet 029","E02000052",4189,69,450,1097,1814,644,21,89,5
2021,"Barnet 031","E02000054",2970,421,810,72,1168,476,13,8,2
2021,"Barnet 032","E02000055",4506,609,599,292,2152,700,32,120,2
2021,"Barnet 033","E02000056",3442,899,1110,148,1096,129,15,45,0
2021,"Barnet 034","E02000057",2705,462,670,299,930,297,14,33,0
2021,"Barnet 035","E02000058",4097,468,1255,706,1070,502,22,72,2
2021,"Barnet 036","E02000059",4436,181,803,901,2061,433,16,39,2
2021,"Barnet 037","E02000060",3695,412,1202,299,1020,707,31,23,1
2021,"Barnet 038","E02000061",3573,429,809,113,1402,647,30,140,3
2021,"Barnet 039","E02000062",2615,115,523,614,903,410,11,37,2
2021,"Barnet 040","E02000063",2834,158,1248,248,736,417,12,11,4
2021,"Barnet 041","E02000064",2761,135,312,335,1662,259,18,38,2
2021,"Bexley 001","E02000065",2775,139,510,1236,846,29,6,6,3
2021,"Bexley 002","E02000066",3546,210,415,1260,1630,20,5,4,2
2021,"Bexley 003","E02000067",3981,208,768,1101,1667,148,26,60,3
2021,"Bexley 004","E02000068",3196,131,536,945,1470,62,18,29,5
2021,"Bexley 005","E02000069",2812,321,797,713,830,115,25,10,1
2021,"Bexley 006","E02000070",3140,225,1762,594,461,43,33,21,1
