"date","geography","geography code","Number of cars or vans: Total: All households","Number of cars or vans: No cars or vans in household","Number of cars or vans: 1 car or van in household","Number of cars or vans: 2 cars or vans in household","Number of cars or vans: 3 or more cars or vans in household"
2021,"City of London 001","E02000001",4913,3793,954,123,43
2021,"Barking and Dagenham 001","E02000002",2870,914,1273,547,136
2021,"Barking and Dagenham 002","E02000003",3930,1156,1841,719,214
2021,"Barking and Dagenham 003","E02000004",2309,544,984,573,208
2021,"Barking and Dagenham 004","E02000005",3628,1016,1729,713,170
2021,"Barking and Dagenham 006","E02000007",3675,1375,1611,554,135
2021,"Barking and Dagenham 007","E02000008",4624,1509,2086,820,209
2021,"Barking and Dagenham 008","E02000009",4254,1456,1995,628,175
2021,"Barking and Dagenham 009","E02000010",3330,1111,1530,551,138
2021,"Barking and Dagenham 010","E02000011",2353,703,1087,447,116
2021,"Barking and Dagenham 011","E02000012",3290,769,1464,782,275
2021,"Barking and Dagenham 012","E02000013",3254,1112,1485,527,130
2021,"Barking and Dagenham 013","E02000014",3387,1167,1566,511,143
2021,"Barking and Dagenham 014","E02000015",3034,1184,1320,419,111
2021,"Barking and Dagenham 015","E02000016",3810,2310,1251,218,31
2021,"Barking and Dagenham 016","E02000017",2765,1124,1117,413,111
2021,"Barking and Dagenham 017","E02000018",3234,1138,1450,532,114
2021,"Barking and Dagenham 018","E02000019",3206,1001,1496,589,120
2021,"Barking and Dagenham 019","E02000020",4673,1637,2252,646,138
2021,"Barking and Dagenham 020","E02000021",2933,977,1352,478,126
2021,"Barking and Dagenham 021","E02000022",2799,1349,1198,212,40
2021,"Barking and Dagenham 022","E02000023",2663,999,1231,357,76
2021,"Barnet 001","E02000024",4477,1086,2169,938,284
2021,"Barnet 002","E02000025",3746,970,1835,715,226
2021,"Barnet 003","E02000026",2511,374,1231,648,258
2021,"Barnet 004","E02000027",3686,972,1733,766,215
2021,"Barnet 005","E02000028",2691,611,1272,604,204
2021,"Barnet 006","E02000029",3707,947,1747,802,211
2021,"Barnet 007","E02000030",3519,459,1344,1165,551
2021,"Barnet 008","E02000031",3327,711,1599,773,244
2021,"Barnet 009","E02000032",2743,377,1216,866,284
2021,"Barnet 010","E02000033",3494,883,1644,765,202
2021,"Barnet 011","E02000034",3589,957,1643,776,213
2021,"Barnet 012","E02000035",3528,1097,1634,650,147
2021,"Barnet 013","E02000036",3943,813,1802,1021,307
2021,"Barnet 014","E02000037",3717,629,1567,1178,343
2021,"Barnet 015","E02000038",4003,1039,1909,827,228
2021,"Barnet 016","E02000039",2674,489,1155,756,274
2021,"Barnet 017","E02000040",3509,776,1686,837,210
2021,"Barnet 018","E02000041",3325,984,1415,699,227
2021,"Barnet 019","E02000042",4716,1831,2125,638,122
2021,"Barnet 020","E02000043",2665,493,1288,697,187
2021,"Barnet 021","E02000044",3070,873,1385,650,162
2021,"Barnet 022","E02000045",4202,1447,2000,618,137
2021,"Barnet 023","E02000046",2879,1067,1337,405,70
2021,"Barnet 024","E02000047",4211,1512,1905,640,154
2021,"Barnet 025","E02000048",3950,759,1920,1015,256
2021,"Barnet 026","E02000049",3801,1466,1754,480,101
2021,"Barnet 027","E02000050",4034,1349,1910,630,145
2021,"Barnet 028","E02000051",3793,1101,1686,778,228
2021,"Barnet 029","E02000052",4191,1543,2086,480,82
2021,"Barnet 031","E02000054",2971,927,1330,531,183
2021,"Barnet 032","E02000055",4506,1841,1758,691,216
2021,"Barnet 033","E02000056",3442,666,1447,977,352
2021,"Barnet 034","E02000057",2706,859,1098,582,167
2021,"Barnet 035","E02000058",4099,1308,1841,778,172
2021,"Barnet 036","E02000059",4437,1766,1954,577,140
2021,"Barnet 037","E02000060",3695,1205,1439,859,192
2021,"Barnet 038","E02000061",3572,1487,1390,543,152
2021,"Barnet 039","E02000062",2615,1221,1027,307,60
2021,"Barnet 040","E02000063",2833,1041,1252,419,121
2021,"Barnet 041","E02000064",2762,1272,1091,315,84
2021,"Bexley 001","E02000065",2774,950,1240,455,129
2021,"Bexley 002","E02000066",3547,1414,1504,506,123
2021,"Bexley 003","E02000067",3983,1261,1918,615,189
2021,"Bexley 004","E02000068",3196,1166,1403,478,149
2021,"Bexley 005","E02000069",2812,715,1277,612,208
2021,"Bexley 006","E02000070",3140,588,1411,799,342
2021,"Bexley 007","E02000071",2834,611,1252,680,291
2021,"Bexley 008","E02000072",4688,1402,2121,926,239
2021,"Bexley 009","E02000073",3958,586,1688,1211,473
2021,"Bexley 010","E02000074",3503,928,1606,744,225
2021,"Bexley 011","E02000075",3149,505,1401,891,352
2021,"Bexley 013","E02000077",2936,567,1369,701,299
2021,"Bexley 014","E02000078",3020,470,1327,885,338
2021,"Bexley 015","E02000079",3586,989,1633,743,221
2021,"Bexley 016","E02000080",3815,792,1735,959,329
2021,"Bexley 017","E02000081",3279,705,1517,772,285
2021,"Bexley 018","E02000082",3443,538,1512,988,405
2021,"Bexley 019","E02000083",4444,958,2114,1046,326
2021,"Bexley 020","E02000084",4198,590,1854,1250,504
2021,"Bexley 021","E02000085",3075,498,1401,857,319
2021,"Bexley 022","E02000086",2788,351,1238,855,344
2021,"Bexley 023","E02000087",3320,512,1466,963,379
2021,"Bexley 024","E02000088",2980,394,1366,873,347
2021,"Bexley 025","E02000089",2904,379,1359,874,292
2021,"Bexley 026","E02000090",4193,1120,2064,759,250
2021,"Bexley 027","E02000091",4448,1103,2015,989,341
2021,"Bexley 028","E02000092",2714,656,1214,642,202
2021,"Brent 001","E02000093",3740,928,1649,867,296
2021,"Brent 002","E02000094",3469,1021,1518,700,230
2021,"Brent 003","E02000095",3184,835,1381,730,238
2021,"Brent 004","E02000096",2500,486,1027,733,254
2021,"Brent 005","E02000097",3038,761,1334,677,266
2021,"Brent 006","E02000098",2875,857,1224,601,193
2021,"Brent 007","E02000099",2917,842,1345,552,178
2021,"Brent 008","E02000100",2567,554,1019,676,318
2021,"Brent 009","E02000101",3386,1307,1366,538,175
2021,"Brent 010","E02000102",2685,1008,1142,408,127
2021,"Brent 011","E02000103",3462,1334,1555,445,128
2021,"Brent 012","E02000104",2418,774,1008,438,198
2021,"Brent 013","E02000105",3108,1120,1295,510,183
2021,"Brent 014","E02000106",3586,1665,1376,413,132
2021,"Brent 015","E02000107",4363,2464,1438,368,93
2021,"Brent 016","E02000108",2273,703,1010,438,122
2021,"Brent 018","E02000110",3094,1416,1271,324,83
2021,"Brent 019","E02000111",3190,1287,1294,463,146
2021,"Brent 020","E02000112",3496,1690,1268,410,128
2021,"Brent 021","E02000113",3289,1528,1262,401,98
2021,"Brent 022","E02000114",3707,2217,1178,238,74
2021,"Brent 023","E02000115",3876,2181,1360,267,68
2021,"Brent 024","E02000116",3237,1890,1120,190,37
2021,"Brent 025","E02000117",4759,2639,1725,330,65
2021,"Brent 026","E02000118",3157,1290,1245,486,136
2021,"Brent 027","E02000119",3952,1984,1632,288,48
2021,"Brent 028","E02000120",4242,2636,1399,181,26
2021,"Brent 029","E02000121",3626,1595,1443,457,131
2021,"Brent 030","E02000122",3157,1203,1355,470,129
2021,"Brent 031","E02000123",5539,3363,1783,328,65
2021,"Brent 032","E02000124",4163,2082,1688,325,68
2021,"Brent 033","E02000125",3942,1747,1727,386,82
2021,"Brent 034","E02000126",3406,2114,1121,152,19
2021,"Bromley 001","E02000127",3786,1196,1781,629,180
2021,"Bromley 002","E02000128",3063,498,1524,810,231
2021,"Bromley 004","E02000130",3665,1331,1785,447,102
2021,"Bromley 005","E02000131",5071,2400,2253,340,78
2021,"Bromley 006","E02000132",4942,1677,2594,566,105
2021,"Bromley 007","E02000133",4326,485,2009,1319,513
2021,"Bromley 008","E02000134",5300,1757,2623,735,185
2021,"Bromley 009","E02000135",4444,2231,1759,380,74
2021,"Bromley 010","E02000136",2295,440,939,628,288
2021,"Bromley 011","E02000137",3674,781,1894,774,225
2021,"Bromley 012","E02000138",4140,1044,2116,770,210
2021,"Bromley 013","E02000139",3308,916,1760,501,131
