"date","geography","geography code","Type of central heating in household: Total: All households","Type of central heating in household: No central heating","Type of central heating in household: Mains gas only","Type of central heating in household: Tank or bottled gas only","Type of central heating in household: Electric only","Type of central heating in household: Oil only","Type of central heating in household: Wood only","Type of central heating in household: Solid fuel only","Type of central heating in household: Renewable energy only","Type of central heating in household: District or communal heat networks only","Type of central heating in household: Other central heating only","Type of central heating in household: Two or more types of central heating (not including renewable energy)","Type of central heating in household: Two or more types of central heating (including renewable energy)"
2021,"City of London 001","E02000001",4915,184,1323,29,1937,15,1,0,9,915,145,348,9
2021,"Barking and Dagenham 001","E02000002",2871,63,2116,15,317,1,0,0,3,42,49,252,13
2021,"Barking and Dagenham 002","E02000003",3930,89,2981,14,416,4,1,0,6,20,78,310,11
2021,"Barking and Dagenham 003","E02000004",2308,23,1958,21,82,2,0,0,0,6,31,181,4
2021,"Barking and Dagenham 004","E02000005",3627,69,2887,19,221,0,0,0,1,23,65,316,26
2021,"Barking and Dagenham 006","E02000007",3675,72,2223,24,825,2,0,0,8,119,77,308,17
2021,"Barking and Dagenham 007","E02000008",4624,83,3617,35,297,5,0,0,1,63,92,426,5
2021,"Barking and Dagenham 008","E02000009",4254,76,2705,13,647,1,7,1,24,292,137,344,7
2021,"Barking and Dagenham 009","E02000010",3329,59,2664,22,197,0,0,3,0,17,74,289,4
2021,"Barking and Dagenham 010","E02000011",2357,68,1740,11,249,0,0,3,3,7,49,222,5
2021,"Barking and Dagenham 011","E02000012",3289,62,2641,16,222,4,0,1,2,14,53,265,9
2021,"Barking and Dagenham 012","E02000013",3256,61,2660,22,134,5,0,0,1,7,74,286,6
2021,"Barking and Dagenham 013","E02000014",3389,80,2691,21,200,3,0,1,3,28,56,302,4
2021,"Barking and Dagenham 014","E02000015",3034,71,2013,24,449,2,0,0,7,119,73,258,18
2021,"Barking and Dagenham 015","E02000016",3811,125,1551,25,1386,13,7,1,15,219,141,312,16
2021,"Barking and Dagenham 016","E02000017",2764,77,2005,21,342,3,0,0,1,6,58,244,7
2021,"Barking and Dagenham 017","E02000018",3233,59,2568,23,216,0,0,0,4,22,52,281,8
2021,"Barking and Dagenham 018","E02000019",3207,60,2442,27,220,1,0,0,3,74,82,288,10
2021,"Barking and Dagenham 019","E02000020",4673,120,3130,44,544,4,0,1,37,188,91,479,35
2021,"Barking and Dagenham 020","E02000021",2931,79,2075,25,378,1,0,3,0,20,76,268,6
2021,"Barking and Dagenham 021","E02000022",2796,67,1303,19,837,5,3,0,16,223,84,218,21
2021,"Barking and Dagenham 022","E02000023",2666,74,1488,16,697,2,0,0,10,69,57,229,24
2021,"Barnet 001","E02000024",4477,68,3682,11,344,5,0,0,12,17,32,287,19
2021,"Barnet 002","E02000025",3746,75,2883,23,407,6,0,1,2,55,46,243,5
2021,"Barnet 003","E02000026",2515,42,2087,6,199,1,0,0,1,6,16,143,14
2021,"Barnet 004","E02000027",3685,59,2957,27,285,0,2,0,6,21,40,269,19
2021,"Barnet 005","E02000028",2692,54,1934,4,492,2,0,1,4,11,27,156,7
2021,"Barnet 006","E02000029",3710,76,2785,13,461,2,0,2,6,23,40,285,17
2021,"Barnet 007","E02000030",3519,30,2957,7,148,15,0,1,9,5,26,295,26
2021,"Barnet 008","E02000031",3325,42,2584,12,298,1,1,1,3,113,34,207,29
2021,"Barnet 009","E02000032",2745,30,2406,5,96,0,0,0,1,1,18,182,6
2021,"Barnet 010","E02000033",3493,66,2715,10,374,1,0,0,11,16,34,259,7
2021,"Barnet 011","E02000034",3591,53,2828,19,317,1,1,0,13,37,37,276,9
2021,"Barnet 012","E02000035",3525,85,2641,18,410,1,0,0,6,35,60,257,12
2021,"Barnet 013","E02000036",3943,55,3147,21,354,1,0,0,1,15,50,288,11
2021,"Barnet 014","E02000037",3717,33,2508,16,552,2,0,0,7,301,45,239,14
2021,"Barnet 015","E02000038",4005,61,3168,19,337,0,0,1,5,4,43,359,8
2021,"Barnet 016","E02000039",2674,34,2116,8,238,3,1,0,3,10,44,205,12
2021,"Barnet 017","E02000040",3511,43,2537,28,323,1,0,1,11,176,68,288,35
2021,"Barnet 018","E02000041",3325,56,2556,27,383,1,0,0,0,8,47,236,11
2021,"Barnet 019","E02000042",4717,103,3409,28,692,0,0,0,4,48,83,345,5
2021,"Barnet 020","E02000043",2666,23,2277,23,99,5,0,0,2,1,17,212,7
2021,"Barnet 021","E02000044",3068,58,2362,34,264,4,0,0,3,7,59,272,5
2021,"Barnet 022","E02000045",4201,77,3235,42,392,2,1,0,1,24,54,364,9
2021,"Barnet 023","E02000046",2880,60,2254,14,300,2,0,1,2,16,32,193,6
