"date","geography","geography code","Position in communal establishment and sex and age: Total: All usual residents in communal establishments","Position in communal establishment and sex and age: Resident","Position in communal establishment and sex and age: Resident:Male","Position in communal establishment and sex and age: Resident: Male: Aged 0 to 15 years","Position in communal establishment and sex and age: Resident: Male: Aged 16 to 24 years","Position in communal establishment and sex and age: Resident: Male: Aged 25 to 34 years","Position in communal establishment and sex and age: Resident: Male: Aged 35 to 49 years","Position in communal establishment and sex and age: Resident: Male: Aged 50 to 64 years","Position in communal establishment and sex and age: Resident: Male: Aged 65 to 74 years","Position in communal establishment and sex and age: Resident: Male: Aged 75 to 84 years","Position in communal establishment and sex and age: Resident: Male: Aged 85 years and over","Position in communal establishment and sex and age: Resident:Female","Position in communal establishment and sex and age: Resident: Female: Aged 0 to 15 years","Position in communal establishment and sex and age: Resident: Female: Aged 16 to 24 years","Position in communal establishment and sex and age: Resident: Female: Aged 25 to 34 years","Position in communal establishment and sex and age: Resident: Female: Aged 35 to 49 years","Position in communal establishment and sex and age: Resident: Female: Aged 50 to 64 years","Position in communal establishment and sex and age: Resident: Female: Aged 65 to 74 years","Position in communal establishment and sex and age: Resident: Female: Aged 75 to 84 years","Position in communal establishment and sex and age: Resident: Female: Aged 85 years and over","Position in communal establishment and sex and age: Staff or owner","Position in communal establishment and sex and age: Family member or partner of staff or owner","Position in communal establishment and sex and age: Staying temporarily (no usual UK address)"
2021,"City of London 001","E02000001",209,182,137,24,24,17,36,26,8,2,0,45,0,24,5,8,6,2,0,0,4,4,19
2021,"Barking and Dagenham 001","E02000002",46,44,15,0,0,0,0,0,0,10,5,29,0,0,0,0,0,5,8,16,0,0,2
2021,"Barking and Dagenham 002","E02000003",24,24,15,0,10,0,0,5,0,0,0,9,0,0,0,5,4,0,0,0,0,0,0
2021,"Barking and Dagenham 003","E02000004",172,162,92,0,21,38,3,8,5,7,10,70,0,7,6,0,3,10,11,33,0,0,10
2021,"Barking and Dagenham 004","E02000005",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2021,"Barking and Dagenham 006","E02000007",107,74,24,1,0,0,1,3,6,5,8,50,2,1,4,1,2,5,8,27,0,2,31
2021,"Barking and Dagenham 007","E02000008",10,10,6,0,0,3,1,2,0,0,0,4,0,0,0,0,2,1,1,0,0,0,0
2021,"Barking and Dagenham 008","E02000009",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barking and Dagenham 009","E02000010",1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barking and Dagenham 010","E02000011",101,101,47,0,0,0,1,8,4,22,12,54,0,0,0,0,4,4,15,31,0,0,0
2021,"Barking and Dagenham 011","E02000012",8,8,4,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0
2021,"Barking and Dagenham 012","E02000013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,"Barking and Dagenham 013","E02000014",48,48,21,0,3,0,0,0,4,8,6,27,0,0,0,0,0,3,7,17,0,0,0
