"date","geography","geography code","Number of rooms (VOA): Total: All households","Number of rooms (VOA): 1 room","Number of rooms (VOA): 2 rooms","Number of rooms (VOA): 3 rooms","Number of rooms (VOA): 4 rooms","Number of rooms (VOA): 5 rooms","Number of rooms (VOA): 6 rooms","Number of rooms (VOA): 7 rooms","Number of rooms (VOA): 8 rooms","Number of rooms (VOA): 9 or more rooms"
2021,"City of London 001","E02000001",4912,591,1790,1624,428,278,135,18,18,30
2021,"Barking and Dagenham 001","E02000002",2871,7,372,1031,992,399,51,13,5,1
2021,"Barking and Dagenham 002","E02000003",3930,44,393,927,750,1638,122,38,11,7
2021,"Barking and Dagenham 003","E02000004",2309,0,138,466,516,1064,87,24,7,7
2021,"Barking and Dagenham 004","E02000005",3628,4,276,1065,1181,977,105,12,4,4
2021,"Barking and Dagenham 006","E02000007",3675,16,630,1110,1241,619,44,9,4,2
2021,"Barking and Dagenham 007","E02000008",4625,9,516,1627,1903,488,68,7,4,3
2021,"Barking and Dagenham 008","E02000009",4254,21,576,1539,1458,533,106,11,6,4
2021,"Barking and Dagenham 009","E02000010",3327,46,231,1361,1262,372,43,7,3,2
2021,"Barking and Dagenham 010","E02000011",2354,48,184,516,581,952,54,9,6,4
2021,"Barking and Dagenham 011","E02000012",3291,26,272,527,342,1806,206,57,34,21
2021,"Barking and Dagenham 012","E02000013",3254,6,283,1281,1219,418,37,7,1,2
2021,"Barking and Dagenham 013","E02000014",3385,16,224,1130,1544,428,30,8,4,1
2021,"Barking and Dagenham 014","E02000015",3033,33,791,897,629,620,45,8,7,3
2021,"Barking and Dagenham 015","E02000016",3811,81,1313,1316,755,289,45,7,2,3
2021,"Barking and Dagenham 016","E02000017",2764,11,471,371,487,1205,159,26,24,10
2021,"Barking and Dagenham 017","E02000018",3232,2,335,1310,1213,327,33,6,5,1
2021,"Barking and Dagenham 018","E02000019",3206,6,149,1352,1293,309,69,25,1,2
2021,"Barking and Dagenham 019","E02000020",4674,20,735,1526,1171,1110,88,11,8,5
2021,"Barking and Dagenham 020","E02000021",2931,10,362,511,1436,573,21,12,2,4
2021,"Barking and Dagenham 021","E02000022",2796,26,820,1329,514,92,12,0,1,2
2021,"Barking and Dagenham 022","E02000023",2663,49,585,757,793,420,50,3,3,3
2021,"Barnet 001","E02000024",4477,89,577,954,703,1310,476,197,83,88
2021,"Barnet 002","E02000025",3745,144,570,1317,483,805,271,102,34,19
2021,"Barnet 003","E02000026",2510,34,205,490,400,922,265,129,27,38
2021,"Barnet 004","E02000027",3686,42,450,963,806,1144,208,50,14,9
2021,"Barnet 005","E02000028",2692,50,290,843,252,807,291,105,32,22
2021,"Barnet 006","E02000029",3712,95,482,1124,613,1073,196,74,17,38
2021,"Barnet 007","E02000030",3520,14,191,632,529,928,459,277,197,293
2021,"Barnet 008","E02000031",3325,46,383,769,466,881,373,225,92,90
2021,"Barnet 009","E02000032",2746,7,97,104,140,1969,315,70,24,20
2021,"Barnet 010","E02000033",3494,29,350,943,763,1161,173,44,21,10
2021,"Barnet 011","E02000034",3588,55,532,1165,404,816,400,135,54,27
2021,"Barnet 012","E02000035",3529,190,470,1194,503,716,269,88,59,40
2021,"Barnet 013","E02000036",3946,40,401,995,601,1407,323,98,47,34
2021,"Barnet 014","E02000037",3718,23,326,761,443,1157,568,266,112,62
2021,"Barnet 015","E02000038",3999,87,497,1117,469,1332,362,87,31,17
2021,"Barnet 016","E02000039",2674,38,230,597,270,712,365,216,137,109
2021,"Barnet 017","E02000040",3509,18,564,942,694,801,274,98,58,60
2021,"Barnet 018","E02000041",3325,77,342,835,520,1048,271,146,55,31
2021,"Barnet 019","E02000042",4717,314,959,1516,538,858,388,78,32,34
2021,"Barnet 020","E02000043",2663,33,131,379,142,1312,424,139,69,34
2021,"Barnet 021","E02000044",3070,81,291,903,999,518,182,62,25,9
2021,"Barnet 022","E02000045",4202,99,671,1420,999,646,251,81,21,14
2021,"Barnet 023","E02000046",2882,176,446,921,210,627,300,106,66,30
2021,"Barnet 024","E02000047",4210,85,640,1517,1163,683,86,26,7,3
2021,"Barnet 025","E02000048",3951,72,292,1206,585,1039,397,178,102,80
2021,"Barnet 026","E02000049",3802,79,825,1602,810,420,42,13,5,6
2021,"Barnet 027","E02000050",4032,102,628,1172,558,993,420,120,21,18
2021,"Barnet 028","E02000051",3792,182,476,1339,432,293,517,249,172,132
2021,"Barnet 029","E02000052",4191,155,736,1254,808,806,301,86,28,17
2021,"Barnet 031","E02000054",2968,147,562,832,309,595,251,121,96,55
2021,"Barnet 032","E02000055",4506,347,639,1471,553,635,401,238,111,111
2021,"Barnet 033","E02000056",3442,23,199,758,316,552,677,327,248,342
2021,"Barnet 034","E02000057",2705,204,241,614,390,723,253,153,81,46
2021,"Barnet 035","E02000058",4097,251,370,805,731,754,524,320,182,160
2021,"Barnet 036","E02000059",4437,314,847,1470,623,900,164,80,17,22
2021,"Barnet 037","E02000060",3695,286,469,639,362,689,515,406,173,156
2021,"Barnet 038","E02000061",3573,350,568,893,379,285,402,273,196,227
2021,"Barnet 039","E02000062",2615,138,420,824,556,525,88,40,10,14
2021,"Barnet 040","E02000063",2833,180,389,535,363,1076,180,55,23,32
2021,"Barnet 041","E02000064",2762,92,449,1051,470,327,158,92,51,72
2021,"Bexley 001","E02000065",2775,29,446,834,526,620,268,28,21,3
2021,"Bexley 002","E02000066",3548,11,869,1182,572,509,372,24,8,1
2021,"Bexley 003","E02000067",3981,38,589,1255,872,880,270,54,15,8
2021,"Bexley 004","E02000068",3196,53,502,1209,516,741,127,34,5,9
2021,"Bexley 005","E02000069",2812,27,274,754,563,836,264,63,23,8
2021,"Bexley 006","E02000070",3138,19,155,541,667,1460,218,58,11,9
2021,"Bexley 007","E02000071",2834,13,120,391,592,1417,221,61,13,6
2021,"Bexley 008","E02000072",4688,48,674,1194,1280,1289,165,26,6,6
2021,"Bexley 009","E02000073",3958,2,76,249,763,2416,291,123,27,11
2021,"Bexley 010","E02000074",3504,29,660,1013,713,933,125,23,7,1
2021,"Bexley 011","E02000075",3149,14,43,521,697,1504,220,117,24,9
2021,"Bexley 013","E02000077",2939,3,192,234,405,1868,167,55,13,2
2021,"Bexley 014","E02000078",3018,8,81,656,578,1369,223,86,12,5
2021,"Bexley 015","E02000079",3586,19,338,877,573,1294,324,119,29,13
2021,"Bexley 016","E02000080",3815,25,196,800,643,1708,274,139,20,10
2021,"Bexley 017","E02000081",3279,22,276,575,552,1575,183,75,14,7
2021,"Bexley 018","E02000082",3440,17,78,283,775,1883,246,130,23,5
2021,"Bexley 019","E02000083",4442,40,467,886,1187,1553,205,56,41,7
2021,"Bexley 020","E02000084",4197,8,139,575,849,1769,584,195,49,29
2021,"Bexley 021","E02000085",3070,6,90,724,878,1003,195,154,16,4
2021,"Bexley 022","E02000086",2788,12,119,447,609,1088,254,200,52,7
2021,"Bexley 023","E02000087",3320,8,175,648,605,1135,447,196,68,38
2021,"Bexley 024","E02000088",2980,0,55,418,846,1200,268,156,34,3
2021,"Bexley 025","E02000089",2906,10,58,266,664,1446,275,159,23,5
2021,"Bexley 026","E02000090",4194,25,719,1333,636,920,266,173,70,52
2021,"Bexley 027","E02000091",4449,66,675,1113,640,1242,358,225,70,60
2021,"Bexley 028","E02000092",2714,23,274,773,624,823,130,46,15,6
2021,"Brent 001","E02000093",3742,34,284,727,421,1984,194,57,26,15
2021,"Brent 002","E02000094",3467,50,459,871,342,1528,153,38,16,10
2021,"Brent 003","E02000095",3184,19,301,586,218,1683,262,75,28,12
2021,"Brent 004","E02000096",2497,18,205,335,124,1009,528,194,62,22
2021,"Brent 005","E02000097",3037,15,278,494,421,1577,167,50,17,18
2021,"Brent 006","E02000098",2879,33,276,699,294,1083,323,102,38,31
2021,"Brent 007","E02000099",2917,25,339,726,303,1260,198,45,15,6
2021,"Brent 008","E02000100",2567,28,179,225,183,1282,395,176,71,28
2021,"Brent 009","E02000101",3385,44,611,1293,378,584,294,101,49,31
2021,"Brent 010","E02000102",2685,151,492,483,839,598,73,28,13,8
2021,"Brent 011","E02000103",3462,47,564,1151,580,781,213,73,29,24
2021,"Brent 012","E02000104",2415,66,335,531,262,803,232,118,37,31
2021,"Brent 013","E02000105",3108,76,480,976,438,806,228,59,26,19
2021,"Brent 014","E02000106",3586,153,567,1026,589,874,211,98,36,32
2021,"Brent 015","E02000107",4364,378,1019,1354,528,286,361,234,98,106
2021,"Brent 016","E02000108",2273,61,321,537,337,829,127,36,16,9
2021,"Brent 018","E02000110",3096,152,488,682,413,908,263,105,51,34
2021,"Brent 019","E02000111",3190,61,400,1124,470,838,181,73,23,20
