"date","geography","geography code","Occupancy rating for bedrooms: Total: All households","Occupancy rating for bedrooms: Occupancy rating of bedrooms: +2 or more","Occupancy rating for bedrooms: Occupancy rating of bedrooms: +1","Occupancy rating for bedrooms: Occupancy rating of bedrooms: 0","Occupancy rating for bedrooms: Occupancy rating of bedrooms: -1","Occupancy rating for bedrooms: Occupancy rating of bedrooms: -2 or less"
2021,"City of London 001","E02000001",4914,390,1158,3133,207,26
2021,"Barking and Dagenham 001","E02000002",2871,402,841,1159,401,68
2021,"Barking and Dagenham 002","E02000003",3930,887,1115,1353,436,139
2021,"Barking and Dagenham 003","E02000004",2308,681,725,710,152,40
2021,"Barking and Dagenham 004","E02000005",3626,565,1098,1391,471,101
2021,"Barking and Dagenham 006","E02000007",3675,530,904,1655,483,103
2021,"Barking and Dagenham 007","E02000008",4624,537,1270,2057,631,129
2021,"Barking and Dagenham 008","E02000009",4254,493,1119,1857,610,175
2021,"Barking and Dagenham 009","E02000010",3326,399,1004,1380,445,98
2021,"Barking and Dagenham 010","E02000011",2353,558,663,791,281,60
2021,"Barking and Dagenham 011","E02000012",3287,949,741,1032,392,173
2021,"Barking and Dagenham 012","E02000013",3254,443,927,1368,424,92
2021,"Barking and Dagenham 013","E02000014",3388,425,983,1426,439,115
2021,"Barking and Dagenham 014","E02000015",3033,367,632,1471,467,96
2021,"Barking and Dagenham 015","E02000016",3811,202,637,2017,814,141
2021,"Barking and Dagenham 016","E02000017",2766,553,610,985,471,147
2021,"Barking and Dagenham 017","E02000018",3234,364,860,1418,492,100
2021,"Barking and Dagenham 018","E02000019",3206,405,980,1272,465,84
2021,"Barking and Dagenham 019","E02000020",4671,563,1209,2027,685,187
2021,"Barking and Dagenham 020","E02000021",2929,525,779,1130,414,81
2021,"Barking and Dagenham 021","E02000022",2796,98,531,1436,607,124
2021,"Barking and Dagenham 022","E02000023",2663,282,537,1274,462,108
2021,"Barnet 001","E02000024",4478,1703,1322,1247,180,26
2021,"Barnet 002","E02000025",3745,1002,1127,1367,217,32
2021,"Barnet 003","E02000026",2511,979,793,632,93,14
2021,"Barnet 004","E02000027",3690,969,1114,1310,251,46
2021,"Barnet 005","E02000028",2692,947,804,763,153,25
2021,"Barnet 006","E02000029",3706,957,1105,1355,252,37
2021,"Barnet 007","E02000030",3519,1758,962,650,127,22
2021,"Barnet 008","E02000031",3327,1330,1013,839,130,15
2021,"Barnet 009","E02000032",2744,1350,821,476,85,12
2021,"Barnet 010","E02000033",3494,984,1137,1109,227,37
2021,"Barnet 011","E02000034",3588,1086,961,1229,267,45
2021,"Barnet 012","E02000035",3531,927,1032,1305,225,42
2021,"Barnet 013","E02000036",3944,1179,1109,1252,320,84
2021,"Barnet 014","E02000037",3717,1500,958,954,260,45
2021,"Barnet 015","E02000038",4004,1126,1180,1359,289,50
2021,"Barnet 016","E02000039",2673,1194,710,575,157,37
2021,"Barnet 017","E02000040",3509,992,1145,1144,201,27
2021,"Barnet 018","E02000041",3325,1014,845,1016,372,78
2021,"Barnet 019","E02000042",4717,1005,1230,1981,409,92
2021,"Barnet 020","E02000043",2667,1329,731,499,83,25
2021,"Barnet 021","E02000044",3069,627,827,1127,377,111
2021,"Barnet 022","E02000045",4202,804,1196,1734,414,54
2021,"Barnet 023","E02000046",2879,802,790,1052,204,31
2021,"Barnet 024","E02000047",4209,513,982,1839,695,180
2021,"Barnet 025","E02000048",3951,1407,1221,1088,197,38
2021,"Barnet 026","E02000049",3801,320,864,1881,590,146
2021,"Barnet 027","E02000050",4034,1061,1063,1502,325,83
2021,"Barnet 028","E02000051",3793,1242,1135,1129,249,38
2021,"Barnet 029","E02000052",4191,1043,1255,1610,246,37
2021,"Barnet 031","E02000054",2971,771,713,1145,298,44
