"date","geography","geography code","Occupancy rating for rooms: Total: All households","Occupancy rating for rooms: Occupancy rating of rooms: +2 or more","Occupancy rating for rooms: Occupancy rating of rooms: +1","Occupancy rating for rooms: Occupancy rating of rooms: 0","Occupancy rating for rooms: Occupancy rating of rooms: -1","Occupancy rating for rooms: Occupancy rating of rooms: -2 or less"
2021,"City of London 001","E02000001",4914,623,1231,2229,780,51
2021,"Barking and Dagenham 001","E02000002",2870,546,697,1015,486,126
2021,"Barking and Dagenham 002","E02000003",3930,1335,950,1048,427,170
2021,"Barking and Dagenham 003","E02000004",2309,979,623,483,180,44
2021,"Barking and Dagenham 004","E02000005",3628,941,1028,1071,433,155
2021,"Barking and Dagenham 006","E02000007",3675,753,863,1364,524,171
2021,"Barking and Dagenham 007","E02000008",4625,845,1252,1654,644,230
2021,"Barking and Dagenham 008","E02000009",4254,652,1063,1607,638,294
2021,"Barking and Dagenham 009","E02000010",3327,608,931,1085,550,153
2021,"Barking and Dagenham 010","E02000011",2354,800,585,548,316,105
2021,"Barking and Dagenham 011","E02000012",3289,1155,672,853,391,218
2021,"Barking and Dagenham 012","E02000013",3253,592,891,1128,479,163
2021,"Barking and Dagenham 013","E02000014",3388,709,963,1087,459,170
2021,"Barking and Dagenham 014","E02000015",3033,537,574,1255,501,166
2021,"Barking and Dagenham 015","E02000016",3811,258,702,1724,871,256
2021,"Barking and Dagenham 016","E02000017",2765,851,564,719,435,196
2021,"Barking and Dagenham 017","E02000018",3236,479,849,1222,510,176
2021,"Barking and Dagenham 018","E02000019",3206,543,933,1097,499,134
2021,"Barking and Dagenham 019","E02000020",4673,875,1166,1676,713,243
2021,"Barking and Dagenham 020","E02000021",2930,762,699,929,431,109
2021,"Barking and Dagenham 021","E02000022",2795,128,520,1300,616,231
2021,"Barking and Dagenham 022","E02000023",2662,362,524,1087,537,152
2021,"Barnet 001","E02000024",4477,2146,1007,988,283,53
2021,"Barnet 002","E02000025",3747,1217,1023,1069,358,80
2021,"Barnet 003","E02000026",2512,1285,612,431,152,32
2021,"Barnet 004","E02000027",3685,1314,870,1099,322,80
2021,"Barnet 005","E02000028",2691,1148,709,596,195,43
2021,"Barnet 006","E02000029",3707,1303,904,1033,394,73
2021,"Barnet 007","E02000030",3519,2096,681,545,155,42
2021,"Barnet 008","E02000031",3327,1607,845,666,190,19
2021,"Barnet 009","E02000032",2744,1798,573,278,79,16
2021,"Barnet 010","E02000033",3494,1363,936,861,267,67
2021,"Barnet 011","E02000034",3588,1277,848,1038,344,81
2021,"Barnet 012","E02000035",3528,1184,932,939,410,63
2021,"Barnet 013","E02000036",3942,1546,922,983,389,102
2021,"Barnet 014","E02000037",3717,1760,822,802,258,75
2021,"Barnet 015","E02000038",4003,1498,1025,992,400,88
2021,"Barnet 016","E02000039",2673,1414,564,454,195,46
2021,"Barnet 017","E02000040",3509,1281,913,998,250,67
2021,"Barnet 018","E02000041",3325,1294,692,788,412,139
2021,"Barnet 019","E02000042",4719,1262,1097,1460,751,149
2021,"Barnet 020","E02000043",2666,1651,515,332,137,31
2021,"Barnet 021","E02000044",3070,836,753,820,473,188
2021,"Barnet 022","E02000045",4202,1076,1096,1389,538,103
2021,"Barnet 023","E02000046",2879,1028,652,749,384,66
2021,"Barnet 024","E02000047",4210,754,910,1442,815,289
2021,"Barnet 025","E02000048",3950,1691,1068,835,288,68
2021,"Barnet 026","E02000049",3802,426,780,1610,730,256
2021,"Barnet 027","E02000050",4034,1388,898,1180,452,116
2021,"Barnet 028","E02000051",3793,1479,946,835,457,76
2021,"Barnet 029","E02000052",4188,1321,1069,1276,465,57
2021,"Barnet 031","E02000054",2971,953,603,871,435,109
2021,"Barnet 032","E02000055",4506,1356,950,1196,814,190
2021,"Barnet 033","E02000056",3442,2131,637,525,131,18
2021,"Barnet 034","E02000057",2706,961,627,608,414,96
2021,"Barnet 035","E02000058",4095,2036,798,757,430,74
2021,"Barnet 036","E02000059",4437,922,1021,1475,781,238
2021,"Barnet 037","E02000060",3695,1500,692,853,547,103
2021,"Barnet 038","E02000061",3573,1430,696,872,509,66
2021,"Barnet 039","E02000062",2615,585,549,882,467,132
2021,"Barnet 040","E02000063",2833,1016,577,719,443,78
2021,"Barnet 041","E02000064",2762,766,633,925,376,62
2021,"Bexley 001","E02000065",2774,703,605,904,425,137
2021,"Bexley 002","E02000066",3548,744,760,1366,507,171
2021,"Bexley 003","E02000067",3984,1129,1070,1295,399,91
2021,"Bexley 004","E02000068",3195,730,887,1117,383,78
2021,"Bexley 005","E02000069",2812,1095,815,670,203,29
2021,"Bexley 006","E02000070",3140,1648,823,498,142,29
2021,"Bexley 007","E02000071",2834,1496,737,445,126,30
2021,"Bexley 008","E02000072",4688,1257,1225,1550,515,141
2021,"Bexley 009","E02000073",3955,2620,847,375,95,18
2021,"Bexley 010","E02000074",3503,931,882,1324,318,48
2021,"Bexley 011","E02000075",3149,1872,802,355,105,15
2021,"Bexley 013","E02000077",2936,1664,701,444,104,23
2021,"Bexley 014","E02000078",3019,1606,851,434,105,23
2021,"Bexley 015","E02000079",3586,1700,962,755,144,25
2021,"Bexley 016","E02000080",3815,1905,980,686,210,34
2021,"Bexley 017","E02000081",3279,1666,860,611,116,26
2021,"Bexley 018","E02000082",3443,2089,829,375,123,27
2021,"Bexley 019","E02000083",4441,1872,1171,1080,281,37
2021,"Bexley 020","E02000084",4199,2536,1018,509,119,17
2021,"Bexley 021","E02000085",3073,1499,880,531,134,29
2021,"Bexley 022","E02000086",2788,1593,679,420,88,8
2021,"Bexley 023","E02000087",3320,1896,867,460,91,6
2021,"Bexley 024","E02000088",2980,1796,733,353,81,17
2021,"Bexley 025","E02000089",2904,1857,651,310,77,9
2021,"Bexley 026","E02000090",4194,1564,1145,1230,224,31
2021,"Bexley 027","E02000091",4448,1920,1147,1139,212,30
