"date","geography","geography code","Tenure of household: Total: All households","Tenure of household: Owned","Tenure of household: Owned: Owns outright","Tenure of household: Owned: Owns with a mortgage or loan","Tenure of household: Shared ownership","Tenure of household: Shared ownership: Shared ownership","Tenure of household: Social rented","Tenure of household: Social rented: Rents from council or Local Authority","Tenure of household: Social rented: Other social rented","Tenure of household: Private rented","Tenure of household: Private rented: Private landlord or letting agency","Tenure of household: Private rented: Other private rented","Tenure of household: Lives rent free"
2021,"City of London 001","E02000001",4914,1794,1114,680,12,12,730,449,281,2373,2064,309,5
2021,"Barking and Dagenham 001","E02000002",2870,1236,507,729,10,10,1199,921,278,417,380,37,8
2021,"Barking and Dagenham 002","E02000003",3930,2186,942,1244,24,24,522,409,113,1197,1110,87,1
2021,"Barking and Dagenham 003","E02000004",2309,1543,649,894,16,16,373,261,112,376,337,39,1
2021,"Barking and Dagenham 004","E02000005",3628,1882,582,1300,47,47,912,693,219,779,717,62,8
2021,"Barking and Dagenham 006","E02000007",3676,1453,474,979,60,60,1552,1421,131,602,555,47,9
2021,"Barking and Dagenham 007","E02000008",4625,2024,683,1341,45,45,1642,1443,199,903,838,65,11
2021,"Barking and Dagenham 008","E02000009",4254,1546,472,1074,79,79,1470,934,536,1154,1047,107,5
2021,"Barking and Dagenham 009","E02000010",3329,1445,484,961,49,49,1119,904,215,712,646,66,4
2021,"Barking and Dagenham 010","E02000011",2353,1309,584,725,14,14,351,239,112,679,607,72,0
2021,"Barking and Dagenham 011","E02000012",3288,2216,861,1355,10,10,402,324,78,660,594,66,0
2021,"Barking and Dagenham 012","E02000013",3255,1328,473,855,21,21,1206,1078,128,689,623,66,11
2021,"Barking and Dagenham 013","E02000014",3388,1407,502,905,18,18,1207,1012,195,751,682,69,5
2021,"Barking and Dagenham 014","E02000015",3032,936,375,561,67,67,1432,1066,366,593,537,56,4
2021,"Barking and Dagenham 015","E02000016",3810,726,216,510,178,178,1313,838,475,1582,1500,82,11
2021,"Barking and Dagenham 016","E02000017",2767,1286,579,707,12,12,296,177,119,1171,1093,78,2
2021,"Barking and Dagenham 017","E02000018",3232,1279,420,859,19,19,1221,983,238,706,643,63,7
2021,"Barking and Dagenham 018","E02000019",3208,1336,405,931,75,75,1142,923,219,652,600,52,3
2021,"Barking and Dagenham 019","E02000020",4676,1876,530,1346,178,178,1460,925,535,1135,1042,93,27
2021,"Barking and Dagenham 020","E02000021",2930,1387,550,837,29,29,610,437,173,896,832,64,8
2021,"Barking and Dagenham 021","E02000022",2797,483,111,372,202,202,1375,1118,257,729,669,60,8
2021,"Barking and Dagenham 022","E02000023",2663,797,194,603,48,48,1283,1087,196,530,482,48,5
2021,"Barnet 001","E02000024",4475,3023,1640,1383,37,37,337,107,230,1077,975,102,1
2021,"Barnet 002","E02000025",3745,2140,1061,1079,33,33,545,247,298,1025,956,69,2
2021,"Barnet 003","E02000026",2511,1796,961,835,21,21,145,88,57,549,493,56,0
2021,"Barnet 004","E02000027",3685,1970,908,1062,74,74,1067,662,405,570,534,36,4
2021,"Barnet 005","E02000028",2694,1723,871,852,9,9,146,67,79,811,754,57,5
2021,"Barnet 006","E02000029",3706,2099,930,1169,12,12,342,204,138,1251,1162,89,2
2021,"Barnet 007","E02000030",3519,2635,1417,1218,9,9,395,329,66,480,393,87,0
2021,"Barnet 008","E02000031",3327,2205,1078,1127,104,104,200,72,128,817,752,65,1
2021,"Barnet 009","E02000032",2744,2249,1154,1095,11,11,95,15,80,389,350,39,0
2021,"Barnet 010","E02000033",3494,2190,1087,1103,66,66,467,173,294,771,708,63,0
2021,"Barnet 011","E02000034",3588,2138,1044,1094,59,59,338,186,152,1052,978,74,1
2021,"Barnet 012","E02000035",3530,1781,971,810,20,20,357,176,181,1370,1272,98,2
2021,"Barnet 013","E02000036",3946,2376,1128,1248,40,40,499,242,257,1030,944,86,1
2021,"Barnet 014","E02000037",3717,2336,1133,1203,110,110,511,74,437,757,664,93,3
2021,"Barnet 015","E02000038",4005,2375,1112,1263,13,13,402,239,163,1211,1102,109,4
2021,"Barnet 016","E02000039",2671,1800,850,950,4,4,114,81,33,753,698,55,0
2021,"Barnet 017","E02000040",3510,2157,936,1221,70,70,622,228,394,659,578,81,2
2021,"Barnet 018","E02000041",3327,1753,937,816,20,20,363,228,135,1190,1105,85,1
2021,"Barnet 019","E02000042",4717,2228,1186,1042,14,14,321,176,145,2149,2041,108,5
2021,"Barnet 020","E02000043",2666,1867,985,882,9,9,59,29,30,730,696,34,1
2021,"Barnet 021","E02000044",3070,1346,576,770,48,48,845,588,257,828,757,71,3
2021,"Barnet 022","E02000045",4202,1985,905,1080,34,34,892,589,303,1281,1177,104,10
2021,"Barnet 023","E02000046",2879,1328,685,643,16,16,109,24,85,1426,1360,66,0
2021,"Barnet 024","E02000047",4210,1518,696,822,52,52,1307,930,377,1323,1230,93,10
2021,"Barnet 025","E02000048",3950,2528,1242,1286,10,10,209,58,151,1203,1101,102,0
2021,"Barnet 026","E02000049",3802,1021,278,743,144,144,1924,918,1006,698,616,82,15
2021,"Barnet 027","E02000050",4034,1915,938,977,46,46,1012,322,690,1047,976,71,14
2021,"Barnet 028","E02000051",3792,2085,1234,851,8,8,204,140,64,1494,1392,102,1
2021,"Barnet 029","E02000052",4192,2126,1069,1057,14,14,676,419,257,1370,1290,80,6
2021,"Barnet 031","E02000054",2971,1375,664,711,24,24,185,33,152,1387,1308,79,0
2021,"Barnet 032","E02000055",4503,1709,915,794,14,14,544,366,178,2234,2088,146,2
2021,"Barnet 033","E02000056",3441,2344,1289,1055,13,13,208,51,157,876,769,107,0
2021,"Barnet 034","E02000057",2705,1235,624,611,5,5,212,127,85,1252,1148,104,1
2021,"Barnet 035","E02000058",4097,2302,1349,953,10,10,239,85,154,1543,1446,97,3
2021,"Barnet 036","E02000059",4434,1925,875,1050,39,39,720,390,330,1746,1647,99,4
2021,"Barnet 037","E02000060",3696,1665,911,754,17,17,311,57,254,1702,1577,125,1
2021,"Barnet 038","E02000061",3573,1588,908,680,14,14,130,67,63,1837,1724,113,4
2021,"Barnet 039","E02000062",2614,796,416,380,30,30,716,390,326,1065,1008,57,7
2021,"Barnet 040","E02000063",2834,1257,700,557,23,23,223,100,123,1329,1241,88,2
2021,"Barnet 041","E02000064",2762,1114,527,587,27,27,685,506,179,930,867,63,6
2021,"Bexley 001","E02000065",2776,1182,375,807,15,15,802,209,593,759,709,50,18
2021,"Bexley 002","E02000066",3547,1105,536,569,11,11,1739,273,1466,680,611,69,12
2021,"Bexley 003","E02000067",3983,1978,791,1187,24,24,804,179,625,1172,1085,87,5
2021,"Bexley 004","E02000068",3194,1321,512,809,160,160,942,215,727,768,701,67,3
2021,"Bexley 005","E02000069",2811,1834,819,1015,83,83,405,78,327,487,420,67,2
2021,"Bexley 006","E02000070",3140,2425,1312,1113,40,40,253,46,207,422,361,61,0
2021,"Bexley 007","E02000071",2835,2000,973,1027,14,14,409,88,321,411,357,54,1
2021,"Bexley 008","E02000072",4688,2190,646,1544,109,109,1613,307,1306,770,721,49,6
2021,"Bexley 009","E02000073",3955,3441,1740,1701,19,19,163,26,137,332,273,59,0
2021,"Bexley 010","E02000074",3502,1678,685,993,136,136,1290,174,1116,394,359,35,4
2021,"Bexley 011","E02000075",3149,2664,1526,1138,7,7,180,22,158,298,264,34,0
2021,"Bexley 013","E02000077",2938,2236,1043,1193,16,16,305,46,259,379,336,43,2
2021,"Bexley 014","E02000078",3022,2526,1198,1328,21,21,162,44,118,312,276,36,1
2021,"Bexley 015","E02000079",3586,2560,1304,1256,80,80,205,42,163,739,671,68,2
2021,"Bexley 016","E02000080",3815,2915,1454,1461,53,53,241,34,207,606,543,63,0
2021,"Bexley 017","E02000081",3279,2384,1218,1166,21,21,465,79,386,409,364,45,0
2021,"Bexley 018","E02000082",3442,2962,1382,1580,16,16,80,17,63,384,325,59,0
2021,"Bexley 019","E02000083",4447,2835,1126,1709,79,79,801,164,637,730,648,82,2
2021,"Bexley 020","E02000084",4199,3525,1719,1806,22,22,181,26,155,470,407,63,1
