"date","geography","geography code","Second address type: Total: All usual residents","Second address type: Armed forces base address","Second address type: Another address when working away from home","Second address type: Holiday home","Second address type: Student's term-time address","Second address type: Student's home address","Second address type: Another parent or guardian's address","Second address type: Partner's address","Second address type: Other","Second address type: Second address type not specified"
2021,"City of London 001","E02000001",1642,0,108,326,1,220,392,188,407,0
2021,"Barking and Dagenham 001","E02000002",229,0,20,14,1,5,82,32,75,0
2021,"Barking and Dagenham 002","E02000003",501,1,28,71,3,10,96,142,150,0
2021,"Barking and Dagenham 003","E02000004",163,1,13,12,0,7,57,20,53,0
2021,"Barking and Dagenham 004","E02000005",355,3,31,65,2,9,92,51,102,0
2021,"Barking and Dagenham 006","E02000007",300,0,22,37,3,14,80,43,101,0
2021,"Barking and Dagenham 007","E02000008",319,4,18,35,4,12,82,47,117,0
2021,"Barking and Dagenham 008","E02000009",432,1,41,57,9,12,117,52,143,0
2021,"Barking and Dagenham 009","E02000010",241,0,15,26,3,2,86,34,75,0
2021,"Barking and Dagenham 010","E02000011",222,1,13,48,2,14,49,25,70,0
2021,"Barking and Dagenham 011","E02000012",361,1,27,63,1,12,99,43,115,0
2021,"Barking and Dagenham 012","E02000013",279,1,24,48,5,9,56,49,87,0
2021,"Barking and Dagenham 013","E02000014",276,1,30,39,1,10,78,33,84,0
2021,"Barking and Dagenham 014","E02000015",238,1,23,26,4,4,65,34,81,0
2021,"Barking and Dagenham 015","E02000016",364,0,33,36,4,11,108,61,111,0
2021,"Barking and Dagenham 016","E02000017",316,0,26,44,1,8,86,38,113,0
2021,"Barking and Dagenham 017","E02000018",260,1,9,36,1,13,89,42,69,0
2021,"Barking and Dagenham 018","E02000019",293,1,18,37,1,11,95,39,91,0
2021,"Barking and Dagenham 019","E02000020",466,1,37,55,3,21,124,59,166,0
2021,"Barking and Dagenham 020","E02000021",240,0,18,26,1,14,55,39,87,0
2021,"Barking and Dagenham 021","E02000022",242,2,14,15,9,16,83,35,68,0
2021,"Barking and Dagenham 022","E02000023",213,1,17,7,3,6,78,34,67,0
2021,"Barnet 001","E02000024",593,1,35,174,2,15,158,57,151,0
2021,"Barnet 002","E02000025",393,2,32,87,2,15,116,53,86,0
2021,"Barnet 003","E02000026",276,0,22,55,0,17,70,26,86,0
2021,"Barnet 004","E02000027",323,1,37,55,3,2,94,47,84,0
2021,"Barnet 005","E02000028",293,0,13,75,1,11,76,32,85,0
2021,"Barnet 006","E02000029",324,0,22,49,2,4,110,45,92,0
2021,"Barnet 007","E02000030",469,0,49,170,4,9,66,42,129,0
2021,"Barnet 008","E02000031",407,1,43,90,3,17,85,49,119,0
2021,"Barnet 009","E02000032",308,0,29,79,1,11,57,33,98,0
2021,"Barnet 010","E02000033",358,1,22,46,0,8,132,30,119,0
2021,"Barnet 011","E02000034",394,1,39,90,4,13,97,48,102,0
2021,"Barnet 012","E02000035",467,0,43,81,0,33,122,45,143,0
