"date","geography","geography code","Second address indicator: Total: All usual residents","Second address indicator: No second address","Second address indicator: Second address is in the UK","Second address indicator: Second address is outside the UK"
2021,"City of London 001","E02000001",8583,6942,875,766
2021,"Barking and Dagenham 001","E02000002",8283,8054,148,81
2021,"Barking and Dagenham 002","E02000003",11542,11041,246,255
2021,"Barking and Dagenham 003","E02000004",6640,6475,117,48
2021,"Barking and Dagenham 004","E02000005",11082,10728,194,160
2021,"Barking and Dagenham 006","E02000007",10162,9862,190,110
2021,"Barking and Dagenham 007","E02000008",13250,12930,199,121
2021,"Barking and Dagenham 008","E02000009",12864,12436,229,199
2021,"Barking and Dagenham 009","E02000010",9485,9242,138,105
2021,"Barking and Dagenham 010","E02000011",7031,6804,112,115
2021,"Barking and Dagenham 011","E02000012",11511,11148,201,162
2021,"Barking and Dagenham 012","E02000013",9398,9116,151,131
2021,"Barking and Dagenham 013","E02000014",9865,9589,151,125
2021,"Barking and Dagenham 014","E02000015",8227,7991,160,76
2021,"Barking and Dagenham 015","E02000016",10568,10205,200,163
2021,"Barking and Dagenham 016","E02000017",9133,8812,147,174
2021,"Barking and Dagenham 017","E02000018",9552,9289,145,118
2021,"Barking and Dagenham 018","E02000019",9663,9370,163,130
2021,"Barking and Dagenham 019","E02000020",14055,13589,243,223
2021,"Barking and Dagenham 020","E02000021",8759,8518,129,112
2021,"Barking and Dagenham 021","E02000022",7741,7500,163,78
2021,"Barking and Dagenham 022","E02000023",8019,7806,135,78
2021,"Barnet 001","E02000024",10841,10250,337,254
2021,"Barnet 002","E02000025",8582,8188,216,178
2021,"Barnet 003","E02000026",6457,6182,165,110
2021,"Barnet 004","E02000027",9647,9328,196,123
2021,"Barnet 005","E02000028",6534,6240,182,112
2021,"Barnet 006","E02000029",9678,9352,187,139
2021,"Barnet 007","E02000030",9457,8991,202,264
2021,"Barnet 008","E02000031",8331,7924,233,174
2021,"Barnet 009","E02000032",7939,7629,142,168
2021,"Barnet 010","E02000033",8892,8533,225,134
2021,"Barnet 011","E02000034",9087,8693,199,195
2021,"Barnet 012","E02000035",8530,8062,226,242
2021,"Barnet 013","E02000036",11244,10826,190,228
2021,"Barnet 014","E02000037",10835,10410,221,204
2021,"Barnet 015","E02000038",10719,10131,294,294
2021,"Barnet 016","E02000039",7168,6804,168,196
2021,"Barnet 017","E02000040",9138,8537,293,308
2021,"Barnet 018","E02000041",9455,9086,165,204
2021,"Barnet 019","E02000042",11559,10971,318,270
2021,"Barnet 020","E02000043",7570,7178,203,189
2021,"Barnet 021","E02000044",8844,8549,146,149
2021,"Barnet 022","E02000045",10522,10062,274,186
2021,"Barnet 023","E02000046",6962,6574,190,198
2021,"Barnet 024","E02000047",12397,11872,275,250
2021,"Barnet 025","E02000048",10283,9724,261,298
2021,"Barnet 026","E02000049",10532,10128,223,181
2021,"Barnet 027","E02000050",10378,9827,295,256
2021,"Barnet 028","E02000051",9160,8606,239,315
2021,"Barnet 029","E02000052",9849,9300,320,229
2021,"Barnet 031","E02000054",7631,7167,236,228
2021,"Barnet 032","E02000055",11727,10780,432,515
2021,"Barnet 033","E02000056",9130,8385,336,409
2021,"Barnet 034","E02000057",8013,7596,205,212
2021,"Barnet 035","E02000058",10228,9658,240,330
2021,"Barnet 036","E02000059",11626,11068,241,317
2021,"Barnet 037","E02000060",11558,11078,221,259
2021,"Barnet 038","E02000061",8347,7598,346,403
2021,"Barnet 039","E02000062",6958,6693,131,134
2021,"Barnet 040","E02000063",7584,7214,121,249
2021,"Barnet 041","E02000064",6671,6181,262,228
2021,"Bexley 001","E02000065",8062,7805,135,122
2021,"Bexley 002","E02000066",9430,9108,204,118
2021,"Bexley 003","E02000067",10231,9837,275,119
2021,"Bexley 004","E02000068",8177,7902,189,86
2021,"Bexley 005","E02000069",7212,6946,194,72
2021,"Bexley 006","E02000070",8111,7874,157,80
2021,"Bexley 007","E02000071",7675,7477,149,49
2021,"Bexley 008","E02000072",12924,12541,258,125
2021,"Bexley 009","E02000073",10726,10429,197,100
2021,"Bexley 010","E02000074",8860,8635,182,43
2021,"Bexley 011","E02000075",7986,7762,168,56
2021,"Bexley 013","E02000077",8138,7882,175,81
2021,"Bexley 014","E02000078",7933,7718,135,80
2021,"Bexley 015","E02000079",8770,8474,203,93
2021,"Bexley 016","E02000080",10066,9790,190,86
2021,"Bexley 017","E02000081",8306,8036,179,91
2021,"Bexley 018","E02000082",9333,9052,194,87
2021,"Bexley 019","E02000083",11270,10919,258,93
2021,"Bexley 020","E02000084",11113,10725,271,117
2021,"Bexley 021","E02000085",7960,7695,191,74
2021,"Bexley 022","E02000086",7177,6963,161,53
2021,"Bexley 023","E02000087",8209,7906,194,109
2021,"Bexley 024","E02000088",7748,7438,252,58
2021,"Bexley 025","E02000089",7869,7621,191,57
2021,"Bexley 026","E02000090",9640,8902,637,101
2021,"Bexley 027","E02000091",10164,9681,395,88
2021,"Bexley 028","E02000092",6755,6533,165,57
2021,"Brent 001","E02000093",11877,11366,201,310
2021,"Brent 002","E02000094",10457,10022,179,256
2021,"Brent 003","E02000095",10461,9996,198,267
2021,"Brent 004","E02000096",7633,7323,138,172
2021,"Brent 005","E02000097",9532,9166,146,220
2021,"Brent 006","E02000098",8741,8359,179,203
2021,"Brent 007","E02000099",9560,9109,148,303
2021,"Brent 008","E02000100",8318,7630,376,312
2021,"Brent 009","E02000101",9937,9479,192,266
2021,"Brent 010","E02000102",8328,8079,95,154
2021,"Brent 011","E02000103",9973,9582,171,220
2021,"Brent 012","E02000104",7505,7159,166,180
2021,"Brent 013","E02000105",9844,9483,188,173
2021,"Brent 014","E02000106",10353,9930,171,252
2021,"Brent 015","E02000107",10939,10342,286,311
2021,"Brent 016","E02000108",7259,6969,157,133
2021,"Brent 018","E02000110",8174,7689,261,224
2021,"Brent 019","E02000111",11284,10856,196,232
2021,"Brent 020","E02000112",11749,11256,173,320
2021,"Brent 021","E02000113",9631,9394,134,103
2021,"Brent 022","E02000114",8996,8404,294,298
2021,"Brent 023","E02000115",8622,7945,390,287
2021,"Brent 024","E02000116",8549,8236,173,140
2021,"Brent 025","E02000117",12733,12259,251,223
2021,"Brent 026","E02000118",11293,10919,200,174
2021,"Brent 027","E02000119",10625,10290,190,145
2021,"Brent 028","E02000120",9017,8369,374,274
2021,"Brent 029","E02000121",12240,11732,238,270
2021,"Brent 030","E02000122",8177,7552,315,310
2021,"Brent 031","E02000123",13579,13008,335,236
2021,"Brent 032","E02000124",9954,9097,480,377
2021,"Brent 033","E02000125",9940,9351,367,222
2021,"Brent 034","E02000126",8195,7834,190,171
2021,"Bromley 001","E02000127",9329,9032,205,92
2021,"Bromley 002","E02000128",7789,7362,333,94
2021,"Bromley 004","E02000130",8426,8082,249,95
2021,"Bromley 005","E02000131",10485,9939,391,155
2021,"Bromley 006","E02000132",9834,9367,277,190
2021,"Bromley 007","E02000133",10753,10171,343,239
2021,"Bromley 008","E02000134",11751,11145,356,250
2021,"Bromley 009","E02000135",9871,9506,248,117
2021,"Bromley 010","E02000136",5744,5511,165,68
2021,"Bromley 011","E02000137",8398,8011,232,155
2021,"Bromley 012","E02000138",8502,8039,288,175
2021,"Bromley 013","E02000139",7716,7427,188,101
2021,"Bromley 014","E02000140",8681,8409,186,86
2021,"Bromley 015","E02000141",7232,6975,191,66
2021,"Bromley 016","E02000142",8816,8397,303,116
2021,"Bromley 018","E02000144",10063,9526,305,232
2021,"Bromley 019","E02000145",8824,8561,191,72
2021,"Bromley 020","E02000146",9701,9326,254,121
2021,"Bromley 021","E02000147",8190,7784,282,124
2021,"Bromley 022","E02000148",6723,6444,183,96
2021,"Bromley 023","E02000149",8166,7927,162,77
2021,"Bromley 024","E02000150",8516,8160,248,108
2021,"Bromley 025","E02000151",7543,7247,218,78
2021,"Bromley 026","E02000152",7964,7716,186,62
2021,"Bromley 027","E02000153",8106,7857,184,65
2021,"Bromley 028","E02000154",8528,8197,232,99
2021,"Bromley 029","E02000155",7153,6956,126,71
2021,"Bromley 030","E02000156",12292,11805,343,144
2021,"Bromley 031","E02000157",8367,8084,209,74
2021,"Bromley 032","E02000158",7788,7491,179,118
2021,"Bromley 033","E02000159",7115,6793,197,125
2021,"Bromley 034","E02000160",8109,7780,225,104
2021,"Bromley 035","E02000161",8702,8416,206,80
2021,"Bromley 036","E02000162",7121,6844,208,69
2021,"Bromley 037","E02000163",7716,7468,157,91
2021,"Bromley 039","E02000165",7172,6939,179,54
2021,"Camden 001","E02000166",7745,6879,526,340
2021,"Camden 002","E02000167",7198,5993,632,573
2021,"Camden 003","E02000168",7814,7030,539,245
2021,"Camden 004","E02000169",7177,6146,413,618
2021,"Camden 005","E02000170",7915,7150,402,363
2021,"Camden 006","E02000171",7391,6590,440,361
2021,"Camden 007","E02000172",9999,9163,524,312
2021,"Camden 008","E02000173",7493,6545,403,545
2021,"Camden 009","E02000174",8086,7307,492,287
2021,"Camden 010","E02000175",9082,8150,480,452
2021,"Camden 011","E02000176",5914,5200,326,388
2021,"Camden 012","E02000177",8488,7784,438,266
2021,"Camden 013","E02000178",8903,8161,439,303
2021,"Camden 014","E02000179",5748,5169,263,316
2021,"Camden 015","E02000180",7879,6914,626,339
