"date","geography","geography code","Distance travelled to work: Total: All usual residents aged 16 years and over in employment the week before the census","Distance travelled to work: Less than 2km","Distance travelled to work: 2km to less than 5km","Distance travelled to work: 5km to less than 10km","Distance travelled to work: 10km to less than 20km","Distance travelled to work: 20km to less than 30km","Distance travelled to work: 30km to less than 40km","Distance travelled to work: 40km to less than 60km","Distance travelled to work: 60km and over","Distance travelled to work: Works mainly from home","Distance travelled to work: Works mainly at an offshore installation, in no fixed place, or outside the UK"
2021,"City of London 001","E02000001",5348,676,385,241,82,15,7,9,28,3602,303
2021,"Barking and Dagenham 001","E02000002",3238,161,474,394,472,197,65,20,26,678,751
2021,"Barking and Dagenham 002","E02000003",5238,311,603,541,860,310,61,17,44,1336,1155
2021,"Barking and Dagenham 003","E02000004",3113,322,354,277,439,199,33,11,30,781,667
2021,"Barking and Dagenham 004","E02000005",4862,358,684,532,787,251,54,20,57,1072,1047
2021,"Barking and Dagenham 006","E02000007",4271,308,676,408,727,289,50,25,45,798,945
2021,"Barking and Dagenham 007","E02000008",5695,454,897,589,973,273,61,41,58,1002,1347
2021,"Barking and Dagenham 008","E02000009",5431,272,818,663,1001,227,54,38,61,1091,1206
2021,"Barking and Dagenham 009","E02000010",4231,326,606,378,769,264,45,22,41,775,1005
2021,"Barking and Dagenham 010","E02000011",3102,151,345,335,542,246,44,18,26,622,773
2021,"Barking and Dagenham 011","E02000012",5025,329,609,602,826,130,48,34,44,1386,1017
2021,"Barking and Dagenham 012","E02000013",4006,231,555,540,721,173,46,30,45,700,965
2021,"Barking and Dagenham 013","E02000014",4382,397,559,464,816,285,46,27,53,664,1071
2021,"Barking and Dagenham 014","E02000015",3512,220,430,391,631,242,45,23,35,658,837
2021,"Barking and Dagenham 015","E02000016",4550,291,377,666,930,170,25,38,44,1164,845
2021,"Barking and Dagenham 016","E02000017",4153,283,423,504,763,155,49,33,55,854,1034
2021,"Barking and Dagenham 017","E02000018",3992,212,565,548,733,148,37,31,54,696,968
2021,"Barking and Dagenham 018","E02000019",4150,313,472,515,794,197,55,23,54,756,971
2021,"Barking and Dagenham 019","E02000020",6259,395,622,760,1290,194,68,53,52,1491,1334
2021,"Barking and Dagenham 020","E02000021",3707,283,342,528,647,265,50,24,51,645,872
2021,"Barking and Dagenham 021","E02000022",3358,279,303,511,684,101,37,17,37,774,615
2021,"Barking and Dagenham 022","E02000023",3224,212,399,470,682,120,36,25,52,599,629
2021,"Barnet 001","E02000024",5323,392,255,465,748,93,25,28,31,2728,558
2021,"Barnet 002","E02000025",4199,235,312,458,607,64,19,16,27,1912,549
2021,"Barnet 003","E02000026",2975,133,286,307,403,48,19,17,24,1342,396
2021,"Barnet 004","E02000027",4426,397,377,474,614,78,30,16,33,1700,707
2021,"Barnet 005","E02000028",3268,168,262,348,467,56,18,12,15,1470,452
2021,"Barnet 006","E02000029",4622,300,408,499,643,65,20,12,11,1817,847
2021,"Barnet 007","E02000030",4375,200,328,402,624,65,25,25,29,2150,527
2021,"Barnet 008","E02000031",4091,190,272,390,518,37,13,15,16,2223,417
2021,"Barnet 009","E02000032",3793,222,383,441,474,46,16,10,21,1675,505
2021,"Barnet 010","E02000033",4292,284,415,487,558,48,16,11,24,1685,764
