"date","geography","geography code","Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census","Hours worked: Part-time","Hours worked: Part-time: 15 hours or less worked","Hours worked: Part-time: 16 to 30 hours worked","Hours worked: Full-time","Hours worked: Full-time: 31 to 48 hours worked","Hours worked: Full-time: 49 or more hours worked"
2021,"City of London 001","E02000001",5351,885,386,499,4466,2760,1706
2021,"Barking and Dagenham 001","E02000002",3240,1093,412,681,2147,1891,256
2021,"Barking and Dagenham 002","E02000003",5237,1706,635,1071,3531,3072,459
2021,"Barking and Dagenham 003","E02000004",3114,847,275,572,2267,1951,316
2021,"Barking and Dagenham 004","E02000005",4862,1553,524,1029,3309,2892,417
2021,"Barking and Dagenham 006","E02000007",4269,1434,522,912,2835,2465,370
2021,"Barking and Dagenham 007","E02000008",5699,1931,688,1243,3768,3299,469
2021,"Barking and Dagenham 008","E02000009",5432,1885,635,1250,3547,3073,474
2021,"Barking and Dagenham 009","E02000010",4231,1321,414,907,2910,2532,378
2021,"Barking and Dagenham 010","E02000011",3100,934,349,585,2166,1866,300
2021,"Barking and Dagenham 011","E02000012",5025,1698,638,1060,3327,2946,381
2021,"Barking and Dagenham 012","E02000013",4006,1339,469,870,2667,2312,355
2021,"Barking and Dagenham 013","E02000014",4382,1352,444,908,3030,2626,404
2021,"Barking and Dagenham 014","E02000015",3512,1077,345,732,2435,2121,314
2021,"Barking and Dagenham 015","E02000016",4551,1458,534,924,3093,2729,364
2021,"Barking and Dagenham 016","E02000017",4150,1455,556,899,2695,2294,401
2021,"Barking and Dagenham 017","E02000018",3989,1277,439,838,2712,2329,383
2021,"Barking and Dagenham 018","E02000019",4152,1357,466,891,2795,2452,343
2021,"Barking and Dagenham 019","E02000020",6257,2004,689,1315,4253,3668,585
2021,"Barking and Dagenham 020","E02000021",3710,1301,441,860,2409,2108,301
2021,"Barking and Dagenham 021","E02000022",3355,1084,374,710,2271,1979,292
2021,"Barking and Dagenham 022","E02000023",3223,1077,347,730,2146,1913,233
2021,"Barnet 001","E02000024",5323,1605,632,973,3718,2953,765
2021,"Barnet 002","E02000025",4197,1205,481,724,2992,2500,492
2021,"Barnet 003","E02000026",2977,928,377,551,2049,1652,397
2021,"Barnet 004","E02000027",4426,1336,510,826,3090,2594,496
2021,"Barnet 005","E02000028",3268,970,394,576,2298,1852,446
2021,"Barnet 006","E02000029",4623,1567,557,1010,3056,2552,504
2021,"Barnet 007","E02000030",4375,1377,578,799,2998,2227,771
2021,"Barnet 008","E02000031",4093,1121,463,658,2972,2304,668
2021,"Barnet 009","E02000032",3792,1198,437,761,2594,2125,469
2021,"Barnet 010","E02000033",4292,1401,518,883,2891,2425,466
2021,"Barnet 011","E02000034",4440,1436,561,875,3004,2443,561
2021,"Barnet 012","E02000035",4319,1280,536,744,3039,2456,583
2021,"Barnet 013","E02000036",5254,1762,652,1110,3492,2878,614
2021,"Barnet 014","E02000037",4980,1727,640,1087,3253,2562,691
2021,"Barnet 015","E02000038",5240,1729,695,1034,3511,2824,687
2021,"Barnet 016","E02000039",3532,1142,462,680,2390,1750,640
2021,"Barnet 017","E02000040",4331,1270,540,730,3061,2416,645
2021,"Barnet 018","E02000041",4480,1617,600,1017,2863,2362,501
2021,"Barnet 019","E02000042",5574,1691,708,983,3883,3166,717
2021,"Barnet 020","E02000043",3636,1002,411,591,2634,1988,646
2021,"Barnet 021","E02000044",4200,1397,520,877,2803,2293,510
2021,"Barnet 022","E02000045",4971,1629,593,1036,3342,2787,555
2021,"Barnet 023","E02000046",3822,1052,459,593,2770,2225,545
2021,"Barnet 024","E02000047",5445,1826,658,1168,3619,3083,536
2021,"Barnet 025","E02000048",4837,1609,706,903,3228,2515,713
2021,"Barnet 026","E02000049",4649,1553,617,936,3096,2666,430
2021,"Barnet 027","E02000050",4917,1479,539,940,3438,2852,586
