"date","geography","geography code","Method of travel to workplace: Total: All usual residents aged 16 years and over in employment the week before the census","Method of travel to workplace: Work mainly at or from home","Method of travel to workplace: Underground, metro, light rail, tram","Method of travel to workplace: Train","Method of travel to workplace: Bus, minibus or coach","Method of travel to workplace: Taxi","Method of travel to workplace: Motorcycle, scooter or moped","Method of travel to workplace: Driving a car or van","Method of travel to workplace: Passenger in a car or van","Method of travel to workplace: Bicycle","Method of travel to workplace: On foot","Method of travel to workplace: Other method of travel to work"
2021,"City of London 001","E02000001",5352,3602,349,95,132,21,13,124,13,191,758,54
2021,"Barking and Dagenham 001","E02000002",3238,678,372,199,379,18,15,1264,109,33,127,44
2021,"Barking and Dagenham 002","E02000003",5238,1336,638,553,510,31,19,1678,123,34,235,81
2021,"Barking and Dagenham 003","E02000004",3114,781,283,205,263,24,33,1220,91,40,145,29
2021,"Barking and Dagenham 004","E02000005",4862,1072,534,364,606,26,36,1730,127,46,233,88
2021,"Barking and Dagenham 006","E02000007",4272,798,583,306,570,35,30,1473,107,61,231,78
2021,"Barking and Dagenham 007","E02000008",5701,1002,800,458,662,46,48,2078,162,81,280,84
2021,"Barking and Dagenham 008","E02000009",5429,1091,884,438,707,26,41,1811,124,63,168,76
2021,"Barking and Dagenham 009","E02000010",4231,775,747,352,414,18,25,1440,117,50,233,60
2021,"Barking and Dagenham 010","E02000011",3100,622,647,286,226,25,16,1016,79,30,114,39
2021,"Barking and Dagenham 011","E02000012",5025,1386,734,465,325,43,15,1590,113,57,229,68
2021,"Barking and Dagenham 012","E02000013",4005,700,732,372,329,26,26,1377,122,68,179,74
2021,"Barking and Dagenham 013","E02000014",4377,664,806,382,466,17,38,1499,141,67,252,45
2021,"Barking and Dagenham 014","E02000015",3511,658,566,312,373,22,33,1196,90,44,164,53
2021,"Barking and Dagenham 015","E02000016",4550,1164,1116,537,488,25,13,794,63,58,230,62
2021,"Barking and Dagenham 016","E02000017",4153,854,946,469,363,14,18,1018,93,45,245,88
2021,"Barking and Dagenham 017","E02000018",3987,696,748,375,383,20,30,1316,113,81,166,59
2021,"Barking and Dagenham 018","E02000019",4151,756,715,386,317,23,41,1499,109,54,190,61
2021,"Barking and Dagenham 019","E02000020",6257,1491,1179,618,570,28,39,1738,140,95,264,95
2021,"Barking and Dagenham 020","E02000021",3703,645,530,323,415,19,22,1337,111,46,195,60
2021,"Barking and Dagenham 021","E02000022",3355,774,640,432,338,12,16,788,51,47,201,56
2021,"Barking and Dagenham 022","E02000023",3223,599,549,290,455,12,16,1050,49,42,118,43
2021,"Barnet 001","E02000024",5322,2728,510,76,232,20,18,1211,55,46,372,54
2021,"Barnet 002","E02000025",4195,1912,336,143,248,11,25,1210,88,27,149,46
2021,"Barnet 003","E02000026",2975,1342,208,83,97,16,6,1008,48,21,105,41
2021,"Barnet 004","E02000027",4425,1700,381,83,326,25,23,1447,101,34,248,57
2021,"Barnet 005","E02000028",3267,1470,265,113,208,17,13,914,54,29,146,38
2021,"Barnet 006","E02000029",4624,1817,316,230,327,20,35,1453,78,43,234,71
2021,"Barnet 007","E02000030",4372,2150,258,71,166,12,23,1395,75,28,162,32
2021,"Barnet 008","E02000031",4094,2223,365,78,172,13,15,979,53,28,133,35
2021,"Barnet 009","E02000032",3795,1675,337,69,138,13,19,1223,84,29,155,53
2021,"Barnet 010","E02000033",4289,1685,452,76,304,16,23,1354,99,54,170,56
2021,"Barnet 011","E02000034",4439,1882,448,79,357,25,26,1197,77,65,222,61
2021,"Barnet 012","E02000035",4319,2091,557,75,279,12,17,975,74,33,165,41
2021,"Barnet 013","E02000036",5254,1976,437,169,428,22,24,1744,149,43,204,58
2021,"Barnet 014","E02000037",4980,2265,445,80,246,32,9,1567,68,28,182,58
2021,"Barnet 015","E02000038",5236,2266,493,141,439,26,48,1351,72,79,234,87
2021,"Barnet 016","E02000039",3530,1710,206,166,222,13,26,931,48,18,143,47
2021,"Barnet 017","E02000040",4331,2174,393,81,222,16,13,1127,41,44,153,67
