"date","geography","geography code","National Statistics Socio-economic Classification (NS-SEC): Total: All usual residents aged 16 years and over","National Statistics Socio-economic Classification (NS-SEC): L1, L2 and L3 Higher managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L4, L5 and L6 Lower managerial, administrative and professional occupations","National Statistics Socio-economic Classification (NS-SEC): L7 Intermediate occupations","National Statistics Socio-economic Classification (NS-SEC): L8 and L9 Small employers and own account workers","National Statistics Socio-economic Classification (NS-SEC): L10 and L11 Lower supervisory and technical occupations","National Statistics Socio-economic Classification (NS-SEC): L12 Semi-routine occupations","National Statistics Socio-economic Classification (NS-SEC): L13 Routine occupations","National Statistics Socio-economic Classification (NS-SEC): L14.1 and L14.2 Never worked and long-term unemployed","National Statistics Socio-economic Classification (NS-SEC): L15 Full-time students"
2021,"City of London 001","E02000001",8004,3176,1914,433,568,134,289,255,437,798
2021,"Barking and Dagenham 001","E02000002",5984,400,919,612,779,314,741,726,822,671
2021,"Barking and Dagenham 002","E02000003",8845,787,1485,1030,1259,364,1010,984,1032,894
2021,"Barking and Dagenham 003","E02000004",5316,460,1002,684,638,326,608,615,565,418
2021,"Barking and Dagenham 004","E02000005",7984,598,1293,892,988,425,1025,1043,973,747
2021,"Barking and Dagenham 006","E02000007",7465,442,1130,805,875,401,998,1076,930,808
2021,"Barking and Dagenham 007","E02000008",9851,546,1356,1030,1335,528,1288,1466,1307,995
2021,"Barking and Dagenham 008","E02000009",9355,615,1421,888,1215,445,1136,1317,1222,1096
2021,"Barking and Dagenham 009","E02000010",7074,400,1069,762,958,355,951,994,871,714
2021,"Barking and Dagenham 010","E02000011",5417,334,875,590,798,287,658,698,619,558
2021,"Barking and Dagenham 011","E02000012",8845,869,1545,1045,1122,337,804,752,1263,1108
2021,"Barking and Dagenham 012","E02000013",6963,391,992,719,928,374,933,1001,908,717
2021,"Barking and Dagenham 013","E02000014",7434,379,1055,742,1003,437,984,1179,922,733
2021,"Barking and Dagenham 014","E02000015",6032,354,887,599,740,322,844,886,802,598
2021,"Barking and Dagenham 015","E02000016",7582,793,1089,635,876,302,840,915,1177,955
2021,"Barking and Dagenham 016","E02000017",7142,590,922,662,1123,332,756,861,1050,846
