"date","geography","geography code","Occupation (current): Total: All usual residents aged 16 years and over in employment the week before the census","Occupation (current): 1. Managers, directors and senior officials","Occupation (current): 2. Professional occupations","Occupation (current): 3. Associate professional and technical occupations","Occupation (current): 4. Administrative and secretarial occupations","Occupation (current): 5. Skilled trades occupations","Occupation (current): 6. Caring, leisure and other service occupations","Occupation (current): 7. Sales and customer service occupations","Occupation (current): 8. Process, plant and machine operatives","Occupation (current): 9. Elementary occupations"
2021,"City of London 001","E02000001",5346,1104,2349,1027,267,97,152,122,50,178
2021,"Barking and Dagenham 001","E02000002",3240,277,533,308,298,414,378,254,300,478
2021,"Barking and Dagenham 002","E02000003",5238,512,912,539,567,580,519,427,434,748
2021,"Barking and Dagenham 003","E02000004",3114,262,614,350,343,390,302,216,280,357
2021,"Barking and Dagenham 004","E02000005",4864,432,784,509,467,558,562,434,449,669
2021,"Barking and Dagenham 006","E02000007",4269,301,685,409,382,453,573,366,382,718
2021,"Barking and Dagenham 007","E02000008",5701,472,758,535,471,745,684,511,569,956
2021,"Barking and Dagenham 008","E02000009",5432,417,806,535,509,634,615,464,528,924
2021,"Barking and Dagenham 009","E02000010",4231,304,623,373,399,582,534,320,378,718
2021,"Barking and Dagenham 010","E02000011",3099,256,454,300,287,407,343,218,348,486
2021,"Barking and Dagenham 011","E02000012",5024,563,1015,558,584,445,461,408,490,500
2021,"Barking and Dagenham 012","E02000013",4006,301,574,365,354,518,522,340,388,644
2021,"Barking and Dagenham 013","E02000014",4385,323,555,372,377,596,557,355,446,804
2021,"Barking and Dagenham 014","E02000015",3511,255,529,338,286,360,495,288,382,578
2021,"Barking and Dagenham 015","E02000016",4549,341,932,474,358,372,514,385,355,818
2021,"Barking and Dagenham 016","E02000017",4152,345,635,404,345,556,349,344,405,769
2021,"Barking and Dagenham 017","E02000018",3988,318,540,364,351,549,512,318,377,659
2021,"Barking and Dagenham 018","E02000019",4152,380,678,368,379,482,485,323,424,633
2021,"Barking and Dagenham 019","E02000020",6257,538,1151,638,573,705,586,532,568,966
