"date","geography","geography code","Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census","Unemployment history: Not in employment: Worked in the last 12 months","Unemployment history: Not in employment: Not worked in the last 12 months","Unemployment history: Not in employment: Never worked"
2021,"City of London 001","E02000001",2653,508,1412,733
2021,"Barking and Dagenham 001","E02000002",2746,358,1283,1105
2021,"Barking and Dagenham 002","E02000003",3609,585,1664,1360
2021,"Barking and Dagenham 003","E02000004",2201,306,1185,710
2021,"Barking and Dagenham 004","E02000005",3124,472,1342,1310
2021,"Barking and Dagenham 006","E02000007",3197,479,1478,1240
2021,"Barking and Dagenham 007","E02000008",4152,594,1874,1684
2021,"Barking and Dagenham 008","E02000009",3922,630,1621,1671
2021,"Barking and Dagenham 009","E02000010",2844,469,1236,1139
2021,"Barking and Dagenham 010","E02000011",2317,330,1123,864
2021,"Barking and Dagenham 011","E02000012",3820,527,1468,1825
2021,"Barking and Dagenham 012","E02000013",2961,420,1331,1210
2021,"Barking and Dagenham 013","E02000014",3054,432,1442,1180
2021,"Barking and Dagenham 014","E02000015",2516,411,1116,989
2021,"Barking and Dagenham 015","E02000016",3032,537,1074,1421
2021,"Barking and Dagenham 016","E02000017",2991,451,1131,1409
2021,"Barking and Dagenham 017","E02000018",3009,506,1289,1214
2021,"Barking and Dagenham 018","E02000019",2870,437,1226,1207
2021,"Barking and Dagenham 019","E02000020",4007,622,1487,1898
2021,"Barking and Dagenham 020","E02000021",2661,405,1180,1076
2021,"Barking and Dagenham 021","E02000022",2062,414,678,970
2021,"Barking and Dagenham 022","E02000023",2383,376,896,1111
2021,"Barnet 001","E02000024",3600,477,2363,760
2021,"Barnet 002","E02000025",2790,431,1599,760
2021,"Barnet 003","E02000026",2239,309,1371,559
2021,"Barnet 004","E02000027",3300,431,1785,1084
2021,"Barnet 005","E02000028",2037,287,1202,548
2021,"Barnet 006","E02000029",2815,395,1540,880
2021,"Barnet 007","E02000030",3343,412,1973,958
2021,"Barnet 008","E02000031",2719,349,1615,755
2021,"Barnet 009","E02000032",2630,319,1552,759
2021,"Barnet 010","E02000033",2853,388,1541,924
2021,"Barnet 011","E02000034",2840,406,1621,813
2021,"Barnet 012","E02000035",2767,425,1489,853
2021,"Barnet 013","E02000036",3394,443,1759,1192
2021,"Barnet 014","E02000037",3231,477,1713,1041
2021,"Barnet 015","E02000038",3405,453,1751,1201
2021,"Barnet 016","E02000039",2127,319,1199,609
2021,"Barnet 017","E02000040",2919,380,1508,1031
2021,"Barnet 018","E02000041",2972,445,1496,1031
2021,"Barnet 019","E02000042",3831,571,1922,1338
2021,"Barnet 020","E02000043",2255,300,1295,660
2021,"Barnet 021","E02000044",2675,470,1198,1007
2021,"Barnet 022","E02000045",3312,537,1606,1169
2021,"Barnet 023","E02000046",1878,319,996,563
2021,"Barnet 024","E02000047",4136,692,1713,1731
2021,"Barnet 025","E02000048",3250,516,1763,971
2021,"Barnet 026","E02000049",3369,480,1374,1515
2021,"Barnet 027","E02000050",3448,567,1678,1203
2021,"Barnet 028","E02000051",3151,464,1722,965
2021,"Barnet 029","E02000052",2842,499,1600,743
2021,"Barnet 031","E02000054",2425,452,1146,827
2021,"Barnet 032","E02000055",3715,756,1727,1232
2021,"Barnet 033","E02000056",2939,378,1725,836
2021,"Barnet 034","E02000057",2395,450,1124,821
2021,"Barnet 035","E02000058",3202,440,1818,944
2021,"Barnet 036","E02000059",3571,632,1644,1295
2021,"Barnet 037","E02000060",3321,427,1600,1294
2021,"Barnet 038","E02000061",2691,396,1381,914
2021,"Barnet 039","E02000062",2350,362,1007,981
2021,"Barnet 040","E02000063",2651,395,1138,1118
2021,"Barnet 041","E02000064",2143,356,1003,784
2021,"Bexley 001","E02000065",2366,421,1057,888
2021,"Bexley 002","E02000066",3114,518,1432,1164
2021,"Bexley 003","E02000067",2943,439,1488,1016
2021,"Bexley 004","E02000068",2426,380,1242,804
