"date","geography","geography code","Economic activity status: Total: All usual residents aged 16 years and over","Economic activity status: Economically active (excluding full-time students)","Economic activity status: Economically active (excluding full-time students):In employment","Economic activity status: Economically active (excluding full-time students):In employment:Employee","Economic activity status: Economically active (excluding full-time students): In employment: Employee: Part-time","Economic activity status: Economically active (excluding full-time students): In employment: Employee: Full-time","Economic activity status: Economically active (excluding full-time students):In employment:Self-employed with employees","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time","Economic activity status: Economically active (excluding full-time students):In employment:Self-employed without employees","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time","Economic activity status: Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time","Economic activity status: Economically active (excluding full-time students): Unemployed","Economic activity status: Economically active and a full-time student","Economic activity status: Economically active and a full-time student:In employment","Economic activity status: Economically active and a full-time student:In employment:Employee","Economic activity status: Economically active and a full-time student: In employment: Employee: Part-time","Economic activity status: Economically active and a full-time student: In employment: Employee: Full-time","Economic activity status: Economically active and a full-time student:In employment:Self-employed with employees","Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Part-time","Economic activity status: Economically active and a full-time student: In employment: Self-employed with employees: Full-time","Economic activity status: Economically active and a full-time student:In employment:Self-employed without employees","Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Part-time","Economic activity status: Economically active and a full-time student: In employment: Self-employed without employees: Full-time","Economic activity status: Economically active and a full-time student: Unemployed","Economic activity status: Economically inactive","Economic activity status: Economically inactive: Retired","Economic activity status: Economically inactive: Student","Economic activity status: Economically inactive: Looking after home or family","Economic activity status: Economically inactive: Long-term sick or disabled","Economic activity status: Economically inactive: Other"
2021,"City of London 001","E02000001",8004,5555,5273,4205,440,3765,178,28,150,890,366,524,282,123,78,58,39,19,0,0,0,20,12,8,45,2326,993,720,192,124,297
2021,"Barking and Dagenham 001","E02000002",5985,3391,3112,2423,737,1686,98,24,74,591,234,357,279,201,126,103,78,25,2,2,0,21,16,5,75,2393,821,498,482,339,253
2021,"Barking and Dagenham 002","E02000003",8844,5349,4965,3785,1126,2659,222,61,161,958,353,605,384,319,269,212,140,72,7,4,3,50,21,29,50,3176,1182,629,711,255,399
2021,"Barking and Dagenham 003","E02000004",5315,3246,3022,2447,601,1846,85,24,61,490,168,322,224,126,92,83,46,37,2,1,1,7,7,0,34,1943,933,309,291,193,217
2021,"Barking and Dagenham 004","E02000005",7987,5043,4720,3781,1106,2675,169,51,118,770,303,467,323,209,143,122,84,38,6,1,5,15,9,6,66,2735,793,568,657,335,382
2021,"Barking and Dagenham 006","E02000007",7469,4395,4067,3257,993,2264,146,39,107,664,265,399,328,269,206,175,118,57,7,6,1,24,17,7,63,2805,904,567,581,399,354
2021,"Barking and Dagenham 007","E02000008",9850,5943,5454,4227,1288,2939,209,78,131,1018,392,626,489,321,245,207,150,57,6,3,3,32,20,12,76,3586,1058,720,793,533,482
2021,"Barking and Dagenham 008","E02000009",9354,5616,5173,4033,1281,2752,192,47,145,948,371,577,443,323,259,217,158,59,6,2,4,36,26,10,64,3415,815,841,815,444,500
2021,"Barking and Dagenham 009","E02000010",7075,4357,4031,3114,900,2214,119,32,87,798,256,542,326,258,198,173,116,57,3,0,3,22,15,7,60,2460,763,490,532,345,330
2021,"Barking and Dagenham 010","E02000011",5418,3199,2968,2242,609,1633,120,19,101,606,212,394,231,172,133,108,83,25,5,1,4,20,11,9,39,2047,833,405,389,179,241
2021,"Barking and Dagenham 011","E02000012",8847,5142,4802,3771,1087,2684,184,70,114,847,372,475,340,302,222,193,155,38,2,2,0,27,12,15,80,3403,1058,832,772,272,469
2021,"Barking and Dagenham 012","E02000013",6963,4109,3806,2954,912,2042,137,30,107,715,285,430,303,243,196,154,91,63,8,3,5,34,16,18,47,2611,803,532,552,383,341
2021,"Barking and Dagenham 013","E02000014",7433,4533,4169,3281,941,2340,130,24,106,758,252,506,364,284,213,176,120,56,4,1,3,33,14,19,71,2616,934,475,539,357,311
2021,"Barking and Dagenham 014","E02000015",6029,3697,3368,2717,756,1961,92,24,68,559,190,369,329,213,145,110,84,26,6,4,2,29,20,9,68,2119,636,414,429,323,317
2021,"Barking and Dagenham 015","E02000016",7581,4733,4259,3428,972,2456,145,46,99,686,266,420,474,388,290,260,156,104,3,2,1,27,16,11,98,2460,279,611,837,321,412
2021,"Barking and Dagenham 016","E02000017",7140,4259,3941,2870,897,1973,183,61,122,888,366,522,318,270,209,176,111,65,7,3,4,26,15,11,61,2611,657,602,682,345,325
2021,"Barking and Dagenham 017","E02000018",6998,4202,3829,2957,878,2079,154,24,130,718,268,450,373,228,160,144,98,46,0,0,0,16,9,7,68,2568,731,585,549,358,345
2021,"Barking and Dagenham 018","E02000019",7024,4302,3954,3136,911,2225,118,33,85,700,283,417,348,259,200,165,114,51,3,0,3,32,16,16,59,2463,751,521,536,300,355
2021,"Barking and Dagenham 019","E02000020",10264,6453,5961,4637,1315,3322,209,65,144,1115,431,684,492,397,296,244,161,83,11,6,5,41,26,15,101,3414,845,822,862,362,523
2021,"Barking and Dagenham 020","E02000021",6368,3835,3533,2746,883,1863,153,45,108,634,242,392,302,215,173,171,131,40,1,0,1,1,0,1,42,2318,745,503,485,273,312
2021,"Barking and Dagenham 021","E02000022",5420,3437,3152,2554,709,1845,100,30,70,498,189,309,285,290,205,176,133,43,5,4,1,24,21,3,85,1693,221,533,493,216,230
2021,"Barking and Dagenham 022","E02000023",5606,3327,3038,2521,760,1761,78,23,55,439,174,265,289,252,185,159,100,59,5,4,1,21,16,5,67,2027,342,546,512,318,309
2021,"Barnet 001","E02000024",8923,5511,5221,4015,962,3053,165,42,123,1041,534,507,290,135,102,80,54,26,1,1,0,21,12,9,33,3277,1952,478,401,185,261
