"date","geography","geography code","Highest level of qualification: Total: All usual residents aged 16 years and over","Highest level of qualification: No qualifications","Highest level of qualification: Level 1 and entry level qualifications","Highest level of qualification: Level 2 qualifications","Highest level of qualification: Apprenticeship","Highest level of qualification: Level 3 qualifications","Highest level of qualification: Level 4 qualifications and above","Highest level of qualification: Other qualifications"
2021,"City of London 001","E02000001",8006,529,223,392,80,708,5939,135
2021,"Barking and Dagenham 001","E02000002",5985,1433,642,786,251,820,1850,203
2021,"Barking and Dagenham 002","E02000003",8849,1885,917,1102,359,1250,3010,326
2021,"Barking and Dagenham 003","E02000004",5315,1249,560,663,273,777,1634,159
2021,"Barking and Dagenham 004","E02000005",7989,1779,789,1015,315,1087,2699,305
2021,"Barking and Dagenham 006","E02000007",7466,1777,794,983,312,985,2367,248
2021,"Barking and Dagenham 007","E02000008",9851,2484,1070,1365,395,1332,2809,396
2021,"Barking and Dagenham 008","E02000009",9354,2077,921,1219,367,1285,3134,351
2021,"Barking and Dagenham 009","E02000010",7075,1685,763,903,298,962,2193,271
2021,"Barking and Dagenham 010","E02000011",5418,1380,558,654,254,681,1687,204
2021,"Barking and Dagenham 011","E02000012",8845,1709,902,1160,270,1423,3022,359
2021,"Barking and Dagenham 012","E02000013",6965,1806,749,895,309,887,2095,224
2021,"Barking and Dagenham 013","E02000014",7433,1927,836,1021,328,960,2100,261
2021,"Barking and Dagenham 014","E02000015",6026,1395,592,838,255,777,1967,202
2021,"Barking and Dagenham 015","E02000016",7582,1365,668,751,222,937,3329,310
2021,"Barking and Dagenham 016","E02000017",7141,1652,792,834,218,880,2473,292
2021,"Barking and Dagenham 017","E02000018",6997,1673,765,850,319,928,2217,245
2021,"Barking and Dagenham 018","E02000019",7022,1644,763,900,255,976,2231,253
2021,"Barking and Dagenham 019","E02000020",10264,2206,948,1179,330,1341,3869,391
2021,"Barking and Dagenham 020","E02000021",6368,1488,737,813,249,843,2001,237
2021,"Barking and Dagenham 021","E02000022",5416,903,507,599,136,737,2322,212
2021,"Barking and Dagenham 022","E02000023",5606,1145,551,731,209,719,2071,180
2021,"Barnet 001","E02000024",8923,956,549,884,294,1060,4976,204
2021,"Barnet 002","E02000025",6989,978,524,719,215,1003,3374,176
2021,"Barnet 003","E02000026",5216,758,356,615,175,741,2434,137
2021,"Barnet 004","E02000027",7727,1413,719,935,277,1049,3118,216
2021,"Barnet 005","E02000028",5303,665,382,604,180,696,2628,148
2021,"Barnet 006","E02000029",7438,1121,650,846,352,1016,3211,242
2021,"Barnet 007","E02000030",7715,1193,488,865,248,1015,3711,195
2021,"Barnet 008","E02000031",6810,851,372,624,163,783,3847,170
2021,"Barnet 009","E02000032",6424,931,463,745,226,861,3017,181
2021,"Barnet 010","E02000033",7145,1118,621,842,291,1015,3052,206
2021,"Barnet 011","E02000034",7278,1033,458,740,278,984,3556,229
2021,"Barnet 012","E02000035",7086,1001,392,605,194,758,3932,204
2021,"Barnet 013","E02000036",8648,1434,670,937,294,1165,3854,294
2021,"Barnet 014","E02000037",8211,1169,597,902,240,999,4039,265
2021,"Barnet 015","E02000038",8642,1413,575,895,275,1042,4194,248
2021,"Barnet 016","E02000039",5657,765,365,573,153,658,2989,154
2021,"Barnet 017","E02000040",7249,946,445,774,222,841,3833,188
2021,"Barnet 018","E02000041",7449,1434,611,773,237,960,3159,275
2021,"Barnet 019","E02000042",9406,1622,592,817,266,1031,4777,301
2021,"Barnet 020","E02000043",5891,610,289,458,140,627,3631,136
2021,"Barnet 021","E02000044",6875,1399,599,719,267,875,2750,266
2021,"Barnet 022","E02000045",8284,1369,593,875,284,1130,3743,290
2021,"Barnet 023","E02000046",5700,661,323,463,170,613,3278,192
2021,"Barnet 024","E02000047",9581,2295,951,975,334,1190,3439,397
2021,"Barnet 025","E02000048",8087,1014,491,769,234,1027,4343,209
2021,"Barnet 026","E02000049",8020,1537,663,827,253,1081,3359,300
2021,"Barnet 027","E02000050",8365,1316,587,821,236,1002,4157,246
2021,"Barnet 028","E02000051",7494,1075,394,658,185,791,4160,231
2021,"Barnet 029","E02000052",7972,832,372,649,202,856,4882,179
2021,"Barnet 031","E02000054",6221,950,443,502,228,789,3083,226
2021,"Barnet 032","E02000055",9495,1528,647,890,305,1362,4395,368
2021,"Barnet 033","E02000056",7198,626,292,632,133,731,4634,150
2021,"Barnet 034","E02000057",5935,924,373,608,187,921,2699,223
2021,"Barnet 035","E02000058",7959,972,459,780,178,889,4450,231
2021,"Barnet 036","E02000059",9624,2014,790,839,359,1131,4156,335
2021,"Barnet 037","E02000060",7996,1381,667,1188,198,1089,3176,297
2021,"Barnet 038","E02000061",6887,845,316,500,155,699,4177,195
2021,"Barnet 039","E02000062",5465,1251,452,509,179,708,2156,210
2021,"Barnet 040","E02000063",6085,1127,445,578,227,768,2698,242
2021,"Barnet 041","E02000064",5335,825,324,481,171,647,2697,190
2021,"Bexley 001","E02000065",5940,1016,564,732,216,845,2426,141
2021,"Bexley 002","E02000066",7255,1514,782,897,298,998,2549,217
2021,"Bexley 003","E02000067",7906,1584,797,1048,362,1138,2726,251
2021,"Bexley 004","E02000068",6029,1197,660,820,246,861,2033,212
2021,"Bexley 005","E02000069",5675,1093,547,731,282,902,1932,188
2021,"Bexley 006","E02000070",6552,1314,766,954,326,1068,1900,224
2021,"Bexley 007","E02000071",5984,1197,779,925,317,1027,1558,181
2021,"Bexley 008","E02000072",9487,1922,1009,1228,340,1322,3413,253
2021,"Bexley 009","E02000073",8704,1538,983,1327,501,1530,2587,238
2021,"Bexley 010","E02000074",6861,1550,868,968,351,1020,1897,207
2021,"Bexley 011","E02000075",6606,1230,710,1047,416,1120,1900,183
2021,"Bexley 013","E02000077",6570,1312,749,974,354,990,1985,206
2021,"Bexley 014","E02000078",6392,1074,779,969,384,1131,1878,177
2021,"Bexley 015","E02000079",7098,1206,703,1013,406,1140,2420,210
2021,"Bexley 016","E02000080",8086,1476,907,1142,409,1327,2551,274
2021,"Bexley 017","E02000081",6617,1222,759,975,372,1119,1975,195
2021,"Bexley 018","E02000082",7456,1270,854,1132,469,1343,2177,211
2021,"Bexley 019","E02000083",8883,1568,987,1387,485,1471,2726,259
2021,"Bexley 020","E02000084",8927,1389,944,1314,512,1572,2953,243
2021,"Bexley 021","E02000085",6381,1167,722,1110,370,1214,1618,180
2021,"Bexley 022","E02000086",5851,975,674,955,356,1101,1626,164
2021,"Bexley 023","E02000087",6722,911,665,1009,352,1158,2460,167
2021,"Bexley 024","E02000088",6272,955,717,1007,358,1168,1868,199
2021,"Bexley 025","E02000089",6353,950,686,988,372,1214,1938,205
2021,"Bexley 026","E02000090",8110,1197,737,1162,361,1633,2837,183
2021,"Bexley 027","E02000091",8416,1454,825,1156,437,1410,2896,238
2021,"Bexley 028","E02000092",5293,1152,632,797,289,846,1427,150
2021,"Brent 001","E02000093",9783,2363,877,996,346,1164,3655,382
2021,"Brent 002","E02000094",8464,1704,747,863,296,1129,3367,358
2021,"Brent 003","E02000095",8594,2051,728,877,292,1043,3290,313
2021,"Brent 004","E02000096",6273,1070,483,600,142,716,3075,187
2021,"Brent 005","E02000097",7756,1805,729,807,314,1030,2748,323
2021,"Brent 006","E02000098",7153,1581,604,684,198,796,3013,277
2021,"Brent 007","E02000099",7541,1563,642,786,251,872,3083,344
2021,"Brent 008","E02000100",7180,1045,434,600,212,1058,3579,252
2021,"Brent 009","E02000101",7933,1764,689,767,279,1055,3065,314
2021,"Brent 010","E02000102",6225,1897,623,630,262,844,1691,278
2021,"Brent 011","E02000103",7850,1818,750,833,309,994,2868,278
2021,"Brent 012","E02000104",6266,1327,599,630,251,749,2441,269
2021,"Brent 013","E02000105",7853,1695,765,754,269,939,3066,365
2021,"Brent 014","E02000106",8259,2275,835,761,401,997,2628,362
2021,"Brent 015","E02000107",9063,1932,735,745,367,1029,3938,317
2021,"Brent 016","E02000108",5855,1270,570,551,230,715,2241,278
2021,"Brent 018","E02000110",6769,1164,467,505,206,924,3261,242
2021,"Brent 019","E02000111",9035,2376,1052,906,296,927,2998,480
2021,"Brent 020","E02000112",9702,2431,1186,946,337,985,3269,548
2021,"Brent 021","E02000113",7431,1938,826,973,272,1042,2097,283
2021,"Brent 022","E02000114",7600,1439,583,718,303,882,3381,294
2021,"Brent 023","E02000115",7290,1197,426,480,233,742,3971,241
2021,"Brent 024","E02000116",6675,1679,662,691,294,826,2227,296
2021,"Brent 025","E02000117",9680,2370,1026,1176,365,1324,3021,398
2021,"Brent 026","E02000118",9250,2929,1060,875,308,962,2595,521
2021,"Brent 027","E02000119",8172,1771,773,805,281,1173,3073,296
2021,"Brent 028","E02000120",7610,1147,420,525,208,860,4233,217
2021,"Brent 029","E02000121",9846,3033,1033,931,318,949,3125,457
2021,"Brent 030","E02000122",6688,920,437,568,201,821,3538,203
2021,"Brent 031","E02000123",10789,2642,1027,1026,445,1362,3829,458
2021,"Brent 032","E02000124",8117,942,411,668,180,964,4753,199
2021,"Brent 033","E02000125",8067,1295,549,700,250,955,4080,238
2021,"Brent 034","E02000126",6575,1219,562,675,219,933,2754,213
2021,"Bromley 001","E02000127",7220,1471,774,1012,336,1040,2374,213
2021,"Bromley 002","E02000128",6100,900,536,887,275,939,2407,156
2021,"Bromley 004","E02000130",6820,788,438,635,186,798,3787,188
2021,"Bromley 005","E02000131",8635,951,492,715,229,1052,4978,218
2021,"Bromley 006","E02000132",8227,877,570,820,253,1124,4409,174
2021,"Bromley 007","E02000133",8697,902,541,1053,246,1200,4580,175
2021,"Bromley 008","E02000134",9441,1099,666,1074,322,1330,4733,217
2021,"Bromley 009","E02000135",7973,1557,762,918,295,1080,3123,238
2021,"Bromley 010","E02000136",4657,777,481,664,194,741,1670,130
2021,"Bromley 011","E02000137",6823,718,512,792,224,970,3453,154
2021,"Bromley 012","E02000138",7235,715,456,819,233,966,3871,175
2021,"Bromley 013","E02000139",6139,673,445,692,178,797,3221,133
2021,"Bromley 014","E02000140",6585,1481,765,1017,312,1016,1819,175
2021,"Bromley 015","E02000141",5825,718,474,741,173,835,2754,130
2021,"Bromley 016","E02000142",7007,727,489,896,227,1074,3412,182
2021,"Bromley 018","E02000144",8106,731,519,886,233,1083,4471,183
2021,"Bromley 019","E02000145",6679,1441,776,947,293,928,2115,179
2021,"Bromley 020","E02000146",7733,918,635,965,308,1160,3553,194
2021,"Bromley 021","E02000147",6565,597,495,910,216,979,3234,134
2021,"Bromley 022","E02000148",5409,659,427,761,212,727,2495,128
2021,"Bromley 023","E02000149",6500,1183,736,968,331,1016,2106,160
2021,"Bromley 024","E02000150",6746,859,600,916,280,1105,2809,177
2021,"Bromley 025","E02000151",6005,660,530,839,226,892,2711,147
2021,"Bromley 026","E02000152",6130,1170,591,839,306,968,2130,126
2021,"Bromley 027","E02000153",6379,734,599,1009,272,1079,2511,175
2021,"Bromley 028","E02000154",6979,877,576,898,242,1023,3173,190
2021,"Bromley 029","E02000155",5973,1202,687,839,322,923,1836,164
2021,"Bromley 030","E02000156",10073,1292,910,1487,421,1686,4001,276
2021,"Bromley 031","E02000157",6746,761,586,1014,273,1061,2876,175
2021,"Bromley 032","E02000158",6124,975,609,927,281,889,2255,188
2021,"Bromley 033","E02000159",5903,818,573,938,272,985,2149,168
2021,"Bromley 034","E02000160",6534,798,616,1036,302,1151,2474,157
2021,"Bromley 035","E02000161",6918,855,631,965,289,1060,2953,165
2021,"Bromley 036","E02000162",5788,972,576,882,309,895,1972,182
2021,"Bromley 037","E02000163",6297,885,533,923,293,958,2546,159
2021,"Bromley 039","E02000165",5783,888,664,1052,342,1144,1548,145
2021,"Camden 001","E02000166",6531,716,325,567,129,759,3881,154
2021,"Camden 002","E02000167",6002,333,171,339,53,495,4514,97
2021,"Camden 003","E02000168",6623,627,302,443,117,748,4248,138
2021,"Camden 004","E02000169",5760,439,160,387,79,515,4040,140
2021,"Camden 005","E02000170",6578,612,256,415,102,656,4391,146
2021,"Camden 006","E02000171",6209,555,265,445,94,666,4065,119
2021,"Camden 007","E02000172",8168,1531,584,757,213,1167,3649,267
2021,"Camden 008","E02000173",6174,414,169,287,61,567,4538,138
2021,"Camden 009","E02000174",6761,855,404,547,143,923,3735,154
2021,"Camden 010","E02000175",7880,658,304,496,128,882,5241,171
2021,"Camden 011","E02000176",4968,303,117,208,73,428,3721,118
2021,"Camden 012","E02000177",7101,1105,459,644,207,980,3516,190
2021,"Camden 013","E02000178",7612,1096,443,550,173,860,4261,229
2021,"Camden 014","E02000179",4721,459,207,361,84,553,2936,121
2021,"Camden 015","E02000180",6742,816,348,497,134,1052,3744,151
2021,"Camden 016","E02000181",6844,470,198,328,95,610,5004,139
2021,"Camden 017","E02000182",5786,687,243,389,86,564,3611,206
2021,"Camden 018","E02000183",6446,670,291,455,130,714,4045,141
2021,"Camden 019","E02000184",7746,1026,451,590,172,1561,3684,262
2021,"Camden 020","E02000185",7265,1422,584,653,180,867,3323,236
2021,"Camden 021","E02000186",5438,610,230,360,121,938,3052,127
2021,"Camden 022","E02000187",7989,1419,621,775,213,1420,3310,231
2021,"Camden 023","E02000188",5931,1053,513,553,114,1227,2279,192
2021,"Camden 026","E02000191",5024,352,176,217,65,1625,2441,148
2021,"Camden 027","E02000192",5738,842,371,439,119,810,2977,180
2021,"Camden 028","E02000193",5501,496,247,362,108,897,3208,183
2021,"Croydon 001","E02000194",7483,798,532,706,221,1004,4014,208
2021,"Croydon 002","E02000195",7740,1208,650,825,279,1063,3523,192
2021,"Croydon 003","E02000196",6479,1222,566,751,233,871,2603,233
2021,"Croydon 004","E02000197",7316,1280,628,815,285,1005,3015,288
2021,"Croydon 005","E02000198",7015,1364,663,816,297,1036,2599,240
2021,"Croydon 006","E02000199",6750,1020,637,819,253,1032,2761,228
2021,"Croydon 007","E02000200",7351,1037,615,722,253,905,3556,263
2021,"Croydon 008","E02000201",6783,1130,604,786,286,1012,2765,200
2021,"Croydon 009","E02000202",7146,1382,742,864,284,980,2629,265
2021,"Croydon 010","E02000203",6292,1226,668,753,244,887,2282,232
2021,"Croydon 011","E02000204",7612,1491,786,913,292,1065,2776,289
2021,"Croydon 013","E02000206",8344,1557,809,986,335,1237,3118,302
2021,"Croydon 014","E02000207",7213,1161,731,982,290,1169,2686,194
2021,"Croydon 015","E02000208",8127,1643,833,886,305,1141,3057,262
2021,"Croydon 016","E02000209",7003,1345,768,872,264,1041,2458,255
2021,"Croydon 017","E02000210",6941,1062,625,901,266,1054,2853,180
2021,"Croydon 018","E02000211",6827,1053,714,951,360,1125,2451,173
2021,"Croydon 019","E02000212",7203,1530,787,958,244,1099,2340,245
2021,"Croydon 020","E02000213",9889,1839,896,1135,376,1297,3968,378
2021,"Croydon 021","E02000214",5087,694,462,597,186,798,2216,134
2021,"Croydon 022","E02000215",9620,1563,751,979,331,1275,4427,294
2021,"Croydon 023","E02000216",5749,672,335,490,174,679,3253,146
2021,"Croydon 024","E02000217",9313,1492,838,1093,320,1390,3884,296
2021,"Croydon 025","E02000218",5128,871,544,817,219,820,1728,129
2021,"Croydon 026","E02000219",6508,986,596,883,284,1003,2583,173
2021,"Croydon 028","E02000221",8358,1485,798,1090,335,1252,3159,239
2021,"Croydon 029","E02000222",6729,724,502,781,217,965,3405,135
2021,"Croydon 030","E02000223",6015,1575,757,955,197,847,1524,160
2021,"Croydon 031","E02000224",6406,746,517,778,202,1005,2997,161
2021,"Croydon 032","E02000225",5828,1525,735,888,286,776,1435,183
2021,"Croydon 033","E02000226",6283,785,571,897,306,985,2543,196
2021,"Croydon 034","E02000227",9375,1479,1062,1424,432,1651,3056,271
2021,"Croydon 035","E02000228",6396,610,489,821,203,956,3174,143
2021,"Croydon 036","E02000229",4728,1316,592,647,214,666,1148,145
2021,"Croydon 037","E02000230",8573,1056,609,1008,274,1186,4235,205
2021,"Croydon 038","E02000231",6542,684,403,756,170,895,3436,198
2021,"Croydon 039","E02000232",5070,817,519,744,262,864,1732,132
2021,"Croydon 040","E02000233",4997,625,431,674,177,833,2142,115
2021,"Croydon 041","E02000234",7420,954,635,971,256,1141,3277,186
2021,"Croydon 042","E02000235",5608,591,492,802,234,887,2452,150
2021,"Croydon 043","E02000236",7070,814,561,959,243,1190,3159,144
2021,"Croydon 044","E02000237",6124,967,572,932,295,1063,2127,168
2021,"Ealing 001","E02000238",8610,1579,791,961,421,1218,3298,342
2021,"Ealing 002","E02000239",7453,1408,644,802,301,996,2987,315
2021,"Ealing 003","E02000240",8734,1911,942,1017,392,1168,2973,331
2021,"Ealing 004","E02000241",5910,1141,544,663,256,843,2223,240
2021,"Ealing 005","E02000242",5642,1201,488,581,246,827,2050,249
2021,"Ealing 006","E02000243",7117,1432,668,771,348,1002,2611,285
2021,"Ealing 007","E02000244",6386,1202,478,576,304,825,2694,307
2021,"Ealing 008","E02000245",6941,1592,798,764,305,950,2260,272
2021,"Ealing 009","E02000246",7195,1737,785,844,294,1025,2239,271
2021,"Ealing 010","E02000247",8647,1829,867,924,402,1208,2920,497
2021,"Ealing 011","E02000248",6141,941,414,444,233,754,3084,271
2021,"Ealing 012","E02000249",6681,1405,631,704,362,854,2415,310
2021,"Ealing 013","E02000250",5211,403,230,440,122,564,3309,143
2021,"Ealing 014","E02000251",6645,1502,687,713,299,898,2245,301
2021,"Ealing 015","E02000252",10462,1596,635,824,337,2478,4218,374
2021,"Ealing 016","E02000253",8047,1762,768,971,315,1101,2863,267
2021,"Ealing 017","E02000254",7494,2025,935,809,241,919,2146,419
2021,"Ealing 018","E02000255",7879,964,485,717,206,1044,4180,283
2021,"Ealing 019","E02000256",7779,728,309,551,161,855,4969,206
2021,"Ealing 021","E02000258",5484,789,320,434,177,685,2835,244
2021,"Ealing 022","E02000259",5161,595,347,507,226,676,2621,189
2021,"Ealing 023","E02000260",7834,2229,1028,843,253,804,2128,549
2021,"Ealing 024","E02000261",10374,1577,727,841,353,1349,5114,413
2021,"Ealing 025","E02000262",7599,1101,486,585,239,942,3959,287
2021,"Ealing 026","E02000263",10848,3315,1357,1181,315,1209,2651,820
2021,"Ealing 027","E02000264",7285,784,295,459,173,845,4488,241
2021,"Ealing 028","E02000265",9084,1382,680,732,283,1115,4652,240
2021,"Ealing 029","E02000266",10328,2471,1009,1121,295,1464,3522,446
2021,"Ealing 030","E02000267",6420,857,422,665,250,842,3175,209
2021,"Ealing 031","E02000268",7799,954,410,591,206,935,4513,190
2021,"Ealing 032","E02000269",6594,519,285,469,151,714,4242,214
2021,"Ealing 033","E02000270",7770,1091,459,656,247,930,4118,269
2021,"Ealing 034","E02000271",5637,417,182,357,97,592,3892,100
2021,"Ealing 035","E02000272",5360,617,334,465,152,623,3023,146
2021,"Ealing 038","E02000275",6561,1867,774,640,173,738,1928,441
2021,"Ealing 039","E02000276",5421,549,275,395,146,663,3287,106
2021,"Enfield 001","E02000277",5728,1450,622,726,268,823,1635,204
2021,"Enfield 002","E02000278",7154,2129,734,833,280,1015,1906,257
2021,"Enfield 003","E02000279",9084,2264,896,1090,344,1270,2933,287
2021,"Enfield 004","E02000280",6738,1243,589,858,333,1013,2536,166
2021,"Enfield 005","E02000281",7377,1526,816,942,339,1149,2430,175
2021,"Enfield 006","E02000282",7159,2099,768,894,301,960,1851,286
2021,"Enfield 007","E02000283",6497,1830,687,782,295,895,1809,199
2021,"Enfield 008","E02000284",6918,1122,572,805,283,950,3020,166
2021,"Enfield 009","E02000285",5374,791,498,749,277,847,2073,139
2021,"Enfield 010","E02000286",7072,1034,577,804,279,929,3246,203
2021,"Enfield 011","E02000287",6019,981,430,645,173,761,2847,182
2021,"Enfield 012","E02000288",9488,2758,1007,1182,310,1185,2739,307
2021,"Enfield 013","E02000289",5469,777,467,624,184,849,2431,137
2021,"Enfield 014","E02000290",4854,1372,509,521,195,642,1463,152
2021,"Enfield 015","E02000291",8045,1551,680,890,314,1085,3285,240
2021,"Enfield 016","E02000292",7613,1557,701,916,313,1087,2813,226
2021,"Enfield 017","E02000293",5222,721,386,625,191,722,2440,137
2021,"Enfield 018","E02000294",7190,2074,789,818,327,965,1944,273
2021,"Enfield 019","E02000295",6893,1093,559,793,239,843,3172,194
2021,"Enfield 020","E02000296",8267,1684,599,779,295,1066,3544,300
2021,"Enfield 021","E02000297",7731,1352,695,873,327,1190,3069,225
2021,"Enfield 022","E02000298",6677,893,422,677,226,859,3438,162
2021,"Enfield 023","E02000299",7141,2138,783,816,286,854,2009,255
2021,"Enfield 024","E02000300",6741,1793,821,759,311,908,1890,259
2021,"Enfield 025","E02000301",7751,2259,854,922,273,1083,2106,254
2021,"Enfield 026","E02000302",6992,1489,655,717,279,950,2668,234
2021,"Enfield 027","E02000303",6472,1927,667,740,256,810,1844,228
2021,"Enfield 028","E02000304",6552,846,381,664,232,786,3466,177
2021,"Enfield 029","E02000305",7311,1180,463,724,226,888,3593,237
2021,"Enfield 030","E02000306",6841,2083,761,778,224,893,1861,241
2021,"Enfield 031","E02000307",7820,1974,839,896,293,1104,2430,284
2021,"Enfield 032","E02000308",7048,1313,598,684,250,906,3042,255
2021,"Enfield 033","E02000309",8797,2458,1003,1011,332,1099,2567,327
2021,"Enfield 035","E02000311",8511,2119,806,911,322,1145,2871,337
2021,"Enfield 036","E02000312",9317,1710,707,801,413,1033,4330,323
2021,"Greenwich 001","E02000313",4863,1074,492,586,194,651,1742,124
2021,"Greenwich 002","E02000314",10648,1698,1044,1362,431,1440,4316,357
2021,"Greenwich 003","E02000315",7287,1576,726,868,336,923,2640,218
2021,"Greenwich 005","E02000317",5795,1293,533,635,206,756,2213,159
2021,"Greenwich 006","E02000318",8720,2177,985,927,316,1037,2887,391
2021,"Greenwich 007","E02000319",8331,1656,789,900,283,1074,3347,282
2021,"Greenwich 008","E02000320",5481,1128,518,618,201,774,2080,162
2021,"Greenwich 009","E02000321",5983,1377,544,663,268,739,2175,217
2021,"Greenwich 011","E02000323",9960,1857,854,1144,368,1222,4204,311
2021,"Greenwich 012","E02000324",6121,1198,594,670,244,758,2465,192
2021,"Greenwich 014","E02000326",6276,819,396,523,161,788,3466,123
2021,"Greenwich 015","E02000327",5133,904,470,595,176,739,2131,118
2021,"Greenwich 016","E02000328",5354,598,255,399,100,568,3332,102
2021,"Greenwich 017","E02000329",5030,1090,491,540,195,742,1813,159
2021,"Greenwich 019","E02000331",6480,1260,514,734,247,850,2681,194
2021,"Greenwich 020","E02000332",5927,858,481,644,231,856,2707,150
2021,"Greenwich 021","E02000333",5126,447,228,395,114,531,3302,109
2021,"Greenwich 022","E02000334",5323,981,492,608,203,722,2175,142
2021,"Greenwich 023","E02000335",5285,815,505,658,237,809,2111,150
2021,"Greenwich 025","E02000337",6645,1638,643,818,265,894,2193,194
2021,"Greenwich 027","E02000339",5083,727,412,608,196,719,2324,97
2021,"Greenwich 028","E02000340",5608,973,476,676,269,823,2218,173
2021,"Greenwich 029","E02000341",6043,1479,681,789,288,790,1847,169
