"date","geography","geography code","Schoolchild or full-time student indicator: Total: All usual residents aged 5 years and over","Schoolchild or full-time student indicator: Student","Schoolchild or full-time student indicator: Not a student"
2021,"City of London 001","E02000001",8369,1163,7206
2021,"Barking and Dagenham 001","E02000002",7628,2311,5317
2021,"Barking and Dagenham 002","E02000003",10591,2637,7954
2021,"Barking and Dagenham 003","E02000004",6246,1346,4900
2021,"Barking and Dagenham 004","E02000005",10107,2862,7245
2021,"Barking and Dagenham 006","E02000007",9413,2753,6660
2021,"Barking and Dagenham 007","E02000008",12354,3491,8863
2021,"Barking and Dagenham 008","E02000009",11839,3575,8264
2021,"Barking and Dagenham 009","E02000010",8801,2438,6363
2021,"Barking and Dagenham 010","E02000011",6522,1658,4864
2021,"Barking and Dagenham 011","E02000012",10768,3028,7740
2021,"Barking and Dagenham 012","E02000013",8700,2446,6254
2021,"Barking and Dagenham 013","E02000014",9192,2487,6705
2021,"Barking and Dagenham 014","E02000015",7549,2118,5431
2021,"Barking and Dagenham 015","E02000016",9549,2916,6633
2021,"Barking and Dagenham 016","E02000017",8472,2172,6300
2021,"Barking and Dagenham 017","E02000018",8791,2551,6240
2021,"Barking and Dagenham 018","E02000019",8833,2560,6273
2021,"Barking and Dagenham 019","E02000020",12765,3682,9083
2021,"Barking and Dagenham 020","E02000021",8133,2452,5681
2021,"Barking and Dagenham 021","E02000022",6904,2283,4621
2021,"Barking and Dagenham 022","E02000023",7348,2511,4837
2021,"Barnet 001","E02000024",10278,1931,8347
2021,"Barnet 002","E02000025",8084,1594,6490
2021,"Barnet 003","E02000026",6051,1223,4828
2021,"Barnet 004","E02000027",9112,2033,7079
2021,"Barnet 005","E02000028",6153,1218,4935
2021,"Barnet 006","E02000029",8932,2065,6867
2021,"Barnet 007","E02000030",9025,1892,7133
2021,"Barnet 008","E02000031",7835,1445,6390
2021,"Barnet 009","E02000032",7635,1723,5912
2021,"Barnet 010","E02000033",8431,1809,6622
2021,"Barnet 011","E02000034",8565,1852,6713
2021,"Barnet 012","E02000035",8077,1461,6616
2021,"Barnet 013","E02000036",10533,2585,7948
2021,"Barnet 014","E02000037",10126,2603,7523
2021,"Barnet 015","E02000038",10184,2250,7934
2021,"Barnet 016","E02000039",6685,1462,5223
2021,"Barnet 017","E02000040",8553,2020,6533
2021,"Barnet 018","E02000041",8897,2122,6775
2021,"Barnet 019","E02000042",10895,2228,8667
2021,"Barnet 020","E02000043",7121,1634,5487
2021,"Barnet 021","E02000044",8282,2057,6225
2021,"Barnet 022","E02000045",9904,2355,7549
2021,"Barnet 023","E02000046",6503,1174,5329
2021,"Barnet 024","E02000047",11528,3006,8522
2021,"Barnet 025","E02000048",9587,2187,7400
2021,"Barnet 026","E02000049",9748,2739,7009
2021,"Barnet 027","E02000050",9820,2256,7564
2021,"Barnet 028","E02000051",8648,1703,6945
2021,"Barnet 029","E02000052",9283,1885,7398
2021,"Barnet 031","E02000054",7198,1656,5542
2021,"Barnet 032","E02000055",11029,2886,8143
2021,"Barnet 033","E02000056",8631,1995,6636
2021,"Barnet 034","E02000057",7342,2140,5202
2021,"Barnet 035","E02000058",9511,2216,7295
2021,"Barnet 036","E02000059",10885,2123,8762
2021,"Barnet 037","E02000060",10408,3208,7200
2021,"Barnet 038","E02000061",7935,1692,6243
2021,"Barnet 039","E02000062",6541,1633,4908
2021,"Barnet 040","E02000063",7141,1654,5487
2021,"Barnet 041","E02000064",6227,1456,4771
2021,"Bexley 001","E02000065",7515,2379,5136
2021,"Bexley 002","E02000066",8855,2393,6462
2021,"Bexley 003","E02000067",9470,2223,7247
2021,"Bexley 004","E02000068",7485,1983,5502
2021,"Bexley 005","E02000069",6712,1395,5317
2021,"Bexley 006","E02000070",7640,1494,6146
2021,"Bexley 007","E02000071",7218,1643,5575
2021,"Bexley 008","E02000072",11913,3322,8591
2021,"Bexley 009","E02000073",10140,1953,8187
2021,"Bexley 010","E02000074",8297,1942,6355
2021,"Bexley 011","E02000075",7614,1355,6259
2021,"Bexley 013","E02000077",7670,1566,6104
2021,"Bexley 014","E02000078",7433,1360,6073
2021,"Bexley 015","E02000079",8254,1515,6739
2021,"Bexley 016","E02000080",9505,1910,7595
2021,"Bexley 017","E02000081",7794,1556,6238
2021,"Bexley 018","E02000082",8772,1768,7004
2021,"Bexley 019","E02000083",10560,2294,8266
2021,"Bexley 020","E02000084",10481,2035,8446
2021,"Bexley 021","E02000085",7472,1480,5992
2021,"Bexley 022","E02000086",6822,1264,5558
2021,"Bexley 023","E02000087",7756,1402,6354
2021,"Bexley 024","E02000088",7306,1392,5914
2021,"Bexley 025","E02000089",7419,1502,5917
2021,"Bexley 026","E02000090",9149,1846,7303
2021,"Bexley 027","E02000091",9615,1762,7853
2021,"Bexley 028","E02000092",6325,1362,4963
2021,"Brent 001","E02000093",11204,2336,8868
2021,"Brent 002","E02000094",9808,2253,7555
2021,"Brent 003","E02000095",9896,2089,7807
2021,"Brent 004","E02000096",7191,1389,5802
2021,"Brent 005","E02000097",8976,1957,7019
2021,"Brent 006","E02000098",8305,1904,6401
2021,"Brent 007","E02000099",8831,2113,6718
2021,"Brent 008","E02000100",7964,1753,6211
2021,"Brent 009","E02000101",9370,2354,7016
2021,"Brent 010","E02000102",7711,2215,5496
2021,"Brent 011","E02000103",9320,2279,7041
2021,"Brent 012","E02000104",7146,1458,5688
2021,"Brent 013","E02000105",9167,2259,6908
2021,"Brent 014","E02000106",9715,2342,7373
2021,"Brent 015","E02000107",10356,2046,8310
2021,"Brent 016","E02000108",6824,1609,5215
2021,"Brent 018","E02000110",7725,1625,6100
2021,"Brent 019","E02000111",10586,2419,8167
2021,"Brent 020","E02000112",11141,2315,8826
2021,"Brent 021","E02000113",9132,2748,6384
2021,"Brent 022","E02000114",8530,1607,6923
2021,"Brent 023","E02000115",8206,1582,6624
2021,"Brent 024","E02000116",7937,1983,5954
2021,"Brent 025","E02000117",11905,3257,8648
2021,"Brent 026","E02000118",10678,2267,8411
2021,"Brent 027","E02000119",9866,2688,7178
2021,"Brent 028","E02000120",8540,1518,7022
2021,"Brent 029","E02000121",11464,2594,8870
2021,"Brent 030","E02000122",7762,1648,6114
2021,"Brent 031","E02000123",12758,3042,9716
2021,"Brent 032","E02000124",9285,1830,7455
2021,"Brent 033","E02000125",9299,1809,7490
2021,"Brent 034","E02000126",7759,1928,5831
2021,"Bromley 001","E02000127",8674,1921,6753
2021,"Bromley 002","E02000128",7268,1504,5764
2021,"Bromley 004","E02000130",7880,1430,6450
2021,"Bromley 005","E02000131",9705,1598,8107
2021,"Bromley 006","E02000132",9194,1339,7855
2021,"Bromley 007","E02000133",10192,2011,8181
2021,"Bromley 008","E02000134",10961,2124,8837
2021,"Bromley 009","E02000135",9258,1946,7312
2021,"Bromley 010","E02000136",5418,1048,4370
2021,"Bromley 011","E02000137",7906,1431,6475
2021,"Bromley 012","E02000138",8028,1094,6934
2021,"Bromley 013","E02000139",7187,1380,5807
2021,"Bromley 014","E02000140",8012,1877,6135
2021,"Bromley 015","E02000141",6707,1225,5482
2021,"Bromley 016","E02000142",8302,1723,6579
2021,"Bromley 018","E02000144",9422,1721,7701
2021,"Bromley 019","E02000145",8153,1914,6239
2021,"Bromley 020","E02000146",9034,1719,7315
2021,"Bromley 021","E02000147",7765,1632,6133
2021,"Bromley 022","E02000148",6360,1246,5114
2021,"Bromley 023","E02000149",7633,1497,6136
2021,"Bromley 024","E02000150",8122,1789,6333
2021,"Bromley 025","E02000151",7061,1317,5744
2021,"Bromley 026","E02000152",7426,1716,5710
2021,"Bromley 027","E02000153",7709,1731,5978
2021,"Bromley 028","E02000154",8040,1424,6616
2021,"Bromley 029","E02000155",6789,1106,5683
2021,"Bromley 030","E02000156",11739,2214,9525
2021,"Bromley 031","E02000157",7995,1667,6328
2021,"Bromley 032","E02000158",7310,1582,5728
2021,"Bromley 033","E02000159",6809,1247,5562
2021,"Bromley 034","E02000160",7768,1623,6145
2021,"Bromley 035","E02000161",8251,1713,6538
2021,"Bromley 036","E02000162",6823,1352,5471
2021,"Bromley 037","E02000163",7331,1379,5952
2021,"Bromley 039","E02000165",6766,1302,5464
2021,"Camden 001","E02000166",7418,1421,5997
2021,"Camden 002","E02000167",6853,1265,5588
2021,"Camden 003","E02000168",7462,1389,6073
2021,"Camden 004","E02000169",6729,1446,5283
2021,"Camden 005","E02000170",7500,1464,6036
2021,"Camden 006","E02000171",7037,1356,5681
2021,"Camden 007","E02000172",9474,2436,7038
2021,"Camden 008","E02000173",7025,1369,5656
2021,"Camden 009","E02000174",7716,1801,5915
2021,"Camden 010","E02000175",8638,1612,7026
2021,"Camden 011","E02000176",5578,909,4669
2021,"Camden 012","E02000177",8059,1833,6226
2021,"Camden 013","E02000178",8424,1491,6933
2021,"Camden 014","E02000179",5464,1274,4190
2021,"Camden 015","E02000180",7550,1796,5754
2021,"Camden 016","E02000181",7615,1300,6315
2021,"Camden 017","E02000182",6658,1517,5141
2021,"Camden 018","E02000183",7204,1429,5775
2021,"Camden 019","E02000184",8535,2705,5830
2021,"Camden 020","E02000185",8416,1966,6450
2021,"Camden 021","E02000186",5990,1598,4392
2021,"Camden 022","E02000187",9283,3281,6002
2021,"Camden 023","E02000188",6825,2361,4464
2021,"Camden 026","E02000191",5226,2393,2833
2021,"Camden 027","E02000192",6407,1534,4873
2021,"Camden 028","E02000193",5804,1689,4115
2021,"Croydon 001","E02000194",8584,1555,7029
2021,"Croydon 002","E02000195",9076,1937,7139
2021,"Croydon 003","E02000196",7428,1453,5975
2021,"Croydon 004","E02000197",8549,1875,6674
2021,"Croydon 005","E02000198",8311,1952,6359
2021,"Croydon 006","E02000199",7903,1771,6132
2021,"Croydon 007","E02000200",8451,1636,6815
2021,"Croydon 008","E02000201",8090,1814,6276
2021,"Croydon 009","E02000202",8461,2039,6422
2021,"Croydon 010","E02000203",7424,1701,5723
2021,"Croydon 011","E02000204",9026,2133,6893
2021,"Croydon 013","E02000206",9982,2379,7603
2021,"Croydon 014","E02000207",8372,1879,6493
2021,"Croydon 015","E02000208",9943,2642,7301
2021,"Croydon 016","E02000209",8535,2425,6110
2021,"Croydon 017","E02000210",8148,1770,6378
2021,"Croydon 018","E02000211",7854,1442,6412
2021,"Croydon 019","E02000212",8782,2400,6382
2021,"Croydon 020","E02000213",11677,2641,9036
2021,"Croydon 021","E02000214",5844,1107,4737
2021,"Croydon 022","E02000215",10906,2000,8906
2021,"Croydon 023","E02000216",6702,1328,5374
2021,"Croydon 024","E02000217",10985,2399,8586
2021,"Croydon 025","E02000218",6302,1701,4601
2021,"Croydon 026","E02000219",7329,1198,6131
2021,"Croydon 028","E02000221",10159,2620,7539
2021,"Croydon 029","E02000222",7793,1463,6330
2021,"Croydon 030","E02000223",8020,2800,5220
2021,"Croydon 031","E02000224",7459,1505,5954
2021,"Croydon 032","E02000225",7084,1752,5332
2021,"Croydon 033","E02000226",7266,1427,5839
2021,"Croydon 034","E02000227",11003,2151,8852
2021,"Croydon 035","E02000228",7534,1456,6078
2021,"Croydon 036","E02000229",5866,1545,4321
2021,"Croydon 037","E02000230",9855,1799,8056
2021,"Croydon 038","E02000231",7542,1433,6109
2021,"Croydon 039","E02000232",5906,1122,4784
2021,"Croydon 040","E02000233",5951,1266,4685
2021,"Croydon 041","E02000234",8802,1862,6940
2021,"Croydon 042","E02000235",6499,1173,5326
2021,"Croydon 043","E02000236",8416,1754,6662
2021,"Croydon 044","E02000237",7140,1314,5826
2021,"Ealing 001","E02000238",10089,2288,7801
2021,"Ealing 002","E02000239",8592,1800,6792
2021,"Ealing 003","E02000240",10496,2659,7837
2021,"Ealing 004","E02000241",6956,1625,5331
2021,"Ealing 005","E02000242",6540,1434,5106
2021,"Ealing 006","E02000243",8252,1780,6472
2021,"Ealing 007","E02000244",7436,1590,5846
2021,"Ealing 008","E02000245",8503,2245,6258
2021,"Ealing 009","E02000246",8843,2412,6431
2021,"Ealing 010","E02000247",10430,2601,7829
2021,"Ealing 011","E02000248",7146,1516,5630
2021,"Ealing 012","E02000249",7864,1772,6092
2021,"Ealing 013","E02000250",6172,1314,4858
2021,"Ealing 014","E02000251",7864,1807,6057
2021,"Ealing 015","E02000252",11668,3988,7680
2021,"Ealing 016","E02000253",9714,2503,7211
2021,"Ealing 017","E02000254",8761,1987,6774
2021,"Ealing 018","E02000255",9288,2128,7160
2021,"Ealing 019","E02000256",8707,1470,7237
2021,"Ealing 021","E02000258",6503,1463,5040
2021,"Ealing 022","E02000259",6238,1474,4764
2021,"Ealing 023","E02000260",9318,2279,7039
2021,"Ealing 024","E02000261",11896,2576,9320
2021,"Ealing 025","E02000262",8777,1842,6935
2021,"Ealing 026","E02000263",12934,3251,9683
2021,"Ealing 027","E02000264",8120,1472,6648
2021,"Ealing 028","E02000265",10514,2099,8415
2021,"Ealing 029","E02000266",12280,3052,9228
2021,"Ealing 030","E02000267",7653,1702,5951
2021,"Ealing 031","E02000268",8779,1610,7169
2021,"Ealing 032","E02000269",7654,1469,6185
2021,"Ealing 033","E02000270",8906,1778,7128
2021,"Ealing 034","E02000271",6524,1257,5267
2021,"Ealing 035","E02000272",6384,1401,4983
2021,"Ealing 038","E02000275",7729,1808,5921
2021,"Ealing 039","E02000276",6337,1360,4977
2021,"Enfield 001","E02000277",7037,1905,5132
2021,"Enfield 002","E02000278",8860,2525,6335
2021,"Enfield 003","E02000279",11372,3286,8086
2021,"Enfield 004","E02000280",8051,1786,6265
2021,"Enfield 005","E02000281",8998,2321,6677
2021,"Enfield 006","E02000282",9170,2877,6293
2021,"Enfield 007","E02000283",8012,2182,5830
2021,"Enfield 008","E02000284",8140,1646,6494
2021,"Enfield 009","E02000285",6271,1224,5047
2021,"Enfield 010","E02000286",8190,1489,6701
2021,"Enfield 011","E02000287",6964,1318,5646
2021,"Enfield 012","E02000288",11896,3648,8248
2021,"Enfield 013","E02000289",6451,1346,5105
2021,"Enfield 014","E02000290",6135,1825,4310
2021,"Enfield 015","E02000291",9435,1954,7481
2021,"Enfield 016","E02000292",9200,2262,6938
2021,"Enfield 017","E02000293",6104,1196,4908
2021,"Enfield 018","E02000294",8843,2423,6420
2021,"Enfield 019","E02000295",8156,1753,6403
2021,"Enfield 020","E02000296",9719,2111,7608
2021,"Enfield 021","E02000297",8863,1605,7258
2021,"Enfield 022","E02000298",7790,1469,6321
2021,"Enfield 023","E02000299",8873,2548,6325
2021,"Enfield 024","E02000300",8181,2175,6006
2021,"Enfield 025","E02000301",9565,2736,6829
2021,"Enfield 026","E02000302",8176,1668,6508
2021,"Enfield 027","E02000303",7803,2091,5712
2021,"Enfield 028","E02000304",7621,1530,6091
2021,"Enfield 029","E02000305",8313,1470,6843
2021,"Enfield 030","E02000306",8464,2394,6070
2021,"Enfield 031","E02000307",9517,2494,7023
2021,"Enfield 032","E02000308",8227,1750,6477
2021,"Enfield 033","E02000309",10919,3149,7770
2021,"Enfield 035","E02000311",9897,2079,7818
2021,"Enfield 036","E02000312",10523,1884,8639
2021,"Greenwich 001","E02000313",6055,1691,4364
2021,"Greenwich 002","E02000314",13099,3576,9523
2021,"Greenwich 003","E02000315",9197,2760,6437
2021,"Greenwich 005","E02000317",7046,1843,5203
2021,"Greenwich 006","E02000318",10258,2534,7724
2021,"Greenwich 007","E02000319",9868,2263,7605
2021,"Greenwich 008","E02000320",6590,1588,5002
2021,"Greenwich 009","E02000321",7190,1770,5420
2021,"Greenwich 011","E02000323",11943,3148,8795
2021,"Greenwich 012","E02000324",7353,1809,5544
2021,"Greenwich 014","E02000326",7317,1454,5863
2021,"Greenwich 015","E02000327",6131,1499,4632
2021,"Greenwich 016","E02000328",6151,1113,5038
2021,"Greenwich 017","E02000329",5913,1265,4648
2021,"Greenwich 019","E02000331",7666,1743,5923
2021,"Greenwich 020","E02000332",7000,1474,5526
2021,"Greenwich 021","E02000333",5921,1046,4875
2021,"Greenwich 022","E02000334",6230,1328,4902
2021,"Greenwich 023","E02000335",6211,1197,5014
2021,"Greenwich 025","E02000337",7997,1860,6137
2021,"Greenwich 027","E02000339",5928,1136,4792
2021,"Greenwich 028","E02000340",6467,1156,5311
2021,"Greenwich 029","E02000341",7468,1910,5558
2021,"Greenwich 030","E02000342",5969,1751,4218
2021,"Greenwich 031","E02000343",6629,1393,5236
2021,"Greenwich 032","E02000344",5999,1145,4854
2021,"Hackney 001","E02000345",7278,2524,4754
2021,"Hackney 002","E02000346",8695,1903,6792
2021,"Hackney 003","E02000347",7242,2442,4800
2021,"Hackney 004","E02000348",7197,2453,4744
2021,"Hackney 006","E02000350",9486,2030,7456
2021,"Hackney 007","E02000351",8767,1516,7251
2021,"Hackney 008","E02000352",6271,1397,4874
2021,"Hackney 009","E02000353",7349,1297,6052
