"date","geography","geography code","UK armed forces veteran indicator: Total: All usual residents","UK armed forces veteran indicator: Previously served in UK armed forces","UK armed forces veteran indicator: Previously served in UK reserve armed forces","UK armed forces veteran indicator: Previously served in both regular and reserve UK armed forces","UK armed forces veteran indicator: Has not previously served in any UK armed forces"
2021,"City of London 001","E02000001",8004,77,61,6,7860
2021,"Barking and Dagenham 001","E02000002",5985,60,24,4,5897
2021,"Barking and Dagenham 002","E02000003",8848,81,41,9,8717
2021,"Barking and Dagenham 003","E02000004",5315,72,30,4,5209
2021,"Barking and Dagenham 004","E02000005",7986,78,32,0,7876
2021,"Barking and Dagenham 006","E02000007",7467,85,28,5,7349
2021,"Barking and Dagenham 007","E02000008",9848,98,41,7,9702
2021,"Barking and Dagenham 008","E02000009",9354,93,35,7,9219
2021,"Barking and Dagenham 009","E02000010",7074,73,21,0,6980
2021,"Barking and Dagenham 010","E02000011",5417,70,22,4,5321
2021,"Barking and Dagenham 011","E02000012",8843,58,39,2,8744
2021,"Barking and Dagenham 012","E02000013",6966,67,24,4,6871
2021,"Barking and Dagenham 013","E02000014",7432,92,28,2,7310
2021,"Barking and Dagenham 014","E02000015",6028,54,35,3,5936
2021,"Barking and Dagenham 015","E02000016",7582,24,24,1,7533
2021,"Barking and Dagenham 016","E02000017",7141,29,23,2,7087
2021,"Barking and Dagenham 017","E02000018",7000,62,34,2,6902
2021,"Barking and Dagenham 018","E02000019",7022,75,30,3,6914
2021,"Barking and Dagenham 019","E02000020",10266,76,32,6,10152
2021,"Barking and Dagenham 020","E02000021",6368,58,30,2,6278
2021,"Barking and Dagenham 021","E02000022",5417,20,11,0,5386
2021,"Barking and Dagenham 022","E02000023",5606,38,23,0,5545
2021,"Barnet 001","E02000024",8923,132,48,9,8734
2021,"Barnet 002","E02000025",6987,94,25,0,6868
2021,"Barnet 003","E02000026",5216,76,38,5,5097
2021,"Barnet 004","E02000027",7727,95,43,5,7584
2021,"Barnet 005","E02000028",5305,69,30,6,5200
2021,"Barnet 006","E02000029",7438,65,31,4,7338
2021,"Barnet 007","E02000030",7717,97,41,6,7573
2021,"Barnet 008","E02000031",6809,73,29,2,6705
2021,"Barnet 009","E02000032",6424,57,29,2,6336
2021,"Barnet 010","E02000033",7146,60,28,9,7049
2021,"Barnet 011","E02000034",7280,79,34,4,7163
2021,"Barnet 012","E02000035",7084,52,41,3,6988
2021,"Barnet 013","E02000036",8648,65,25,2,8556
2021,"Barnet 014","E02000037",8215,70,24,6,8115
2021,"Barnet 015","E02000038",8642,68,26,2,8546
2021,"Barnet 016","E02000039",5657,57,31,5,5564
2021,"Barnet 017","E02000040",7250,68,28,6,7148
2021,"Barnet 018","E02000041",7446,66,19,2,7359
2021,"Barnet 019","E02000042",9404,62,26,8,9308
2021,"Barnet 020","E02000043",5891,41,26,2,5822
2021,"Barnet 021","E02000044",6874,60,22,2,6790
2021,"Barnet 022","E02000045",8284,52,47,3,8182
2021,"Barnet 023","E02000046",5700,41,24,0,5635
2021,"Barnet 024","E02000047",9580,125,27,4,9424
2021,"Barnet 025","E02000048",8087,65,29,3,7990
2021,"Barnet 026","E02000049",8020,40,23,2,7955
2021,"Barnet 027","E02000050",8365,74,23,5,8263
2021,"Barnet 028","E02000051",7494,60,20,2,7412
2021,"Barnet 029","E02000052",7973,69,34,1,7869
2021,"Barnet 031","E02000054",6222,31,20,3,6168
2021,"Barnet 032","E02000055",9496,63,37,2,9394
2021,"Barnet 033","E02000056",7201,68,30,4,7099
2021,"Barnet 034","E02000057",5934,30,9,1,5894
2021,"Barnet 035","E02000058",7961,67,37,6,7851
2021,"Barnet 036","E02000059",9623,51,22,1,9549
2021,"Barnet 037","E02000060",7996,43,25,3,7925
2021,"Barnet 038","E02000061",6887,45,19,4,6819
2021,"Barnet 039","E02000062",5465,34,16,3,5412
2021,"Barnet 040","E02000063",6082,23,23,2,6034
2021,"Barnet 041","E02000064",5334,24,16,3,5291
2021,"Bexley 001","E02000065",5939,59,32,3,5845
2021,"Bexley 002","E02000066",7252,84,35,6,7127
2021,"Bexley 003","E02000067",7906,90,37,9,7770
2021,"Bexley 004","E02000068",6029,88,28,4,5909
2021,"Bexley 005","E02000069",5676,109,39,6,5522
2021,"Bexley 006","E02000070",6555,113,49,8,6385
2021,"Bexley 007","E02000071",5986,115,50,8,5813
2021,"Bexley 008","E02000072",9488,121,40,7,9320
2021,"Bexley 009","E02000073",8704,169,59,9,8467
2021,"Bexley 010","E02000074",6861,110,34,5,6712
2021,"Bexley 011","E02000075",6606,141,46,5,6414
2021,"Bexley 013","E02000077",6570,136,35,5,6394
2021,"Bexley 014","E02000078",6394,129,55,8,6202
2021,"Bexley 015","E02000079",7097,144,51,4,6898
2021,"Bexley 016","E02000080",8087,142,47,8,7890
2021,"Bexley 017","E02000081",6617,149,46,7,6415
2021,"Bexley 018","E02000082",7455,145,52,10,7248
2021,"Bexley 019","E02000083",8883,151,49,8,8675
2021,"Bexley 020","E02000084",8929,192,44,7,8686
2021,"Bexley 021","E02000085",6381,112,29,12,6228
2021,"Bexley 022","E02000086",5853,93,43,4,5713
2021,"Bexley 023","E02000087",6723,141,50,8,6524
2021,"Bexley 024","E02000088",6272,126,38,6,6102
2021,"Bexley 025","E02000089",6351,118,64,6,6163
2021,"Bexley 026","E02000090",8110,153,47,8,7902
2021,"Bexley 027","E02000091",8414,174,64,8,8168
2021,"Bexley 028","E02000092",5295,97,53,11,5134
2021,"Brent 001","E02000093",9784,53,30,0,9701
2021,"Brent 002","E02000094",8463,50,14,1,8398
2021,"Brent 003","E02000095",8594,28,23,0,8543
2021,"Brent 004","E02000096",6274,36,18,1,6219
2021,"Brent 005","E02000097",7758,44,26,4,7684
2021,"Brent 006","E02000098",7155,34,12,2,7107
2021,"Brent 007","E02000099",7541,26,19,1,7495
2021,"Brent 008","E02000100",7179,40,21,0,7118
2021,"Brent 009","E02000101",7933,42,17,3,7871
2021,"Brent 010","E02000102",6226,23,16,2,6185
2021,"Brent 011","E02000103",7852,29,21,3,7799
2021,"Brent 012","E02000104",6266,26,18,3,6219
2021,"Brent 013","E02000105",7854,53,16,1,7784
2021,"Brent 014","E02000106",8259,41,25,3,8190
2021,"Brent 015","E02000107",9066,48,31,2,8985
2021,"Brent 016","E02000108",5856,29,11,0,5816
2021,"Brent 018","E02000110",6770,38,16,6,6710
2021,"Brent 019","E02000111",9033,67,26,2,8938
2021,"Brent 020","E02000112",9702,18,25,0,9659
2021,"Brent 021","E02000113",7431,23,24,3,7381
2021,"Brent 022","E02000114",7598,40,30,1,7527
2021,"Brent 023","E02000115",7290,46,20,1,7223
2021,"Brent 024","E02000116",6675,20,12,2,6641
2021,"Brent 025","E02000117",9680,36,25,4,9615
2021,"Brent 026","E02000118",9250,56,13,0,9181
2021,"Brent 027","E02000119",8172,38,22,1,8111
2021,"Brent 028","E02000120",7608,33,22,0,7553
2021,"Brent 029","E02000121",9846,45,18,0,9783
2021,"Brent 030","E02000122",6686,32,24,4,6626
2021,"Brent 031","E02000123",10788,49,29,6,10704
2021,"Brent 032","E02000124",8116,42,35,1,8038
2021,"Brent 033","E02000125",8066,52,22,1,7991
2021,"Brent 034","E02000126",6574,26,16,0,6532
2021,"Bromley 001","E02000127",7220,100,43,6,7071
2021,"Bromley 002","E02000128",6101,107,40,6,5948
2021,"Bromley 004","E02000130",6820,77,31,6,6706
2021,"Bromley 005","E02000131",8634,58,58,1,8517
2021,"Bromley 006","E02000132",8230,109,47,4,8070
2021,"Bromley 007","E02000133",8700,167,66,7,8460
2021,"Bromley 008","E02000134",9441,99,60,7,9275
2021,"Bromley 009","E02000135",7972,65,31,6,7870
2021,"Bromley 010","E02000136",4654,119,35,11,4489
2021,"Bromley 011","E02000137",6822,133,37,6,6646
2021,"Bromley 012","E02000138",7235,158,55,6,7016
2021,"Bromley 013","E02000139",6140,76,39,4,6021
2021,"Bromley 014","E02000140",6585,100,37,4,6444
2021,"Bromley 015","E02000141",5825,54,39,4,5728
2021,"Bromley 016","E02000142",7007,114,41,4,6848
2021,"Bromley 018","E02000144",8106,94,43,6,7963
2021,"Bromley 019","E02000145",6678,102,38,6,6532
2021,"Bromley 020","E02000146",7733,127,57,3,7546
2021,"Bromley 021","E02000147",6566,117,38,9,6402
2021,"Bromley 022","E02000148",5407,108,43,3,5253
2021,"Bromley 023","E02000149",6500,120,46,9,6325
2021,"Bromley 024","E02000150",6746,99,36,7,6604
2021,"Bromley 025","E02000151",6005,114,42,5,5844
2021,"Bromley 026","E02000152",6132,101,35,8,5988
2021,"Bromley 027","E02000153",6380,107,43,11,6219
2021,"Bromley 028","E02000154",6979,129,37,10,6803
2021,"Bromley 029","E02000155",5972,164,42,11,5755
2021,"Bromley 030","E02000156",10073,225,84,12,9752
2021,"Bromley 031","E02000157",6743,166,56,6,6515
2021,"Bromley 032","E02000158",6126,122,55,12,5937
2021,"Bromley 033","E02000159",5905,117,49,7,5732
2021,"Bromley 034","E02000160",6534,120,55,6,6353
2021,"Bromley 035","E02000161",6918,126,60,13,6719
2021,"Bromley 036","E02000162",5790,152,47,9,5582
2021,"Bromley 037","E02000163",6298,129,60,13,6096
2021,"Bromley 039","E02000165",5782,142,58,8,5574
2021,"Camden 001","E02000166",6528,75,32,3,6418
2021,"Camden 002","E02000167",6003,63,30,4,5906
2021,"Camden 003","E02000168",6623,51,33,1,6538
2021,"Camden 004","E02000169",5757,51,18,1,5687
2021,"Camden 005","E02000170",6578,36,26,2,6514
2021,"Camden 006","E02000171",6213,49,34,4,6126
2021,"Camden 007","E02000172",8166,51,36,5,8074
2021,"Camden 008","E02000173",6172,38,30,1,6103
2021,"Camden 009","E02000174",6759,39,18,1,6701
2021,"Camden 010","E02000175",7880,34,31,0,7815
2021,"Camden 011","E02000176",4969,35,21,5,4908
2021,"Camden 012","E02000177",7098,52,23,1,7022
2021,"Camden 013","E02000178",7612,24,25,3,7560
2021,"Camden 014","E02000179",4720,34,13,3,4670
2021,"Camden 015","E02000180",6742,35,22,1,6684
2021,"Camden 016","E02000181",6842,37,34,4,6767
2021,"Camden 017","E02000182",5785,31,19,2,5733
2021,"Camden 018","E02000183",6446,56,29,3,6358
2021,"Camden 019","E02000184",7747,33,23,2,7689
2021,"Camden 020","E02000185",7265,39,29,0,7197
2021,"Camden 021","E02000186",5436,33,20,1,5382
2021,"Camden 022","E02000187",7986,45,21,1,7919
2021,"Camden 023","E02000188",5930,35,17,0,5878
2021,"Camden 026","E02000191",5024,28,24,4,4968
2021,"Camden 027","E02000192",5740,47,22,2,5669
2021,"Camden 028","E02000193",5501,41,17,6,5437
2021,"Croydon 001","E02000194",7483,78,35,5,7365
2021,"Croydon 002","E02000195",7741,68,31,3,7639
2021,"Croydon 003","E02000196",6480,39,20,1,6420
