"date","geography","geography code","Number of people in household who previously served in UK armed forces: Total: All households","Number of people in household who previously served in UK armed forces: No people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 1 person in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 2 people in the household previously served in UK armed forces","Number of people in household who previously served in UK armed forces: 3 or more people in the household previously served in UK armed forces"
2021,"City of London 001","E02000001",4914,4775,139,0,0
2021,"Barking and Dagenham 001","E02000002",2869,2785,83,1,0
2021,"Barking and Dagenham 002","E02000003",3932,3803,123,6,0
2021,"Barking and Dagenham 003","E02000004",2309,2207,100,2,0
2021,"Barking and Dagenham 004","E02000005",3628,3522,102,4,0
2021,"Barking and Dagenham 006","E02000007",3676,3565,110,1,0
2021,"Barking and Dagenham 007","E02000008",4623,4480,138,4,1
2021,"Barking and Dagenham 008","E02000009",4254,4124,124,6,0
2021,"Barking and Dagenham 009","E02000010",3326,3233,92,1,0
2021,"Barking and Dagenham 010","E02000011",2353,2262,87,3,1
2021,"Barking and Dagenham 011","E02000012",3289,3197,84,7,1
2021,"Barking and Dagenham 012","E02000013",3254,3161,90,3,0
2021,"Barking and Dagenham 013","E02000014",3388,3272,114,2,0
2021,"Barking and Dagenham 014","E02000015",3033,2945,84,4,0
2021,"Barking and Dagenham 015","E02000016",3810,3767,40,3,0
2021,"Barking and Dagenham 016","E02000017",2765,2712,53,0,0
2021,"Barking and Dagenham 017","E02000018",3234,3139,92,3,0
2021,"Barking and Dagenham 018","E02000019",3206,3112,90,3,1
2021,"Barking and Dagenham 019","E02000020",4673,4566,102,5,0
2021,"Barking and Dagenham 020","E02000021",2931,2846,81,3,1
2021,"Barking and Dagenham 021","E02000022",2797,2767,27,3,0
2021,"Barking and Dagenham 022","E02000023",2663,2603,59,1,0
2021,"Barnet 001","E02000024",4476,4297,175,4,0
2021,"Barnet 002","E02000025",3746,3627,119,0,0
2021,"Barnet 003","E02000026",2512,2395,115,2,0
2021,"Barnet 004","E02000027",3685,3553,129,3,0
2021,"Barnet 005","E02000028",2693,2590,101,2,0
2021,"Barnet 006","E02000029",3707,3610,94,3,0
2021,"Barnet 007","E02000030",3519,3387,130,2,0
2021,"Barnet 008","E02000031",3327,3229,96,2,0
2021,"Barnet 009","E02000032",2744,2657,86,1,0
2021,"Barnet 010","E02000033",3495,3402,90,3,0
2021,"Barnet 011","E02000034",3588,3481,99,7,1
2021,"Barnet 012","E02000035",3528,3434,92,2,0
2021,"Barnet 013","E02000036",3944,3857,84,3,0
2021,"Barnet 014","E02000037",3718,3621,95,2,0
2021,"Barnet 015","E02000038",4005,3928,76,1,0
2021,"Barnet 016","E02000039",2674,2583,90,1,0
2021,"Barnet 017","E02000040",3509,3411,97,1,0
2021,"Barnet 018","E02000041",3326,3243,80,3,0
2021,"Barnet 019","E02000042",4717,4625,89,3,0
2021,"Barnet 020","E02000043",2666,2600,64,2,0
2021,"Barnet 021","E02000044",3070,2989,77,4,0
2021,"Barnet 022","E02000045",4199,4113,82,2,2
2021,"Barnet 023","E02000046",2879,2815,63,1,0
2021,"Barnet 024","E02000047",4211,4073,128,7,3
2021,"Barnet 025","E02000048",3950,3853,97,0,0
2021,"Barnet 026","E02000049",3802,3740,59,3,0
2021,"Barnet 027","E02000050",4035,3933,102,0,0
2021,"Barnet 028","E02000051",3793,3711,82,0,0
2021,"Barnet 029","E02000052",4191,4090,99,2,0
2021,"Barnet 031","E02000054",2970,2921,47,2,0
2021,"Barnet 032","E02000055",4506,4409,94,3,0
2021,"Barnet 033","E02000056",3443,3343,99,1,0
2021,"Barnet 034","E02000057",2706,2666,40,0,0
2021,"Barnet 035","E02000058",4100,3991,103,6,0
2021,"Barnet 036","E02000059",4436,4365,69,1,1
2021,"Barnet 037","E02000060",3696,3635,59,2,0
2021,"Barnet 038","E02000061",3573,3508,65,0,0
2021,"Barnet 039","E02000062",2615,2564,49,2,0
2021,"Barnet 040","E02000063",2833,2787,45,0,1
2021,"Barnet 041","E02000064",2762,2719,42,1,0
2021,"Bexley 001","E02000065",2775,2685,86,4,0
2021,"Bexley 002","E02000066",3548,3439,104,4,1
2021,"Bexley 003","E02000067",3982,3851,128,3,0
2021,"Bexley 004","E02000068",3196,3079,114,3,0
2021,"Bexley 005","E02000069",2813,2667,140,6,0
2021,"Bexley 006","E02000070",3140,2976,159,5,0
2021,"Bexley 007","E02000071",2831,2664,164,3,0
2021,"Bexley 008","E02000072",4687,4521,166,0,0
2021,"Bexley 009","E02000073",3956,3721,234,1,0
2021,"Bexley 010","E02000074",3503,3355,148,0,0
2021,"Bexley 011","E02000075",3149,2962,182,5,0
2021,"Bexley 013","E02000077",2936,2767,162,7,0
2021,"Bexley 014","E02000078",3019,2832,185,2,0
2021,"Bexley 015","E02000079",3586,3413,166,7,0
2021,"Bexley 016","E02000080",3815,3620,192,3,0
2021,"Bexley 017","E02000081",3279,3089,186,4,0
2021,"Bexley 018","E02000082",3443,3242,194,7,0
2021,"Bexley 019","E02000083",4446,4242,200,4,0
2021,"Bexley 020","E02000084",4199,3960,235,4,0
2021,"Bexley 021","E02000085",3073,2923,147,3,0
2021,"Bexley 022","E02000086",2789,2651,134,4,0
2021,"Bexley 023","E02000087",3321,3124,194,3,0
2021,"Bexley 024","E02000088",2980,2814,162,4,0
2021,"Bexley 025","E02000089",2905,2729,175,1,0
2021,"Bexley 026","E02000090",4194,4006,185,3,0
2021,"Bexley 027","E02000091",4448,4213,232,2,1
2021,"Bexley 028","E02000092",2714,2562,147,5,0
2021,"Brent 001","E02000093",3740,3663,75,2,0
2021,"Brent 002","E02000094",3467,3411,56,0,0
2021,"Brent 003","E02000095",3185,3139,41,3,2
2021,"Brent 004","E02000096",2497,2447,47,2,1
2021,"Brent 005","E02000097",3038,2965,73,0,0
2021,"Brent 006","E02000098",2875,2832,41,2,0
2021,"Brent 007","E02000099",2918,2871,47,0,0
2021,"Brent 008","E02000100",2568,2508,59,1,0
2021,"Brent 009","E02000101",3386,3334,50,2,0
2021,"Brent 010","E02000102",2686,2648,36,2,0
2021,"Brent 011","E02000103",3461,3413,47,0,1
2021,"Brent 012","E02000104",2416,2375,39,2,0
2021,"Brent 013","E02000105",3107,3040,66,1,0
2021,"Brent 014","E02000106",3585,3522,60,2,1
2021,"Brent 015","E02000107",4362,4288,70,4,0
2021,"Brent 016","E02000108",2273,2236,35,2,0
2021,"Brent 018","E02000110",3094,3035,59,0,0
2021,"Brent 019","E02000111",3190,3109,74,6,1
2021,"Brent 020","E02000112",3496,3453,43,0,0
2021,"Brent 021","E02000113",3288,3240,48,0,0
2021,"Brent 022","E02000114",3707,3638,67,1,1
2021,"Brent 023","E02000115",3877,3812,64,1,0
