"date","geography","geography code","Residence type: Total","Residence type: Lives in a household","Residence type: Lives in a communal establishment"
2021,"City of London 001","E02000001",144,139,5
2021,"Barking and Dagenham 001","E02000002",87,85,2
2021,"Barking and Dagenham 002","E02000003",131,131,0
2021,"Barking and Dagenham 003","E02000004",106,103,3
2021,"Barking and Dagenham 004","E02000005",109,109,0
2021,"Barking and Dagenham 006","E02000007",117,112,5
2021,"Barking and Dagenham 007","E02000008",148,148,0
2021,"Barking and Dagenham 008","E02000009",135,135,0
2021,"Barking and Dagenham 009","E02000010",95,95,0
2021,"Barking and Dagenham 010","E02000011",96,96,0
2021,"Barking and Dagenham 011","E02000012",100,100,0
2021,"Barking and Dagenham 012","E02000013",95,95,0
2021,"Barking and Dagenham 013","E02000014",123,118,5
2021,"Barking and Dagenham 014","E02000015",92,92,0
2021,"Barking and Dagenham 015","E02000016",51,51,0
2021,"Barking and Dagenham 016","E02000017",55,53,2
2021,"Barking and Dagenham 017","E02000018",98,98,0
2021,"Barking and Dagenham 018","E02000019",106,97,9
2021,"Barking and Dagenham 019","E02000020",112,112,0
2021,"Barking and Dagenham 020","E02000021",90,88,2
2021,"Barking and Dagenham 021","E02000022",31,31,0
2021,"Barking and Dagenham 022","E02000023",63,63,0
2021,"Barnet 001","E02000024",189,183,6
2021,"Barnet 002","E02000025",119,119,0
2021,"Barnet 003","E02000026",119,119,0
2021,"Barnet 004","E02000027",145,135,10
2021,"Barnet 005","E02000028",106,103,3
2021,"Barnet 006","E02000029",100,100,0
2021,"Barnet 007","E02000030",144,134,10
2021,"Barnet 008","E02000031",105,100,5
2021,"Barnet 009","E02000032",88,88,0
2021,"Barnet 010","E02000033",96,94,2
2021,"Barnet 011","E02000034",117,116,1
2021,"Barnet 012","E02000035",96,96,0
2021,"Barnet 013","E02000036",92,90,2
2021,"Barnet 014","E02000037",97,97,0
2021,"Barnet 015","E02000038",96,78,18
2021,"Barnet 016","E02000039",92,92,0
2021,"Barnet 017","E02000040",102,98,4
2021,"Barnet 018","E02000041",90,89,1
2021,"Barnet 019","E02000042",97,95,2
2021,"Barnet 020","E02000043",68,68,0
2021,"Barnet 021","E02000044",86,86,0
2021,"Barnet 022","E02000045",102,98,4
2021,"Barnet 023","E02000046",65,65,0
2021,"Barnet 024","E02000047",159,146,13
2021,"Barnet 025","E02000048",97,97,0
2021,"Barnet 026","E02000049",65,65,0
2021,"Barnet 027","E02000050",102,102,0
2021,"Barnet 028","E02000051",83,83,0
2021,"Barnet 029","E02000052",103,103,0
2021,"Barnet 031","E02000054",54,54,0
2021,"Barnet 032","E02000055",102,100,2
2021,"Barnet 033","E02000056",102,101,1
