"date","geography","geography code","Household reference person previously served in UK armed forces: Total: All households","Household reference person previously served in UK armed forces: Household reference person previously served in regular UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person previously served in both regular and reserve UK armed forces","Household reference person previously served in UK armed forces: Household reference person has not previously served in regular or reserve UK armed forces"
2021,"City of London 001","E02000001",4914,65,44,5,4800
2021,"Barking and Dagenham 001","E02000002",2869,52,14,2,2801
2021,"Barking and Dagenham 002","E02000003",3929,56,31,7,3835
2021,"Barking and Dagenham 003","E02000004",2310,51,19,3,2237
2021,"Barking and Dagenham 004","E02000005",3626,67,18,0,3541
2021,"Barking and Dagenham 006","E02000007",3675,61,14,3,3597
2021,"Barking and Dagenham 007","E02000008",4622,74,22,5,4521
2021,"Barking and Dagenham 008","E02000009",4254,79,23,5,4147
2021,"Barking and Dagenham 009","E02000010",3327,50,15,0,3262
2021,"Barking and Dagenham 010","E02000011",2354,54,14,4,2282
2021,"Barking and Dagenham 011","E02000012",3286,49,22,0,3215
2021,"Barking and Dagenham 012","E02000013",3253,54,14,3,3182
2021,"Barking and Dagenham 013","E02000014",3387,62,19,1,3305
2021,"Barking and Dagenham 014","E02000015",3034,40,23,3,2968
2021,"Barking and Dagenham 015","E02000016",3809,17,15,0,3777
2021,"Barking and Dagenham 016","E02000017",2764,22,11,2,2729
2021,"Barking and Dagenham 017","E02000018",3234,51,26,2,3155
2021,"Barking and Dagenham 018","E02000019",3206,48,16,3,3139
2021,"Barking and Dagenham 019","E02000020",4671,67,23,2,4579
2021,"Barking and Dagenham 020","E02000021",2930,41,18,2,2869
2021,"Barking and Dagenham 021","E02000022",2793,12,7,0,2774
2021,"Barking and Dagenham 022","E02000023",2661,28,11,0,2622
2021,"Barnet 001","E02000024",4477,101,31,6,4339
2021,"Barnet 002","E02000025",3746,78,20,0,3648
2021,"Barnet 003","E02000026",2512,68,27,3,2414
2021,"Barnet 004","E02000027",3685,73,29,3,3580
2021,"Barnet 005","E02000028",2691,58,16,3,2614
2021,"Barnet 006","E02000029",3709,54,23,4,3628
2021,"Barnet 007","E02000030",3519,75,28,4,3412
2021,"Barnet 008","E02000031",3325,58,20,2,3245
2021,"Barnet 009","E02000032",2745,43,14,2,2686
2021,"Barnet 010","E02000033",3494,49,15,7,3423
2021,"Barnet 011","E02000034",3588,60,19,4,3505
2021,"Barnet 012","E02000035",3527,35,31,3,3458
2021,"Barnet 013","E02000036",3947,52,12,1,3882
2021,"Barnet 014","E02000037",3718,58,16,6,3638
2021,"Barnet 015","E02000038",4007,34,22,2,3949
2021,"Barnet 016","E02000039",2674,31,17,5,2621
2021,"Barnet 017","E02000040",3509,50,20,5,3434
2021,"Barnet 018","E02000041",3325,42,16,2,3265
2021,"Barnet 019","E02000042",4715,49,15,7,4644
2021,"Barnet 020","E02000043",2666,27,13,1,2625
2021,"Barnet 021","E02000044",3070,40,14,2,3014
2021,"Barnet 022","E02000045",4201,36,26,1,4138
2021,"Barnet 023","E02000046",2880,35,17,0,2828
2021,"Barnet 024","E02000047",4209,81,14,3,4111
2021,"Barnet 025","E02000048",3950,51,19,3,3877
2021,"Barnet 026","E02000049",3801,30,10,2,3759
2021,"Barnet 027","E02000050",4035,56,16,5,3958
2021,"Barnet 028","E02000051",3793,56,11,2,3724
2021,"Barnet 029","E02000052",4190,50,17,1,4122
2021,"Barnet 031","E02000054",2973,24,13,1,2935
2021,"Barnet 032","E02000055",4505,56,23,1,4425
2021,"Barnet 033","E02000056",3442,60,16,4,3362
2021,"Barnet 034","E02000057",2706,25,6,1,2674
2021,"Barnet 035","E02000058",4097,53,32,4,4008
2021,"Barnet 036","E02000059",4436,28,15,1,4392
2021,"Barnet 037","E02000060",3694,26,15,1,3652
2021,"Barnet 038","E02000061",3575,39,10,3,3523
2021,"Barnet 039","E02000062",2615,21,13,2,2579
2021,"Barnet 040","E02000063",2833,19,12,2,2800
2021,"Barnet 041","E02000064",2762,15,11,3,2733
2021,"Bexley 001","E02000065",2774,34,17,3,2720
2021,"Bexley 002","E02000066",3546,56,21,6,3463
2021,"Bexley 003","E02000067",3982,69,25,9,3879
2021,"Bexley 004","E02000068",3196,70,16,4,3106
2021,"Bexley 005","E02000069",2812,84,25,3,2700
