"date","geography","geography code","Multi religion household: Total","Multi religion household: One-person household","Multi religion household: Multi-person household: No people stated their religion","Multi religion household: Multi-person household: Same religion (at least one person has stated a religion but the household may include people who did not state their religion)","Multi religion household: Multi-person household: No religion (household may include people who did not state their religion)","Multi religion household: Multi-person household: Same religion and no religion (household may include people who did not state their religion)","Multi religion household: Multi-person household: At least two different religions stated (household may include people with no religion and who did not state their religion)"
2021,"City of London 001","E02000001",4915,2506,105,810,900,512,82
2021,"Barking and Dagenham 001","E02000002",2870,725,59,1399,369,246,72
2021,"Barking and Dagenham 002","E02000003",3931,974,71,2130,307,305,144
2021,"Barking and Dagenham 003","E02000004",2309,539,38,1068,325,289,50
2021,"Barking and Dagenham 004","E02000005",3628,706,76,1925,494,325,102
2021,"Barking and Dagenham 006","E02000007",3675,1071,65,1609,535,319,76
2021,"Barking and Dagenham 007","E02000008",4624,1078,79,2149,761,460,97
2021,"Barking and Dagenham 008","E02000009",4255,1011,82,2172,490,382,118
2021,"Barking and Dagenham 009","E02000010",3325,783,71,1572,503,329,67
2021,"Barking and Dagenham 010","E02000011",2352,530,57,1246,258,209,52
2021,"Barking and Dagenham 011","E02000012",3287,694,65,2032,185,216,95
2021,"Barking and Dagenham 012","E02000013",3254,790,61,1518,509,319,57
2021,"Barking and Dagenham 013","E02000014",3388,758,72,1587,555,350,66
2021,"Barking and Dagenham 014","E02000015",3033,938,58,1354,371,257,55
2021,"Barking and Dagenham 015","E02000016",3811,1040,63,2112,264,215,117
2021,"Barking and Dagenham 016","E02000017",2767,622,49,1672,134,203,87
2021,"Barking and Dagenham 017","E02000018",3234,718,69,1633,434,310,70
2021,"Barking and Dagenham 018","E02000019",3206,589,66,1657,508,335,51
2021,"Barking and Dagenham 019","E02000020",4673,1048,87,2601,433,380,124
2021,"Barking and Dagenham 020","E02000021",2930,663,58,1634,271,247,57
2021,"Barking and Dagenham 021","E02000022",2796,756,51,1540,225,142,82
2021,"Barking and Dagenham 022","E02000023",2666,625,59,1450,294,172,66
2021,"Barnet 001","E02000024",4477,1300,105,1468,769,690,145
2021,"Barnet 002","E02000025",3746,1314,88,1120,615,523,86
2021,"Barnet 003","E02000026",2512,652,73,1098,312,305,72
2021,"Barnet 004","E02000027",3683,1002,103,1478,513,494,93
2021,"Barnet 005","E02000028",2694,770,65,1092,321,346,100
2021,"Barnet 006","E02000029",3707,991,109,1433,578,481,115
2021,"Barnet 007","E02000030",3520,765,114,1693,382,387,179
2021,"Barnet 008","E02000031",3328,935,106,1354,415,406,112
2021,"Barnet 009","E02000032",2744,489,92,1413,303,344,103
2021,"Barnet 010","E02000033",3494,977,85,1464,430,436,102
2021,"Barnet 011","E02000034",3588,973,100,1529,460,408,118
2021,"Barnet 012","E02000035",3528,1113,143,1357,418,361,136
2021,"Barnet 013","E02000036",3944,932,147,2138,278,300,149
2021,"Barnet 014","E02000037",3715,778,143,2222,183,254,135
2021,"Barnet 015","E02000038",4005,1019,112,1673,515,528,158
2021,"Barnet 016","E02000039",2674,672,82,1371,190,250,109
2021,"Barnet 017","E02000040",3506,995,115,1464,420,376,136
2021,"Barnet 018","E02000041",3325,782,111,1856,204,236,136
2021,"Barnet 019","E02000042",4716,1544,139,1697,608,526,202
2021,"Barnet 020","E02000043",2665,516,97,1210,377,317,148
2021,"Barnet 021","E02000044",3067,681,88,1585,281,323,109
2021,"Barnet 022","E02000045",4201,1289,109,1483,674,528,118
2021,"Barnet 023","E02000046",2879,822,85,1055,418,379,120
2021,"Barnet 024","E02000047",4210,959,126,2247,351,398,129
2021,"Barnet 025","E02000048",3951,1044,139,1918,335,365,150
2021,"Barnet 026","E02000049",3801,1024,102,1878,358,333,106
2021,"Barnet 027","E02000050",4034,1147,97,1510,574,570,136
2021,"Barnet 028","E02000051",3792,1197,132,1621,362,319,161
2021,"Barnet 029","E02000052",4191,1321,95,1182,855,610,128
2021,"Barnet 031","E02000054",2971,926,79,1266,237,275,188
2021,"Barnet 032","E02000055",4506,1335,142,2141,316,396,176
2021,"Barnet 033","E02000056",3441,844,142,1587,365,318,185
2021,"Barnet 034","E02000057",2706,686,106,1469,182,180,83
2021,"Barnet 035","E02000058",4097,1331,159,1694,359,394,160
2021,"Barnet 036","E02000059",4436,1334,90,2102,343,403,164
2021,"Barnet 037","E02000060",3693,1104,229,1842,177,217,124
2021,"Barnet 038","E02000061",3573,1303,141,1242,359,345,183
2021,"Barnet 039","E02000062",2615,812,61,1159,226,274,83
2021,"Barnet 040","E02000063",2832,855,98,1219,248,305,107
2021,"Barnet 041","E02000064",2761,833,70,1171,309,276,102
2021,"Bexley 001","E02000065",2775,658,50,1434,297,253,83
2021,"Bexley 002","E02000066",3547,1129,75,1430,527,302,84
2021,"Bexley 003","E02000067",3983,1129,76,1550,715,437,76
2021,"Bexley 004","E02000068",3196,959,46,1204,574,336,77
2021,"Bexley 005","E02000069",2812,781,53,1093,469,355,61
2021,"Bexley 006","E02000070",3138,789,59,1243,514,479,54
2021,"Bexley 007","E02000071",2834,655,59,1073,599,395,53
2021,"Bexley 008","E02000072",4688,1148,74,1967,897,490,112
2021,"Bexley 009","E02000073",3957,809,77,1687,722,587,75
2021,"Bexley 010","E02000074",3505,1042,51,1186,716,448,62
2021,"Bexley 011","E02000075",3149,727,76,1287,534,476,49
2021,"Bexley 013","E02000077",2936,619,55,1200,551,465,46
2021,"Bexley 014","E02000078",3019,653,68,1143,594,519,42
2021,"Bexley 015","E02000079",3586,1049,84,1190,685,522,56
2021,"Bexley 016","E02000080",3815,932,71,1486,704,560,62
2021,"Bexley 017","E02000081",3279,901,71,1116,619,531,41
2021,"Bexley 018","E02000082",3443,725,93,1288,685,595,57
2021,"Bexley 019","E02000083",4442,1195,79,1526,955,633,54
2021,"Bexley 020","E02000084",4203,936,94,1575,825,700,73
2021,"Bexley 021","E02000085",3073,745,80,1044,678,493,33
2021,"Bexley 022","E02000086",2785,627,62,1004,561,493,38
2021,"Bexley 023","E02000087",3320,868,63,1204,594,545,46
2021,"Bexley 024","E02000088",2980,625,75,1072,656,518,34
2021,"Bexley 025","E02000089",2904,582,76,1043,629,545,29
2021,"Bexley 026","E02000090",4194,1485,81,1141,814,617,56
2021,"Bexley 027","E02000091",4451,1539,76,1294,809,672,61
2021,"Bexley 028","E02000092",2713,777,47,882,576,400,31
2021,"Brent 001","E02000093",3740,692,106,2443,136,238,125
2021,"Brent 002","E02000094",3467,732,92,2069,210,246,118
2021,"Brent 003","E02000095",3186,574,74,2112,78,218,130
2021,"Brent 004","E02000096",2497,467,52,1617,82,149,130
2021,"Brent 005","E02000097",3038,635,70,1908,99,225,101
2021,"Brent 006","E02000098",2875,621,69,1692,172,206,115
2021,"Brent 007","E02000099",2917,558,64,1864,115,197,119
2021,"Brent 008","E02000100",2567,512,59,1587,83,194,132
2021,"Brent 009","E02000101",3386,870,83,1876,150,282,125
2021,"Brent 010","E02000102",2684,692,69,1600,105,150,68
2021,"Brent 011","E02000103",3463,884,155,1832,193,302,97
2021,"Brent 012","E02000104",2418,615,57,1346,108,171,121
2021,"Brent 013","E02000105",3108,685,61,1878,95,238,151
2021,"Brent 014","E02000106",3586,1018,86,1925,183,275,99
2021,"Brent 015","E02000107",4363,1498,98,1626,478,479,184
2021,"Brent 016","E02000108",2272,436,47,1414,94,179,102
2021,"Brent 018","E02000110",3094,928,82,1224,342,402,116
2021,"Brent 019","E02000111",3187,592,63,2113,84,181,154
2021,"Brent 020","E02000112",3496,649,68,2231,161,251,136
2021,"Brent 021","E02000113",3291,840,92,1909,163,212,75
2021,"Brent 022","E02000114",3707,1245,73,1417,413,425,134
2021,"Brent 023","E02000115",3877,1488,78,1207,533,432,139
2021,"Brent 024","E02000116",3238,951,71,1621,218,279,98
2021,"Brent 025","E02000117",4761,1611,108,2285,292,335,130
2021,"Brent 026","E02000118",3157,605,57,2044,92,205,154
2021,"Brent 027","E02000119",3952,1255,108,1960,231,305,93
2021,"Brent 028","E02000120",4243,1699,95,1188,676,487,98
2021,"Brent 029","E02000121",3629,735,81,2279,186,215,133
2021,"Brent 030","E02000122",3160,947,78,1143,452,448,92
2021,"Brent 031","E02000123",5539,1874,133,2389,522,512,109
2021,"Brent 032","E02000124",4161,1287,109,1219,819,604,123
2021,"Brent 033","E02000125",3942,1182,98,1334,627,572,129
2021,"Brent 034","E02000126",3405,1270,72,1346,358,291,68
2021,"Bromley 001","E02000127",3785,1152,69,1214,748,526,76
2021,"Bromley 002","E02000128",3063,776,74,993,712,470,38
2021,"Bromley 004","E02000130",3665,1148,79,959,913,496,70
2021,"Bromley 005","E02000131",5068,1876,83,1192,1218,620,79
2021,"Bromley 006","E02000132",4942,2039,91,1156,957,614,85
2021,"Bromley 007","E02000133",4328,1083,115,1577,815,658,80
2021,"Bromley 008","E02000134",5301,1840,126,1380,1164,701,90
2021,"Bromley 009","E02000135",4441,1680,82,1294,806,502,77
2021,"Bromley 010","E02000136",2296,666,49,823,431,299,28
2021,"Bromley 011","E02000137",3674,1218,76,1078,736,502,64
2021,"Bromley 012","E02000138",4139,1599,76,1143,746,512,63
2021,"Bromley 013","E02000139",3308,1040,55,782,856,533,42
2021,"Bromley 014","E02000140",3339,988,53,1066,809,384,39
2021,"Bromley 015","E02000141",3092,962,71,861,711,444,43
2021,"Bromley 016","E02000142",3452,897,86,1099,734,577,59
2021,"Bromley 018","E02000144",4312,1298,93,1323,903,611,84
2021,"Bromley 019","E02000145",3514,1041,78,1183,759,393,60
2021,"Bromley 020","E02000146",4039,1243,75,1132,909,631,49
2021,"Bromley 021","E02000147",3167,781,64,1214,550,500,58
2021,"Bromley 022","E02000148",2699,673,64,997,475,444,46
2021,"Bromley 023","E02000149",3284,898,58,1022,776,502,28
2021,"Bromley 024","E02000150",3115,654,66,1126,640,569,60
2021,"Bromley 025","E02000151",2971,644,54,1160,575,487,51
2021,"Bromley 026","E02000152",3096,825,84,1018,632,476,61
2021,"Bromley 027","E02000153",2895,516,69,1064,656,545,45
2021,"Bromley 028","E02000154",3570,997,70,1222,694,516,71
2021,"Bromley 029","E02000155",3040,899,67,1049,558,419,48
2021,"Bromley 030","E02000156",4862,1195,96,1768,889,849,65
2021,"Bromley 031","E02000157",3282,732,56,1289,621,543,41
2021,"Bromley 032","E02000158",3034,715,82,1157,574,450,56
2021,"Bromley 033","E02000159",2823,661,61,1049,525,480,47
2021,"Bromley 034","E02000160",3042,657,66,1051,650,567,51
2021,"Bromley 035","E02000161",3345,740,68,1319,658,510,50
2021,"Bromley 036","E02000162",2964,932,57,996,522,424,33
2021,"Bromley 037","E02000163",3068,734,71,1110,606,510,37
2021,"Bromley 039","E02000165",2741,566,64,875,708,506,22
2021,"Camden 001","E02000166",3396,1197,86,752,763,524,74
2021,"Camden 002","E02000167",3374,1273,131,768,632,457,113
2021,"Camden 003","E02000168",3496,1256,69,675,883,526,87
2021,"Camden 004","E02000169",3027,878,125,980,489,415,140
2021,"Camden 005","E02000170",3465,1158,79,1007,578,512,131
2021,"Camden 006","E02000171",3330,1209,90,744,697,506,84
2021,"Camden 007","E02000172",4035,1452,89,1185,763,464,82
2021,"Camden 008","E02000173",3502,1426,138,879,520,404,135
2021,"Camden 009","E02000174",3552,1273,99,838,827,441,74
2021,"Camden 010","E02000175",4307,1706,104,990,824,561,122
2021,"Camden 011","E02000176",3001,1345,83,642,511,329,91
2021,"Camden 012","E02000177",3654,1328,84,1040,662,442,98
2021,"Camden 013","E02000178",4166,1611,82,1196,672,478,127
2021,"Camden 014","E02000179",2547,972,86,718,394,301,76
2021,"Camden 015","E02000180",3515,1288,76,815,802,452,82
2021,"Camden 016","E02000181",3751,1295,94,924,757,569,112
2021,"Camden 017","E02000182",3084,1100,117,923,476,328,140
2021,"Camden 018","E02000183",3617,1537,92,867,608,439,74
2021,"Camden 019","E02000184",3633,1322,99,972,679,453,108
2021,"Camden 020","E02000185",4069,1749,99,1274,435,405,107
2021,"Camden 021","E02000186",2941,1212,72,632,546,390,89
2021,"Camden 022","E02000187",3817,1373,99,1352,502,402,89
2021,"Camden 023","E02000188",2719,937,78,1009,354,277,64
2021,"Camden 026","E02000191",2105,1068,52,377,336,213,59
2021,"Camden 027","E02000192",3089,1305,83,826,485,330,60
2021,"Camden 028","E02000193",3101,1630,67,586,427,336,55
2021,"Croydon 001","E02000194",4204,1522,80,1015,1015,500,72
2021,"Croydon 002","E02000195",3487,825,105,1591,481,387,98
2021,"Croydon 003","E02000196",2817,707,83,1347,278,308,94
2021,"Croydon 004","E02000197",3319,843,85,1590,327,360,114
2021,"Croydon 005","E02000198",3502,1100,90,1498,389,350,75
2021,"Croydon 006","E02000199",3204,828,74,1410,412,400,80
2021,"Croydon 007","E02000200",4002,1433,86,1267,626,475,115
2021,"Croydon 008","E02000201",3823,1377,83,1344,511,439,69
2021,"Croydon 009","E02000202",3035,724,72,1625,204,310,100
2021,"Croydon 010","E02000203",3119,1049,75,1382,268,264,81
2021,"Croydon 011","E02000204",3227,744,93,1817,169,292,112
2021,"Croydon 013","E02000206",4465,1496,121,1814,502,436,96
2021,"Croydon 014","E02000207",3560,1088,93,1350,552,401,76
2021,"Croydon 015","E02000208",4097,1276,103,1996,370,253,99
2021,"Croydon 016","E02000209",3065,639,71,1798,224,232,101
2021,"Croydon 017","E02000210",3446,934,105,1290,565,469,83
2021,"Croydon 018","E02000211",3295,859,82,1316,505,472,61
2021,"Croydon 019","E02000212",3263,718,86,1780,282,300,97
2021,"Croydon 020","E02000213",5391,1886,135,2200,567,449,154
2021,"Croydon 021","E02000214",2326,483,44,1024,343,383,49
2021,"Croydon 022","E02000215",5255,1920,104,1773,746,582,130
2021,"Croydon 023","E02000216",2944,940,59,1282,266,298,99
2021,"Croydon 024","E02000217",5021,1650,133,1898,659,555,126
2021,"Croydon 025","E02000218",2351,457,68,1125,343,292,66
2021,"Croydon 026","E02000219",2984,715,70,1341,359,436,63
2021,"Croydon 028","E02000221",3987,1096,119,1637,554,481,100
2021,"Croydon 029","E02000222",3635,1176,65,1229,643,449,73
2021,"Croydon 030","E02000223",2789,579,54,1174,601,338,43
2021,"Croydon 031","E02000224",3272,940,71,1160,536,488,77
2021,"Croydon 032","E02000225",2659,580,61,1023,590,364,41
2021,"Croydon 033","E02000226",2780,562,75,1264,381,435,63
2021,"Croydon 034","E02000227",4841,1475,95,1684,843,674,70
2021,"Croydon 035","E02000228",3007,627,65,1288,488,478,61
2021,"Croydon 036","E02000229",2237,559,43,801,505,296,33
2021,"Croydon 037","E02000230",4232,1215,109,1621,612,565,110
2021,"Croydon 038","E02000231",2749,496,69,1354,336,397,97
2021,"Croydon 039","E02000232",2367,524,73,909,431,394,36
2021,"Croydon 040","E02000233",2396,527,65,891,448,412,53
2021,"Croydon 041","E02000234",3720,967,93,1421,663,489,87
2021,"Croydon 042","E02000235",2657,544,64,1027,520,454,48
2021,"Croydon 043","E02000236",3310,562,74,1259,747,602,66
2021,"Croydon 044","E02000237",3032,758,88,1136,528,488,34
2021,"Ealing 001","E02000238",3737,881,98,2032,211,369,146
2021,"Ealing 002","E02000239",2930,535,80,1790,144,265,116
2021,"Ealing 003","E02000240",3897,862,97,2065,327,373,173
2021,"Ealing 004","E02000241",2600,578,69,1434,187,242,90
2021,"Ealing 005","E02000242",2231,409,57,1390,95,180,100
2021,"Ealing 006","E02000243",3128,848,89,1615,171,303,102
2021,"Ealing 007","E02000244",2935,826,74,1482,181,269,103
2021,"Ealing 008","E02000245",3354,865,68,1781,273,275,92
2021,"Ealing 009","E02000246",3072,634,74,1770,223,278,93
2021,"Ealing 010","E02000247",3893,962,85,2171,247,294,134
2021,"Ealing 011","E02000248",2990,881,86,1352,279,272,120
2021,"Ealing 012","E02000249",2912,735,66,1580,160,269,102
2021,"Ealing 013","E02000250",2544,660,64,950,400,375,95
2021,"Ealing 014","E02000251",2543,463,45,1643,83,171,138
2021,"Ealing 015","E02000252",4409,1643,96,1696,438,426,110
2021,"Ealing 016","E02000253",3839,1090,92,1770,376,416,95
2021,"Ealing 017","E02000254",2608,384,43,1793,60,130,198
2021,"Ealing 018","E02000255",3791,1042,104,1512,505,520,108
2021,"Ealing 019","E02000256",4026,1261,101,1341,644,533,146
2021,"Ealing 021","E02000258",2604,740,84,999,378,315,88
2021,"Ealing 022","E02000259",2395,499,56,1051,372,333,84
2021,"Ealing 023","E02000260",2755,492,42,1930,38,86,167
2021,"Ealing 024","E02000261",4976,1536,182,1919,617,548,174
2021,"Ealing 025","E02000262",3946,1368,87,1278,655,463,95
2021,"Ealing 026","E02000263",3646,633,35,2591,52,120,215
2021,"Ealing 027","E02000264",3543,1140,86,1121,568,501,127
2021,"Ealing 028","E02000265",4733,1546,104,1665,713,578,127
2021,"Ealing 029","E02000266",4295,1071,86,2425,264,302,147
2021,"Ealing 030","E02000267",3222,852,73,1229,553,445,70
2021,"Ealing 031","E02000268",3862,1167,85,1269,654,574,113
2021,"Ealing 032","E02000269",3302,883,75,995,688,535,126
2021,"Ealing 033","E02000270",4116,1389,92,1417,661,464,93
2021,"Ealing 034","E02000271",2979,865,87,875,585,492,75
2021,"Ealing 035","E02000272",2540,625,61,885,477,407,85
