"date","geography","geography code","Sexual orientation: Total: All usual residents aged 16 years and over","Sexual orientation: Straight or Heterosexual","Sexual orientation: Gay or Lesbian","Sexual orientation: Bisexual","Sexual orientation: All other sexual orientations","Sexual orientation: Not answered"
2021,"City of London 001","E02000001",8004,6348,607,185,34,830
2021,"Barking and Dagenham 001","E02000002",5984,5409,25,36,10,504
2021,"Barking and Dagenham 002","E02000003",8847,7709,59,80,49,950
2021,"Barking and Dagenham 003","E02000004",5315,4805,54,43,22,391
2021,"Barking and Dagenham 004","E02000005",7990,7150,58,83,36,663
2021,"Barking and Dagenham 006","E02000007",7466,6677,69,70,29,621
2021,"Barking and Dagenham 007","E02000008",9851,8728,115,90,52,866
2021,"Barking and Dagenham 008","E02000009",9354,8319,59,90,46,840
2021,"Barking and Dagenham 009","E02000010",7074,6313,47,61,26,627
2021,"Barking and Dagenham 010","E02000011",5418,4808,41,50,33,486
2021,"Barking and Dagenham 011","E02000012",8846,7945,57,62,31,751
2021,"Barking and Dagenham 012","E02000013",6966,6198,55,72,44,597
2021,"Barking and Dagenham 013","E02000014",7435,6616,38,77,40,664
2021,"Barking and Dagenham 014","E02000015",6028,5325,60,63,24,556
2021,"Barking and Dagenham 015","E02000016",7583,6405,179,130,53,816
2021,"Barking and Dagenham 016","E02000017",7144,6158,36,85,66,799
2021,"Barking and Dagenham 017","E02000018",6997,6152,55,75,41,674
2021,"Barking and Dagenham 018","E02000019",7021,6327,45,54,19,576
2021,"Barking and Dagenham 019","E02000020",10266,9096,81,84,41,964
2021,"Barking and Dagenham 020","E02000021",6368,5673,36,49,23,587
2021,"Barking and Dagenham 021","E02000022",5416,4765,56,99,24,472
2021,"Barking and Dagenham 022","E02000023",5606,4921,40,44,36,565
2021,"Barnet 001","E02000024",8923,7950,94,95,27,757
2021,"Barnet 002","E02000025",6987,6226,80,82,14,585
2021,"Barnet 003","E02000026",5216,4681,45,41,19,430
2021,"Barnet 004","E02000027",7729,6922,70,67,20,650
2021,"Barnet 005","E02000028",5305,4765,68,44,23,405
2021,"Barnet 006","E02000029",7437,6634,70,81,26,626
2021,"Barnet 007","E02000030",7715,7006,59,42,9,599
2021,"Barnet 008","E02000031",6812,6116,77,47,27,545
2021,"Barnet 009","E02000032",6422,5747,69,34,13,559
2021,"Barnet 010","E02000033",7145,6289,78,74,23,681
2021,"Barnet 011","E02000034",7280,6392,81,58,23,726
2021,"Barnet 012","E02000035",7080,6183,97,64,33,703
2021,"Barnet 013","E02000036",8651,7562,55,65,26,943
2021,"Barnet 014","E02000037",8211,7382,54,39,24,712
2021,"Barnet 015","E02000038",8644,7514,113,133,38,846
2021,"Barnet 016","E02000039",5657,5090,35,37,23,472
2021,"Barnet 017","E02000040",7252,6386,85,64,24,693
2021,"Barnet 018","E02000041",7449,6495,46,67,48,793
2021,"Barnet 019","E02000042",9407,8025,136,99,136,1011
2021,"Barnet 020","E02000043",5891,5182,98,51,18,542
2021,"Barnet 021","E02000044",6875,6059,45,54,51,666
2021,"Barnet 022","E02000045",8284,7218,105,86,46,829
2021,"Barnet 023","E02000046",5700,4894,115,107,31,553
2021,"Barnet 024","E02000047",9581,8187,84,71,72,1167
2021,"Barnet 025","E02000048",8087,7160,79,61,51,736
2021,"Barnet 026","E02000049",8019,6969,66,80,40,864
2021,"Barnet 027","E02000050",8363,7400,142,109,34,678
2021,"Barnet 028","E02000051",7491,6548,86,112,36,709
2021,"Barnet 029","E02000052",7973,6901,202,168,43,659
2021,"Barnet 031","E02000054",6221,5272,129,84,39,697
2021,"Barnet 032","E02000055",9496,8150,139,141,61,1005
2021,"Barnet 033","E02000056",7201,6411,89,60,18,623
2021,"Barnet 034","E02000057",5934,5052,52,50,24,756
2021,"Barnet 035","E02000058",7960,6677,102,93,40,1048
2021,"Barnet 036","E02000059",9622,8294,148,109,71,1000
2021,"Barnet 037","E02000060",7998,6470,81,56,39,1352
2021,"Barnet 038","E02000061",6887,5773,119,182,26,787
2021,"Barnet 039","E02000062",5464,4732,79,60,27,566
2021,"Barnet 040","E02000063",6086,5236,70,44,32,704
2021,"Barnet 041","E02000064",5335,4595,141,73,31,495
2021,"Bexley 001","E02000065",5941,5342,42,50,20,487
2021,"Bexley 002","E02000066",7251,6403,82,101,27,638
2021,"Bexley 003","E02000067",7906,7010,132,100,15,649
2021,"Bexley 004","E02000068",6029,5412,108,60,24,425
2021,"Bexley 005","E02000069",5672,5078,65,53,14,462
2021,"Bexley 006","E02000070",6554,5978,69,35,13,459
2021,"Bexley 007","E02000071",5986,5457,50,36,17,426
2021,"Bexley 008","E02000072",9488,8605,78,80,34,691
2021,"Bexley 009","E02000073",8702,8000,65,40,18,579
2021,"Bexley 010","E02000074",6864,6267,84,79,10,424
2021,"Bexley 011","E02000075",6603,6073,50,47,8,425
2021,"Bexley 013","E02000077",6571,5986,49,42,23,471
2021,"Bexley 014","E02000078",6394,5921,57,33,11,372
2021,"Bexley 015","E02000079",7097,6412,77,61,14,533
2021,"Bexley 016","E02000080",8087,7361,79,63,11,573
2021,"Bexley 017","E02000081",6617,6028,68,49,16,456
2021,"Bexley 018","E02000082",7456,6865,60,31,19,481
2021,"Bexley 019","E02000083",8884,8114,96,71,21,582
2021,"Bexley 020","E02000084",8928,8165,67,50,14,632
2021,"Bexley 021","E02000085",6381,5846,62,47,24,402
2021,"Bexley 022","E02000086",5852,5413,42,49,10,338
2021,"Bexley 023","E02000087",6724,6205,64,48,9,398
2021,"Bexley 024","E02000088",6272,5774,70,49,15,364
2021,"Bexley 025","E02000089",6353,5870,49,38,20,376
