"date","geography","geography code","Gender identity: Total: All usual residents aged 16 years and over","Gender identity: Gender identity the same as sex registered at birth","Gender identity: Gender identity different from sex registered at birth but no specific identity given","Gender identity: Trans woman","Gender identity: Trans man","Gender identity: All other gender identities","Gender identity: Not answered"
2021,"City of London 001","E02000001",8004,7369,9,12,5,13,596
2021,"Barking and Dagenham 001","E02000002",5983,5479,31,14,12,1,446
2021,"Barking and Dagenham 002","E02000003",8847,7987,58,17,15,4,766
2021,"Barking and Dagenham 003","E02000004",5317,4917,19,8,10,1,362
2021,"Barking and Dagenham 004","E02000005",7983,7193,38,30,28,2,692
2021,"Barking and Dagenham 006","E02000007",7467,6813,54,18,14,5,563
2021,"Barking and Dagenham 007","E02000008",9845,8905,67,30,21,2,820
2021,"Barking and Dagenham 008","E02000009",9356,8529,37,22,21,7,740
2021,"Barking and Dagenham 009","E02000010",7076,6398,58,12,13,1,594
2021,"Barking and Dagenham 010","E02000011",5417,4903,41,9,12,3,449
2021,"Barking and Dagenham 011","E02000012",8845,8055,49,18,19,1,703
2021,"Barking and Dagenham 012","E02000013",6966,6354,49,15,21,4,523
2021,"Barking and Dagenham 013","E02000014",7432,6726,31,26,24,6,619
2021,"Barking and Dagenham 014","E02000015",6028,5470,40,13,6,2,497
2021,"Barking and Dagenham 015","E02000016",7581,6611,79,37,54,5,795
2021,"Barking and Dagenham 016","E02000017",7142,6336,59,14,20,2,711
2021,"Barking and Dagenham 017","E02000018",7000,6316,38,18,18,3,607
2021,"Barking and Dagenham 018","E02000019",7022,6416,36,13,8,2,547
2021,"Barking and Dagenham 019","E02000020",10264,9255,66,14,14,6,909
2021,"Barking and Dagenham 020","E02000021",6370,5714,47,20,14,4,571
2021,"Barking and Dagenham 021","E02000022",5417,4874,37,21,14,4,467
2021,"Barking and Dagenham 022","E02000023",5606,4957,44,14,9,4,578
2021,"Barnet 001","E02000024",8922,8283,17,9,13,11,589
2021,"Barnet 002","E02000025",6986,6509,20,7,9,3,438
2021,"Barnet 003","E02000026",5215,4860,7,5,5,3,335
2021,"Barnet 004","E02000027",7726,7184,26,8,5,6,497
2021,"Barnet 005","E02000028",5305,4943,29,9,5,4,315
2021,"Barnet 006","E02000029",7439,6892,21,15,7,7,497
2021,"Barnet 007","E02000030",7716,7195,11,6,1,1,502
2021,"Barnet 008","E02000031",6807,6302,7,7,8,4,479
2021,"Barnet 009","E02000032",6424,5928,22,2,5,2,465
2021,"Barnet 010","E02000033",7146,6487,16,7,9,10,617
2021,"Barnet 011","E02000034",7280,6616,21,9,11,3,620
2021,"Barnet 012","E02000035",7082,6398,20,7,9,3,645
2021,"Barnet 013","E02000036",8649,7841,39,8,20,3,738
2021,"Barnet 014","E02000037",8210,7534,24,8,37,1,606
2021,"Barnet 015","E02000038",8641,7877,35,10,11,5,703
2021,"Barnet 016","E02000039",5654,5263,14,1,8,4,364
2021,"Barnet 017","E02000040",7249,6614,10,4,5,9,607
2021,"Barnet 018","E02000041",7449,6709,41,17,13,5,664
2021,"Barnet 019","E02000042",9405,8364,159,17,16,11,838
2021,"Barnet 020","E02000043",5890,5435,9,1,0,8,437
2021,"Barnet 021","E02000044",6875,6230,65,14,10,8,548
2021,"Barnet 022","E02000045",8284,7523,38,14,12,4,693
2021,"Barnet 023","E02000046",5700,5184,29,7,8,8,464
2021,"Barnet 024","E02000047",9581,8443,82,22,23,6,1005
2021,"Barnet 025","E02000048",8085,7465,33,7,7,7,566
2021,"Barnet 026","E02000049",8017,7182,43,25,18,3,746
2021,"Barnet 027","E02000050",8365,7745,39,12,12,7,550
2021,"Barnet 028","E02000051",7494,6877,33,13,11,6,554
